BAS_DD,k_ratio,k_score,atr,natr,atr_percentile,technical_direction
2006-03-02,,,,,,
2006-03-03,,,,,,
2006-03-04,,,,,,
2006-03-05,,,,,,
2006-03-06,,,,,,
2006-03-07,,,,,,
2006-03-08,,,,,,
2006-03-09,,,,,,
2006-03-10,,,,,,
2006-03-11,,,,,,
2006-03-12,,,,,,
2006-03-13,,,,,,
2006-03-14,,,,,,
2006-03-15,,,,,,
2006-03-16,,,0.08642857142857199,0.0008644586060069213,0.5,
2006-03-17,,,0.08882653061224474,0.0008873779281942532,0.75,
2006-03-18,,,0.08391034985422799,0.000838097781204834,0.16666666666666666,
2006-03-19,,,0.07791675343606885,0.0007782336539759174,0.125,
2006-03-20,,,0.07377984247635037,0.0007370613634001036,0.1,
2006-03-21,,,0.06922413944232571,0.0006914807655811179,0.08333333333333333,
2006-03-22,,,0.06499384376787423,0.0006492891485302122,0.07142857142857142,
2006-03-23,,,0.062494283498740436,0.000624131464084095,0.0625,
2006-03-24,,,0.06017326324883049,0.0006011315009873176,0.05555555555555555,
2006-03-25,,,0.05658945873105624,0.0005653857401444324,0.05,
2006-03-26,,,0.054690211678838016,0.000546246620843368,0.045454545454545456,
2006-03-27,,,0.051498053701777506,0.0005143119315068162,0.041666666666666664,
2006-03-28,,,0.05496247843736544,0.000548363548212765,0.19230769230769232,
2006-03-29,,,0.05675087283469636,0.0005657548881935635,0.32142857142857145,
2006-03-30,,,0.05269723906078948,0.0005253438247511662,0.1,
2006-03-31,,,0.05179029341359067,0.0005165083615596955,0.09375,
2006-04-01,,,0.04880527245547741,0.0004866899925755625,0.029411764705882353,
2006-04-02,,,0.046033467280086525,0.00045900356246970307,0.027777777777777776,
2006-04-03,,,0.050602505331508875,0.0005051158447944587,0.13157894736842105,
2006-04-04,,,0.049130897807829754,0.0004905731184006965,0.125,
2006-04-05,,,0.048478690821555634,0.00048386755985183787,0.07142857142857142,
2006-04-06,,,0.050730212905730106,0.0005059361015830269,0.25,
2006-04-07,,,0.05424948341246428,0.0005404950026149674,0.41304347826086957,
2006-04-08,,,0.05180309174014512,0.0005160184454641411,0.3125,
2006-04-09,,,0.04881715661584941,0.0004862266595204124,0.1,
2006-04-10,,,0.053901645429003345,0.0005375114223075722,0.4423076923076923,
2006-04-11,,,0.05076581361264633,0.0005061901845911489,0.2777777777777778,
2006-04-12,,,0.04713968406888588,0.0004700337428346383,0.05357142857142857,
2006-04-13,,,0.04948684949253778,0.0004938314488827241,0.22413793103448276,
2006-04-14,,,0.04880921738592737,0.0004872638253561682,0.18333333333333332,
2006-04-15,,,0.045322844715503983,0.00045245926640215614,0.016129032258064516,
2006-04-16,,,0.0435140700929677,0.00043431550147687094,0.015625,
2006-04-17,,,0.04254877937204151,0.0004245537754145032,0.015151515151515152,
2006-04-18,,,0.042366723702610416,0.0004225685587732936,0.014705882352941176,
2006-04-19,,,0.05005481486670906,0.0004985042811145211,0.35714285714285715,
2006-04-20,,,0.04790804237623057,0.0004770291982100027,0.18055555555555555,
2006-04-21,,,0.055200325063642065,0.0005488200940906946,0.6891891891891891,
2006-04-22,,,0.051971730416239426,0.0005166689573142402,0.5394736842105263,
2006-04-23,,,0.04897374967222168,0.00048681659713938053,0.2692307692307692,
2006-04-24,,,0.05047562469563494,0.0005013968878080356,0.3875,
2006-04-25,,,0.04829879436023216,0.0004798687964255555,0.18292682926829268,
2006-04-26,,,0.04984888047735795,0.0004949253423089551,0.36904761904761907,
2006-04-27,,,0.04914538901468997,0.0004877470128492454,0.313953488372093,
2006-04-28,,,0.05777786122792652,0.0005724547827992322,0.7840909090909091,
2006-04-29,,,0.05436515685450254,0.0005385888335100312,0.6333333333333333,
2006-04-30,,,0.0511962170791813,0.0005071442999423606,0.4891304347826087,
2006-05-01,,,0.04896791585923949,0.0004849749020425819,0.20212765957446807,
2006-05-02,,,0.045470207583579524,0.00045033383761096884,0.07291666666666667,
