date,k_ratio,k_score,atr,natr,atr_percentile,technical_direction
2014-05-16,0.44947467360558524,0.3100948790553972,1217.3665703050917,0.009509496648907392,0.03557894736842105,0.3100948790553972
2014-05-19,0.43467169600902217,0.3029764211688251,1384.4857367456539,0.011115115550796806,0.08017676767676768,0.3029764211688251
2014-05-20,0.432943765431329,0.3021359078253912,1504.288677446772,0.011807994838417463,0.11127471602860749,0.3021359078253912
2014-05-21,0.41165825655719485,0.29161325316876796,1471.5081693243478,0.011542839978260323,0.09945332211942809,0.29161325316876796
2014-05-22,0.40061121650721593,0.2860259947840793,1438.37449585433,0.011245631430565358,0.08680117696511139,0.2860259947840793
2014-05-23,0.37850923861137814,0.27457867383802526,1388.2836218405944,0.010888861994845888,0.0703781512605042,0.27457867383802526
2014-05-27,0.34582575770752816,0.2569617617488654,1489.6863246476153,0.01193752276004217,0.11570768584628308,0.2569617617488654
2014-05-28,0.3135941908675434,0.23872988556719701,1449.1523884255312,0.011672136432641502,0.10684298908480269,0.23872988556719701
2014-05-29,0.28153786431685307,0.21968751150940977,1407.1244281268846,0.011396705223253752,0.09336970205623164,0.21968751150940977
2014-05-30,0.24527094453901965,0.19696191067062538,1423.0367172559581,0.011601211344126566,0.10339765100671142,0.19696191067062538
2014-06-02,0.20773764160631666,0.17200560324510644,1383.3318412858393,0.011327834878331014,0.08993710691823899,0.17200560324510644
2014-06-03,0.17828259311931657,0.15130716023508559,1340.3914837871102,0.010913619128829016,0.07145850796311819,0.15130716023508559
2014-06-04,0.13892252149382353,0.12197714846450768,1279.6997653690164,0.010452446170364366,0.052995391705069124,0.12197714846450768
2014-06-05,0.10586011447515972,0.09572649658804347,1301.9368163863176,0.01051679601397896,0.055904522613065326,0.09572649658804347
2014-06-06,0.07750544814663166,0.07193044664409379,1318.163798214083,0.010721151197114883,0.06383424026789451,0.07193044664409379
2014-06-09,0.0451920898637354,0.04323807107038785,1244.3891523490424,0.010121728896601241,0.04707112970711297,0.04323807107038785
2014-06-10,0.014507617297348176,0.01430015610528043,1196.0133784176494,0.009689957482044152,0.03785027185278126,0.01430015610528043
2014-06-11,-0.014050644836938526,-0.013855959668757864,1141.7954236139874,0.009254626751371977,0.031145484949832776,-0.013855959668757864
2014-06-12,-0.03263787377308699,-0.0316063109847343,1169.8646851675437,0.009374031390777885,0.033221897200167154,-0.0316063109847343
2014-06-13,-0.052983343063696814,-0.050317361060565,1124.8164199672358,0.008991904055199727,0.022765246449456975,-0.050317361060565
2014-06-16,-0.08269096889715484,-0.0763754120729252,1096.0639656815106,0.008801050077633918,0.018997912317327767,-0.0763754120729252
2014-06-17,-0.10918148381765491,-0.09843428276666394,1067.2922760704535,0.008561319615270256,0.013146911519198664,-0.09843428276666394
2014-06-18,-0.13159956757182167,-0.1162951730833612,1066.2909397792196,0.008490615988679503,0.011055486024196913,-0.1162951730833612
2014-06-19,-0.14823698667815446,-0.1290996444096471,1269.962360493489,0.009828886172873363,0.04441201000834028,-0.1290996444096471
2014-06-20,-0.17046011641542225,-0.14563513444393364,1241.8606494076496,0.009631859757457884,0.040225093789078785,-0.14563513444393364
2014-06-23,-0.20211100992125888,-0.16813007139373728,1196.7048860326881,0.009244503449315471,0.03270833333333333,-0.16813007139373728
2014-06-24,-0.2283447621088584,-0.1858963127883001,1154.130921850903,0.008927576073352539,0.022282382340691378,-0.1858963127883001
2014-06-25,-0.2550596519348167,-0.20322512283907251,1136.4436322517063,0.008786097851690705,0.01935886761032473,-0.20322512283907251
2014-06-26,-0.2837321798528875,-0.2210213191706408,1115.177957394439,0.008641666536842207,0.01435705368289638,-0.2210213191706408
2014-06-27,-0.3117853268978221,-0.2376801451462704,1073.2444302950523,0.008343273210956697,0.008111480865224625,-0.2376801451462704
2014-06-30,-0.33705862166069206,-0.25208963631082143,1117.4556419412033,0.008612844621066155,0.014760914760914762,-0.25208963631082143
2014-07-01,-0.377231437840378,-0.27390562506466637,1098.3899384867743,0.008507745765537221,0.012676641729010805,-0.27390562506466637
2014-07-02,-0.41661151943284813,-0.294090167782655,1063.2423846922868,0.00823933517474016,0.004777731616119651,-0.294090167782655
2014-07-03,-0.45305800550848424,-0.31179622822417247,1081.6189705805248,0.008431768918254486,0.01058970099667774,-0.31179622822417247
2014-07-07,-0.48557475120304916,-0.3268598573109974,1071.3736367182578,0.00836110717261974,0.00892486508924865,-0.3268598573109974
2014-07-08,-0.5147976416765457,-0.33984581670379327,1074.2511220306212,0.008365338200954253,0.00933609958506224,-0.33984581670379327
2014-07-09,-0.5385734637565529,-0.35004728499709187,1085.251919924259,0.008398439253733217,0.010576524263790958,-0.35004728499709187
2014-07-10,-0.5625504369605782,-0.3600206583122096,1108.4946434958629,0.008529904529208304,0.01554726368159204,-0.3600206583122096
2014-07-11,-0.5865441355785194,-0.3696992238823795,1061.8512344250062,0.008146084700068494,0.00435142975549109,-0.3696992238823795
2014-07-14,-0.6121567194735014,-0.37971291009066394,1170.3114637261547,0.009139786463648597,0.035418392709196354,-0.37971291009066394
2014-07-15,-0.6400198702438751,-0.3902512901558336,1229.2657228697028,0.009694796336658327,0.04699792960662526,-0.3902512901558336
2014-07-16,-0.6721459507655482,-0.40196607865349543,1278.8346739740186,0.0099747860418293,0.054014900662251654,-0.40196607865349543
2014-07-17,-0.6935826733781701,-0.40953576360974964,1423.9234636407994,0.010866120146155742,0.08005792304509723,-0.40953576360974964
2014-07-18,-0.7186827063594642,-0.41815903755835604,1454.6242164907505,0.011218616764112822,0.09822167080231596,-0.41815903755835604
2014-07-21,-0.7357873435070388,-0.4238925616431971,1383.0280953316767,0.01064974640313069,0.07131045886730054,-0.4238925616431971
2014-07-22,-0.7678038233742482,-0.43432637333520596,1365.1449505043379,0.010581761226538122,0.06921487603305786,-0.43432637333520596
2014-07-23,-0.8076133836546973,-0.4467843571847403,1323.005976138829,0.010299051488878445,0.06216439487814952,-0.4467843571847403
2014-07-24,-0.8319271788341978,-0.45412677340352564,1351.483917560078,0.010625072662623298,0.07163501238645748,-0.45412677340352564
2014-07-25,-0.8359794113056028,-0.4553315827823584,1419.8635601085427,0.010975856361170525,0.08811390837804375,-0.4553315827823584
2014-07-28,-0.8485176081860696,-0.45902598083375074,1383.974016050679,0.010750811028223908,0.07693894389438943,-0.45902598083375074
2014-07-29,-0.8596364823201154,-0.46226049579733863,1370.0992103825843,0.010669817227090123,0.0731958762886598,-0.46226049579733863
2014-07-30,-0.8678529157828151,-0.46462593946756187,1346.371641838327,0.01053491070295425,0.06780708985985161,-0.46462593946756187
2014-07-31,-0.9130670536402254,-0.47727916901962303,1368.9683762225754,0.01083884952170446,0.08096415327564895,-0.47727916901962303
2014-08-01,-0.9346580563762007,-0.4831127926176807,1453.370266849182,0.011318319072178527,0.10564250411861614,-0.4831127926176807
2014-08-04,-0.9443590562609643,-0.4856917004192543,1404.3549441626092,0.010925395237332342,0.08666117743927543,-0.4856917004192543
2014-08-05,-0.9578685204711834,-0.489240472716044,1387.3973896902255,0.01085102818772953,0.08209876543209876,-0.489240472716044
2014-08-06,-0.9620125988443115,-0.490319276956207,1391.3392233533693,0.010788707781234334,0.0783628136569313,-0.490319276956207
2014-08-07,-0.9619502429555522,-0.49030307797532924,1412.6287349695654,0.010840430209004452,0.08162006578947369,-0.49030307797532924
