month,signal_month,regime,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_cagr,standardized_sharpe,standardized_cagr,combined_score,target_volatility,sum_error,volatility_slack,cdar_slack,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,2007-03,Slowdown,0.0004616588435909114,0.0021779953928826065,1.0004616588435908,0.0,0.9999999999999999,0.0014999999999999998,0.00021633654929169524,True,False,0,Optimization terminated successfully,6,-0.21607650735278067,0.1237951500715837,0.07544927544465777,1.6407732127578583,0.1285671886170701,-0.1167588507091142,0.5489118654146753,0.21607650735278056,0.07544927536231884,1.1102230246251565e-16,-8.23389273429953e-11,0.12216772270072376,0.1757896593146199,0.3915372421019895,0.43267309858339037,1.1102230246251585e-16
2007-05,2007-04,Goldilocks,0.03719278428457994,0.03764206729712851,1.0376716135059534,0.0,0.138415320602809,0.000415245961808427,3.4037050740139574e-05,True,False,0,Optimization terminated successfully,6,-0.30933906601966266,0.13867830345863824,0.07705300655992622,1.7997779664935507,0.14534937394754283,0.06801991993734233,0.550658212101983,0.30933906601966266,0.07705300655460941,0.0,-5.316816431566451e-12,0.11363994206009256,0.3247456935616413,0.3196051737253545,0.3556491327130042,2.7755575615629086e-17
2007-06,2007-05,Slowdown,-0.007449737872335234,-0.0071440991038428225,1.0299412319877708,-0.007449737872335382,0.09263508091522749,0.00027790524274568244,2.77335257467298e-05,True,False,0,Optimization terminated successfully,7,-0.2881198658423934,0.13492885217544845,0.07615406110135955,1.7717880074164503,0.141141562135968,0.05520111718712914,0.5210386144976579,0.2881198658423935,0.07615406110135352,0.0,-6.036837696399289e-15,0.1173078736920806,0.2489223324215539,0.3458803855775154,0.40519728200093075,6.72956284248554e-17
2007-07,2007-06,Slowdown,0.0403638514045761,0.04044395842939312,1.0715136268311711,0.0,0.025162675787328764,7.548802736198629e-05,4.618997455030694e-06,True,False,0,Optimization terminated successfully,6,-0.31571749880680167,0.1370532181167127,0.07671452122545208,1.786535533656458,0.14351935361836238,0.08928751124424382,0.542147486369359,0.31571749880680144,0.07671452119754006,0.0,-2.7912019917586406e-11,0.11530091979925702,0.2699386607881183,0.3233384017150108,0.40672293749687055,2.0182349325434802e-16
2007-08,2007-07,Slowdown,0.006887830053522119,0.007160489906775403,1.0788940305928174,0.0,0.08410099002963388,0.00025230297008890166,2.0356883164381944e-05,True,False,0,Optimization terminated successfully,7,-0.2759525205591912,0.13360112490862897,0.07578255685214312,1.7629535140823207,0.13965960640572728,0.049580261808283003,0.5023247793100983,0.2759525205591907,0.07578255685184623,0.0,-2.9688751457257467e-13,0.11924650126579947,0.20089221196721616,0.356568217348058,0.44253957068472577,0.0
2007-09,2007-08,Slowdown,0.04186623214673092,0.0419610589414616,1.1240632585393384,0.0,0.028887509626881774,8.666252888064532e-05,8.164265850033631e-06,True,False,0,Optimization terminated successfully,7,-0.3739195300516742,0.13652882812282668,0.07626954463967943,1.7900831684236542,0.1429587631216905,0.2039780127717047,0.5438610473316433,0.373919530051674,0.0762695446384854,0.0,-1.194030985196548e-12,0.11689181507405541,0.20874278697236,0.3243810781369757,0.46687613489066426,0.0
2007-10,2007-09,Slowdown,0.040308807018827275,0.04055914916610563,1.1693729075047548,0.0,0.07152632779381592,0.00021457898338144774,3.576316389690795e-05,True,False,0,Optimization terminated successfully,7,-0.30191897196122053,0.13254950884448433,0.07613179723550681,1.7410531953482518,0.13843155207644184,0.12952440891220646,0.4743135350102321,0.3019189719612193,0.07613179723502304,0.0,-4.837658051926041e-13,0.11798189098320519,0.2390147447211183,0.3523108093808746,0.40867444589800705,0.0
2007-11,2007-10,Goldilocks,-0.014004431213293828,-0.013992439565633664,1.152996505058915,-0.014004431213293755,0.003492412400342625,1.0477237201027874e-05,1.5144104591371943e-06,True,False,0,Optimization terminated successfully,7,-0.18445526969332215,0.13395584922604253,0.07929118469522428,1.6894166702255202,0.13975383313322798,0.0027258273669633387,0.36618471201968084,0.1844552696933221,0.07929118469341176,0.0,-1.812522354427415e-12,0.11730130651691198,0.24377429975257195,0.3437233034885254,0.4125023967589025,1.7554853123051918e-16
2007-12,2007-11,Goldilocks,0.04180744491714339,0.042081334744718236,1.2012003429338245,0.0,0.08098910383201867,0.00024296731149605602,3.092251607879229e-05,True,False,0,Optimization terminated successfully,7,-0.3101510595756338,0.12949115463795433,0.07768713079299823,1.6668288983794608,0.13481938883639286,0.24691260855770775,0.37338951059355957,0.31015105957563366,0.07768713078916652,0.0,-3.831712724888803e-12,0.11990272380297831,0.14640462495120538,0.3666055098870053,0.4869898651617892,1.1102230246251605e-16
2008-01,2007-12,Stagflation,0.031263704713082215,0.031579696743616284,1.2387543157565606,0.0,0.09028343729544855,0.00027085031188634563,4.5141718647724236e-05,True,False,0,Optimization terminated successfully,8,-0.15066519082340035,0.12548286742753353,0.07641674859979966,1.642085926538132,0.13039045415828793,0.17850465846015878,0.12282572318664166,0.1506651908234002,0.07641674859979945,0.0,-2.0816681711721685e-16,0.12320889254548784,0.18818554018286365,0.3944224009064772,0.4173920589106593,0.0
2008-02,2008-01,Stagflation,0.027653219724279463,0.02792076177159414,1.2730098610345761,0.0,0.07676936975049206,0.0002303081092514762,3.723393806320255e-05,True,False,0,Optimization terminated successfully,8,-0.9644335938779914,0.12461978283449686,0.07602810691271585,1.6391277896418852,0.12944870987855023,1.4342489262256675,0.4946182615303151,0.9644335938779913,0.07602810690112344,0.0,-1.159240758941138e-11,0.12295273519154523,0.23632169354408752,0.38944612999991474,0.37423217645599754,3.330669073875468e-16
2008-03,2008-02,Stagflation,-0.015102984378783138,-0.015076550566163839,1.253783612989334,-0.015102984378783102,0.007851127228176285,2.3553381684528855e-05,2.8804309347714443e-06,True,False,0,Optimization terminated successfully,9,-0.8162371439675646,0.12595485448347057,0.07589525495976464,1.6595880012557398,0.13096902514671602,1.3579454022668989,0.27452888566819317,0.816237143967546,0.07589525495982505,0.0,6.041001032741633e-14,0.12211946763886922,0.2398634639484619,0.3793354016123872,0.38080113443915087,0.0
2008-04,2008-03,Overheating,0.01905344435812523,0.019104406560151957,1.2776725092965555,0.0,0.016665176210857575,4.9995528632572725e-05,9.666733941560424e-07,True,False,0,Optimization terminated successfully,9,-0.8041785935795751,0.12738516341096623,0.07776896735832439,1.6379947906988752,0.13242478059547477,1.3981737995334176,0.21018338762573183,0.8041785935795747,0.07776896735800483,0.0,-3.195638198505435e-13,0.12129367528091595,0.26398100301522653,0.3685117403199374,0.36750725666478995,4.6192085061762584e-14
2008-05,2008-04,Overheating,0.015530568824631642,0.015613467108164636,1.2975154901375254,0.0,0.023685223866576843,7.105567159973053e-05,1.184261193326247e-05,True,False,0,Optimization terminated successfully,9,-0.7985684295841448,0.13561095304842846,0.07762631370594064,1.7469714401503305,0.1417909412352213,1.4258803547288141,0.1712565044394451,0.7985684295841297,0.07762631370595972,0.0,1.9081958235744878e-14,0.11994751633300868,0.2738932872368457,0.3520159455817685,0.3740907671813859,0.0
