month,signal_month,regime,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_return,expected_annual_volatility,expected_sharpe,target_volatility,sum_error,volatility_slack,cdar_slack,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,2007-03,Slowdown,-0.0014176442007690082,0.00011754556014495376,0.998582355799231,-0.0014176442007689527,1.0,0.0015,3.518976091396186e-05,True,False,0,Optimization terminated successfully,5,-4.292353366621114,0.06883315910895871,0.016036228434552983,4.292353366621112,0.07544927536231884,0.0,0.059413046927765854,0.15718642434761407,0.04962047843218912,0.8799999997398871,0.07037952176343981,6.448391940568463e-11
2007-05,2007-04,Goldilocks,0.009111328170560033,0.009165633755211504,1.0076807673482486,0.0,0.01551588184703017,4.654764554109051e-05,7.757939110379583e-06,True,False,0,Optimization terminated successfully,6,-4.267933484470432,0.0664704423014722,0.015574385716960149,4.267933484470428,0.07705300655460941,1.1102230246251565e-16,0.06147862083764926,0.1567452184975305,0.06645017962055805,0.8799999834854707,0.05354983320840984,3.6855613005926106e-09
2007-06,2007-05,Slowdown,-0.0006522495804763866,-0.0005994487378197418,1.0070235079904917,-0.0006522495804762718,0.015944087199138555,4.7832261597415664e-05,4.968581059229233e-06,True,False,0,Optimization terminated successfully,4,-4.197988109344465,0.06532853615215037,0.015561867943348026,4.197988081506326,0.07615406110135352,0.0,0.06059219315800549,0.15702131266051247,0.05591829523598929,0.88,0.064081704249715,5.142957552883853e-10
2007-07,2007-06,Slowdown,0.014428847237966898,0.014441503634106335,1.0215536963523282,0.0,0.0037391472221244225,1.1217441666373268e-05,1.4389544730648887e-06,True,False,0,Optimization terminated successfully,3,-4.037831285519921,0.06311574541465803,0.015631100211638316,4.037831282513593,0.07671452119754006,0.0,0.06108342098590175,0.15690309854286008,0.06042756254127466,0.88,0.05957243738530791,7.341749430622713e-11
2007-08,2007-07,Slowdown,-0.0007105499998711824,-0.0006332900488516559,1.0208278313735166,-0.0007105499998711906,0.022902364629322283,6.870709388796685e-05,8.552857131559666e-06,True,False,0,Optimization terminated successfully,13,-3.706834477965688,0.065488811547865,0.017667152401139367,3.7068119446143215,0.07578255685184623,0.0,0.05811540445070687,0.15737233285082472,0.0425305358614671,0.88,0.07746897277668377,4.913618493161687e-07
2007-09,2007-08,Slowdown,0.009649264249145402,0.009678999335477584,1.0306780688713217,0.0,0.008687810103561934,2.6063430310685804e-05,3.671656021496543e-06,True,False,0,Optimization terminated successfully,7,-3.514383636795107,0.0620688570256336,0.01766137789519155,3.5143836111752265,0.0762695446384854,0.0,0.058608166743293846,0.15761775489005117,0.03317030060922471,0.88,0.08682969874822498,6.42550412183196e-10
2007-10,2007-09,Slowdown,0.011425672333660843,0.011467835794135784,1.0424542587677357,0.0,0.012046702992840472,3.614010897852142e-05,6.023351496420242e-06,True,False,0,Optimization terminated successfully,7,-3.4720818533540467,0.06147842443371992,0.01770650204410495,3.4720818533544295,0.07613179723502304,0.0,0.05842529519091809,0.15744172348399368,0.039883482248953044,0.8799999999999758,0.08011651775107131,0.0
2007-11,2007-10,Goldilocks,-0.004829307433857662,-0.004810101837221876,1.0374199266664121,-0.004829307433857566,0.005730874654092196,1.719262396227659e-05,2.012972673509625e-06,True,False,0,Optimization terminated successfully,8,-3.4151898746377567,0.06211781895351935,0.01818868686240924,3.415189860786428,0.07929118469341176,0.0,0.06110249783100252,0.15743283954655876,0.0402222954475126,0.88,0.07977770423959475,3.128927221485167e-10
2007-12,2007-11,Goldilocks,0.010673912007763343,0.010738787667067949,1.0484932556787496,0.0,0.018535902702169642,5.5607708106508926e-05,9.267951198097348e-06,True,False,0,Optimization terminated successfully,5,-2.9304885502507556,0.05875854912191587,0.020050769049033686,2.930488550250777,0.07768713078916652,1.1102230246251565e-16,0.05763636174013283,0.15743218735764422,0.02,0.8799999999999989,0.09999999999999605,4.8849813083506896e-15
2008-01,2007-12,Stagflation,0.029995879920715222,0.030022061121885296,1.0799437334737692,0.0,0.007480344730886107,2.2441034192658322e-05,3.7401669774155753e-06,True,False,0,Optimization terminated successfully,7,-2.8763596556654254,0.058366246999462,0.020291709254653623,2.8763593183298006,0.07641674859979945,0.0,0.05612503934514583,0.15754075453279912,0.020000010776060274,0.88,0.0999999784478795,1.0776060273276489e-08
