month,signal_cutoff_month,history_end_month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,expected_monthly_return,expected_monthly_variance,expected_annual_volatility,expected_monthly_log_growth_net,expected_annual_log_growth_net,estimated_transaction_cost,downside_semivariance_diagnostic,downside_semivariance_coefficient_in_objective,historical_cdar,policy,family,displayed_value,objective,volatility_cap,cdar_limit,cdar_confidence,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,sum_error,volatility_slack,cdar_slack
2007-04,2007-03,2007-03,-0.0033939689406141033,-0.001893968079605006,0.9966060310593859,-0.003393968940614056,1.0,0.0015,8.610090974836708e-10,4.598919511851377e-15,0.9999982779818005,1.722018192170101e-06,2.7972405046659746e-15,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.003720720400654193,9.639915421842443e-06,0.01075541654526264,0.0022158960433341828,0.026590752520010193,0.0015000043996090888,8.071401535972545e-10,0.0,-4.920793087287434e-05,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,12,-0.0022158960433342322,0.0,0.08924458345473736,0.15995079206912713
2007-05,2007-04,2007-04,0.002277201782832237,0.0022772332657329673,0.9988755040900958,-0.0011244959099041552,8.995114494381989e-06,2.698534348314597e-08,4.497557247143797e-09,4.8142934805999845e-15,0.9999893116073553,1.0688392637443415e-05,2.5085995046555402e-15,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0032177291851179326,1.0182915804254946e-05,0.011054184259865553,0.0032126030503624517,0.03855123660434942,3.467685335350128e-08,2.767205330608555e-07,0.0,-0.0009962675673665378,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,2,-0.003212603050362451,0.0,0.08894581574013445,0.15900373243263347
2007-06,2007-05,2007-05,-0.016352904778548304,-0.01439572518171979,0.982540988086086,-0.01745901191391397,0.5591941705224334,0.0016775825115673002,0.0002795970852612155,5.410652067791744e-18,0.4407949481089127,0.5592050518910874,5.204170427930421e-18,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.0058539202833039735,0.0006634800723639061,0.08922869980206409,0.0035649976502903874,0.04277997180348465,0.001957182596831633,0.0001224469754817005,0.0,-0.035843556548915745,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,8,-0.0035649976502903874,0.0,0.010771300197935915,0.12415644345108426
2007-07,2007-06,2007-06,0.01889812357846673,0.01889812389436191,1.0011091690998457,0.0,9.025576583332907e-08,2.707672974999872e-10,4.512788293053755e-11,5.558477928742416e-18,0.4474024463780817,0.5525975536219184,5.612916453920926e-18,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0037321888318818685,0.0005775367050489046,0.08324926702732496,0.0034434139651306496,0.041320967581567794,6.514226766305672e-09,0.00012446751299179237,0.0,-0.03509305106357902,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,1,-0.0034434139651306496,0.0,0.016750732972675042,0.12490694893642099
2007-08,2007-07,2007-07,0.013196582234743364,0.013196582787258427,1.0143203885758274,0.0,1.578614464703479e-07,4.735843394110437e-10,7.893072323516793e-11,5.987072604192004e-18,0.44251117241895,0.55748882758105,6.184607665858329e-18,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.005975294489487554,0.0005576029325389182,0.08179997060187136,0.005696486479876043,0.06835783775851252,6.543342051573758e-09,0.00011920412914623484,0.0,-0.03564864307395854,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,1,-0.005696486479876043,0.0,0.018200029398128648,0.12435135692604146
2007-09,2007-08,2007-08,0.0415593347554752,0.04155933708927307,1.0564748691539538,0.0,6.667993918685294e-07,2.000398175605588e-09,3.3339969592038664e-10,3.3563980734144664e-17,0.43580371903184034,0.5641962809681595,3.3627158293048836e-17,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.006096890482981322,0.0005161053710719422,0.07869729635040397,0.005838830590711166,0.07006596708853399,7.2067341851786374e-09,0.00011548138583514307,0.0,-0.03641032817713474,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,1,-0.005838830590711166,0.0,0.021302703649596036,0.12358967182286526
2007-10,2007-09,2007-09,0.0357279785909897,0.03572797922035087,1.0942205806610048,0.0,1.798174747158121e-07,5.394524241474363e-10,8.99087373579059e-11,6.112693529014245e-17,0.41947756783221535,0.5805224321677845,6.268398754234297e-17,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.007759168030022776,0.0006781153755748994,0.09020745261284564,0.00742010378610042,0.08904124543320505,6.556134906258012e-09,0.00011681985086205203,0.0,-0.038263307725501405,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,1,-0.00742010378610042,0.0,0.009792547387154363,0.1217366922744986
2007-11,2007-10,2007-10,0.008519617817233729,0.008569360365518317,1.1035429218159882,0.0,0.01421215665273971,4.263646995821913e-05,7.1060783263698e-06,2.240348208087377e-18,0.3927720715436366,0.6072279284563634,0.0,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.014143311570774284,0.000833333333333412,0.10000000000000472,0.013676899355699856,0.16412279226839827,4.974554840772275e-05,0.0001232455543335746,0.0,-0.0412913029253934,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,5,-0.013676899355699856,0.0,-4.718447854656915e-15,0.1187086970746066
2007-12,2007-11,2007-11,0.05058292927424496,0.05071234575722241,1.1593633553813,0.0,0.036976137993557395,0.00011092841398067219,1.8488068996778685e-05,0.0,0.42513786340091425,0.5748621365990857,0.0,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.01019279841986373,0.0008333333334054705,0.10000000000432824,0.009646712270136215,0.11576054724163459,0.00012941948302477868,0.00010269050193137692,0.0,-0.03762103588197796,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,3,-0.009646712270136215,0.0,-4.328232217076788e-12,0.12237896411802204
2008-01,2007-12,2007-12,0.07190557790995018,0.0720181456409334,1.2427280474576115,0.0,0.03216220885234278,9.648662655702833e-05,1.6081104426171334e-05,0.0,0.4378046840153402,0.5621953159846599,2.6833110413954677e-18,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.013200822457407793,0.000833333333333333,0.09999999999999998,0.012671585059703516,0.15205902071644217,0.00011257073103761135,9.268644775464582e-05,0.0,-0.03424255147387382,Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,parameter_free_expected_log_growth,0.1,0.16,0.9,True,False,0,Optimization terminated successfully,4,-0.012671585059703516,0.0,2.7755575615628914e-17,0.1257574485261262
