Strategy,Family,DisplayedValue,VolatilityCap,CDaRLimit,CDaRConfidence,Months,SolverSuccesses,Fallbacks,VolatilityBindingMonths,CDaRBindingMonths,MinimumVolatilitySlack,MinimumCDaRSlack,MaximumWeightSumError,AllHistoryBeforeTarget
Stage44_PF_BothGuards,core_ablation,,0.13,0.16,0.9,232,232,0,123,2,-8.411402130370504e-10,-1.0886486156991282e-11,2.220446049250313e-16,True
Stage44_PF_CDaROnly,core_ablation,,,0.16,0.9,232,232,0,0,103,,-8.832013176363063e-10,2.220446049250313e-16,True
Stage44_PF_VolOnly,core_ablation,,0.13,,0.9,232,232,0,125,0,-8.411912000294564e-10,,2.220446049250313e-16,True
Stage44_PF_NoGuards,core_ablation,,,,0.9,232,232,0,0,0,,,2.220446049250313e-16,True
Stage44_VolCap_10pct,volatility_cap_sensitivity,0.1,0.1,0.16,0.9,232,232,0,133,0,-9.48292125380057e-10,0.029191298392844428,2.220446049250313e-16,True
Stage44_VolCap_11pct,volatility_cap_sensitivity,0.11,0.11,0.16,0.9,232,232,0,131,0,-9.615046536737282e-10,0.010458403449400827,1.1102230246251565e-16,True
Stage44_VolCap_12pct,volatility_cap_sensitivity,0.12,0.12,0.16,0.9,232,232,0,126,1,-9.996607291951065e-10,-4.6174208900851e-10,2.220446049250313e-16,True
Stage44_VolCap_13pct,volatility_cap_sensitivity,0.13,0.13,0.16,0.9,232,232,0,123,2,-8.411402130370504e-10,-1.0886486156991282e-11,2.220446049250313e-16,True
Stage44_VolCap_14pct,volatility_cap_sensitivity,0.14,0.14,0.16,0.9,232,232,0,119,5,-9.325605565546624e-10,-4.1014358576063614e-11,2.220446049250313e-16,True
Stage44_VolCap_15pct,volatility_cap_sensitivity,0.15,0.15,0.16,0.9,232,232,0,105,20,-8.589570166250837e-10,-9.379210186288844e-10,2.220446049250313e-16,True
Stage44_CDaRLimit_12pct,cdar_limit_sensitivity,0.12,0.13,0.12,0.9,232,232,0,99,44,-9.306829473754163e-10,-5.009354459017956e-10,2.220446049250313e-16,True
Stage44_CDaRLimit_14pct,cdar_limit_sensitivity,0.14,0.13,0.14,0.9,232,232,0,117,11,-8.411402130370504e-10,-2.2409088473729355e-10,2.220446049250313e-16,True
Stage44_CDaRLimit_16pct,cdar_limit_sensitivity,0.16,0.13,0.16,0.9,232,232,0,123,2,-8.411402130370504e-10,-1.0886486156991282e-11,2.220446049250313e-16,True
Stage44_CDaRLimit_18pct,cdar_limit_sensitivity,0.18,0.13,0.18,0.9,232,232,0,125,0,-8.411402130370504e-10,0.001697749011314753,2.220446049250313e-16,True
Stage44_CDaRLimit_20pct,cdar_limit_sensitivity,0.2,0.13,0.2,0.9,232,232,0,125,0,-8.411402130370504e-10,0.02169774899939733,2.220446049250313e-16,True
Stage44_CDaRConfidence_80pct,cdar_confidence_sensitivity,0.8,0.13,0.16,0.8,232,232,0,125,0,-8.411402130370504e-10,0.028847627265041476,2.220446049250313e-16,True
Stage44_CDaRConfidence_85pct,cdar_confidence_sensitivity,0.85,0.13,0.16,0.85,232,232,0,125,0,-8.411402130370504e-10,0.00985533355618845,2.220446049250313e-16,True
Stage44_CDaRConfidence_90pct,cdar_confidence_sensitivity,0.9,0.13,0.16,0.9,232,232,0,123,2,-8.411402130370504e-10,-1.0886486156991282e-11,2.220446049250313e-16,True
Stage44_CDaRConfidence_95pct,cdar_confidence_sensitivity,0.95,0.13,0.16,0.95,232,232,0,116,11,-8.411402130370504e-10,-1.1710271641263148e-11,2.220446049250313e-16,True
