month,return_base,return_stress_aware,overlay_alpha,stress_score,base_risky_weight,stress_aware_risky_weight,risk_reduction,KODEX200_return,risk_off_action,positive_equity_month,crash_month,false_positive,caught_crash,missed_crash
2007-04,0.03416926215614925,0.028013723083755368,-0.006155539072393884,0.44154815101722783,0.585419776228641,0.4894879111959844,0.09593186503265666,0.06227067269343256,True,True,False,True,False,False
2007-05,0.08980113557754382,0.08324480020899683,-0.006556335368546995,0.4955475396676942,0.9958179656370744,0.9229763592942524,0.072841606342822,0.09135963155786953,True,True,False,True,False,False
2007-06,0.010025495712535243,0.010404064427196309,0.0003785687146610657,0.5871695775491049,0.8837438270499598,0.8855012066095247,-0.0017573795595648978,0.013164533736984563,False,True,False,False,False,False
2007-07,0.09172062192694458,0.09175628467101966,3.566274407508507e-05,0.4727490475190912,0.9253472067853322,0.926913243693003,-0.0015660369076707648,0.09846975733429919,False,True,False,False,False,False
2007-08,-0.0144182747911066,-0.014575645388725684,-0.00015737059761908312,0.6341131253053367,0.8569905639796112,0.858378454982652,-0.0013878910030408198,-0.016444792482380732,False,False,False,False,False,False
2007-09,0.03247909230754705,0.0321636575325536,-0.0003154347749934547,0.676341430829936,0.8610505240252416,0.8622678109230604,-0.0012172868978187479,0.03670801206838781,False,True,False,False,False,False
2007-10,0.05679341994762876,0.05659420646923643,-0.0001992134783923294,0.5193018641774033,0.8822286655747736,0.8837035859234499,-0.0014749203486762452,0.06329830234438161,False,True,False,False,False,False
2007-11,-0.061764324023740054,-0.06178314258090407,-1.881855716401315e-05,0.7818130798505039,0.80150192069559,0.8015019215173897,-8.217997393700216e-10,-0.08024785220101893,False,False,True,False,False,True
2007-12,0.02504164917528383,0.025041649172263522,-3.020306227341507e-12,0.6626775724585523,0.6582073324481327,0.6582073324478025,3.3018032752352156e-13,-0.006116966315354189,False,False,False,False,False,False
2008-01,-0.04053036450407154,-0.04052898657311215,1.3779309593897615e-06,0.5132411542673639,0.6379176272120374,0.6379116579181934,5.969293843999246e-06,-0.12537946521395604,True,False,True,False,True,False
2008-02,0.05315184699764357,0.053151869009784074,2.2012140506177946e-08,0.6374043030072718,0.1343998894548078,0.13439988945480744,3.608224830031759e-16,0.009176492963103966,False,True,False,False,False,False
2008-03,-0.04481742360073566,-0.04481742360070648,2.9178048865929895e-14,0.587668445200261,0.12396462034182461,0.12396462034218286,-3.582550922587302e-13,0.02346289752650188,False,True,False,False,False,False
2008-04,-0.004619380001460823,-0.004619380001460078,7.450637329320386e-16,0.5274413701575932,0.1876210496778562,0.18762104967785148,4.718447854656915e-15,0.09901947244855691,False,True,False,False,False,False
2008-05,0.05533798224242996,0.05513532297550671,-0.00020265926692324826,0.4680286725621713,0.2742956726346796,0.2714707543439867,0.0028249182906928683,-0.007665242523247073,True,False,False,False,False,False
2008-06,0.06483280130809707,0.06483308411930462,2.828112075498046e-07,0.5104176318429294,0.3392367444756169,0.3388619516233342,0.00037479285228270154,-0.09822295386433677,True,False,True,False,True,False
2008-07,-0.07949976379113173,-0.07945260063091851,4.7163160213220534e-05,0.6831293231709922,0.3213513791700723,0.3206382672504089,0.0007131119196633895,-0.05401610185358552,True,False,False,False,False,False
2008-08,-0.029380195425037413,-0.029360862005492476,1.9333419544936836e-05,0.5052696849588909,0.1708400785758911,0.1706030155673072,0.00023706300858389318,-0.07822859970311735,True,False,True,False,True,False
2008-09,0.07571519931099135,0.07637577444720198,0.0006605751362106227,0.6021767779138312,0.17580366853768112,0.1735749033654329,0.0022287651722482094,0.0059047721294755995,True,True,False,True,False,False
2008-10,-0.0853334407296837,-0.08468313091422999,0.0006503098154537063,0.6080814217442396,0.09063409196944353,0.08715473582880612,0.0034793561406374074,-0.21233790490421034,True,False,True,False,True,False
2008-11,0.12708031113511084,0.1270889404944035,8.629359292661176e-06,0.8504830122889445,3.9927691771350344e-17,1.6872793760999765e-17,2.305489801035058e-17,-0.04972899728997304,False,False,False,False,False,False
2008-12,0.032705966832607875,0.032705966834349606,1.7417317588197534e-12,0.587662425438711,5.684350660302509e-17,2.789508318793975e-17,2.894842341508534e-17,0.05168971909311293,False,True,False,False,False,False
