month,signal_month,return,core_return,growth_return,nav,drawdown,turnover,meta_switch_turnover,meta_switch_cost,w_stage10_core,w_unlevered_vix6_growth,w_option,gross_exposure,solver_success,used_grid_fallback,solver_status,solver_message,solver_iterations,risk_state,relative_momentum_6m,growth_cap,growth_lower_bound,growth_upper_bound,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_log_growth,historical_cdar,sharpe_slack,cdar_slack,option_return,option_reallocation_cost,option_trade_available
2007-04,2007-03,0.0004616588435909,0.0004616588435909,0.012192494217172278,1.0004616588435908,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-05,2007-04,0.0371927842845799,0.0371927842845799,0.06268793001760309,1.0376716135059534,0.0,0.138415320602809,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-06,2007-05,-0.0074497378723352,-0.0074497378723352,0.00788202889683376,1.029941231987771,-0.00744973787233516,0.0926350809152274,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-07,2007-06,0.0403638514045761,0.0403638514045761,0.07580296526107566,1.0715136268311714,0.0,0.0251626757873287,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-08,2007-07,0.0068878300535221,0.0068878300535221,-0.0033634202481030995,1.0788940305928174,0.0,0.0841009900296338,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-09,2007-08,0.0418662321467309,0.0418662321467309,0.03964595915488589,1.1240632585393384,0.0,0.0288875096268817,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-10,2007-09,0.0403088070188272,0.0403088070188272,0.04121848256095606,1.1693729075047545,0.0,0.0715263277938159,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2007-11,2007-10,-0.015229322961506628,-0.0140044312132938,-0.045829105283159643,1.1515641498339286,-0.015229322961506586,0.0090639149265298,0.0,0.0,0.9972142487369065,0.0,0.0027857512630936,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,-0.4507033248081841,8.357253789280915e-06,True
2007-12,2007-11,0.0418074449171433,0.0418074449171433,0.059793391357547465,1.1997081045966675,0.0,0.0809891038320186,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2008-01,2007-12,0.0312637047130822,0.0312637047130822,-0.006400317985341797,1.2372154245206692,0.0,0.0902834372954485,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2008-02,2008-01,0.0276532197242794,0.0276532197242794,0.08261142054955495,1.271428414501207,0.0,0.076769369750492,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2008-03,2008-02,-0.0151029843787831,-0.0151029843787831,0.008668940178145013,1.2522260510182541,-0.015102984378783213,0.0078511272281762,0.0,0.0,1.0,0.0,0.0,1.0,True,False,0,warmup_core_only,0,Warmup,,0.0,0.0,0.0,,,,,,,,,0.0,False
2008-04,2008-03,0.03175779607657581,0.0190534443581252,0.07037085123192766,1.2919939905882676,0.0,0.28979505189407695,0.25,0.000125,0.75,0.25,0.0,1.0,True,False,0,Optimization terminated successfully,4,Alert,0.02421256596957133,0.75,0.0,0.25,0.20944909859574717,0.08513901979105717,2.4600835094151186,0.20582477225025617,-0.015560301485155692,1.4100835094151185,0.11443969851484431,,0.0,False
2008-05,2008-04,0.04505669877211095,0.0155305688246316,0.0748328287195903,1.3502069746375809,0.0,0.27452464168415164,0.25,0.000125,0.5,0.5,0.0,1.0,True,False,0,Optimization terminated successfully,4,Alert,0.07484989620098115,0.75,0.0,0.5,0.22000033954905662,0.09480781727241144,2.3204873382637774,0.21550607844107714,-0.016566895174272844,1.2704873382637774,0.11343310482572716,,0.0,False
2008-06,2008-05,0.0557424896509375,0.0032096656524853,0.07342009765042157,1.42547087294794,0.0,0.27462974233543114,0.25,0.000125,0.25,0.75,0.0,1.0,True,False,0,Optimization terminated successfully,4,Alert,0.1755592925608218,0.75,0.25,0.75,0.2295192336081361,0.11134169510454862,2.0613951798795593,0.22332074707375896,-0.019336772219194998,1.0113951798795593,0.110663227780805,,0.0,False
