month,average_vkospi_stress,maximum_vkospi_stress,maximum_crisis_score,maximum_pre_crash_score,last_source_date,signal_month
2007-05,0.0,0.0,0.25930736078048,0.1618560188353341,2007-04-27,2007-04
2007-06,0.023583171884319316,0.1854708279325435,0.0255513094688886,0.5262345805438133,2007-05-30,2007-05
2007-07,0.07789662624620443,0.3907117608881298,0.2028060103443121,0.4924444763507489,2007-06-28,2007-06
2007-08,0.24711848946823076,0.9129909748103596,0.2420185079485692,0.5809094976119035,2007-07-30,2007-07
2007-09,0.4593834616640267,0.9810738982254203,1.0,0.6624775437116255,2007-08-30,2007-08
2007-10,0.1204287096060892,0.3051383399209487,0.0986928211015415,1.0,2007-09-27,2007-09
2007-11,0.07513179110864375,0.3527537091060065,0.35,0.6391578749599697,2007-10-30,2007-10
2007-12,0.20669935439687792,0.4129823464107849,0.4375706293233538,0.6330774451380564,2007-11-29,2007-11
2008-01,0.001582014395694043,0.0201942817616096,0.166132424306546,1.0,2007-12-28,2007-12
2008-02,0.06334154270206771,0.9295291116561546,0.0008301606040318,0.0712193493027031,2008-01-30,2008-01
2008-03,0.004376644822055366,0.030293804935496,0.0517115870155921,0.4242122518229164,2008-02-28,2008-02
2008-04,0.025296442687747042,0.3209486166007905,0.0,0.9129942062037902,2008-03-28,2008-03
2008-05,0.002684549327230477,0.039735053316592,0.1264602235222749,0.6386850756506431,2008-04-29,2008-04
2008-06,0.006467199399791942,0.0491019316525512,0.0370466964472489,0.6275185421018262,2008-05-29,2008-05
2008-07,0.03099073243833003,0.1999040420191492,0.0451011741066193,0.0913553726734508,2008-06-27,2008-06
2008-08,0.007418590892799126,0.0782922497598108,0.1174006448873888,0.393114561612758,2008-07-30,2008-07
2008-09,0.016545014781771113,0.2387877443120473,0.091346891721834,0.2581294617083671,2008-08-28,2008-08
2008-10,0.11404437853197691,0.8939558332247548,0.3314581465048465,0.3207918161459147,2008-09-29,2008-09
2008-11,0.42422405377224914,0.9623845660292164,0.5672683178320391,0.6424906972841268,2008-10-30,2008-10
2008-12,0.24219782482374042,0.3719125810101717,1.0,1.0,2008-11-27,2008-11
2009-01,0.0020522767680921476,0.0418847864230149,0.35,1.0,2008-12-30,2008-12
2009-02,0.0008960014437073455,0.0197120317615616,0.520720587017665,0.7578582022129186,2009-01-29,2009-01
2009-03,0.00161083510534493,0.0322167021068986,0.0947012474697212,0.6867557488420128,2009-02-26,2009-02
2009-04,0.0025691295743492954,0.0565208506356845,0.1123707204931617,0.8722216482293813,2009-03-30,2009-03
2009-05,0.0056993268680301185,0.0902444714610661,0.0693794840773516,0.866993608212174,2009-04-29,2009-04
2009-06,0.05410861315012214,0.493754683222564,0.09132874015344,0.7390607424187425,2009-05-28,2009-05
2009-07,0.010807536729301924,0.0906437276417764,0.2301040204911853,0.3425599414537562,2009-06-29,2009-06
2009-08,0.01499715780863527,0.0891372774147807,0.0379424478992206,0.3793005667671799,2009-07-30,2009-07
2009-09,0.005404289372131833,0.0760875725721726,0.0086152240346144,0.2924699093090612,2009-08-28,2009-08
2009-10,0.0042128983499493,0.0424572000266631,0.2421778704524098,0.5367911776599179,2009-09-29,2009-09
2009-11,0.010789159725708377,0.0720943433279489,0.0419937388009923,0.3830178221179164,2009-10-29,2009-10
2009-12,0.03400034240356238,0.2381610170663444,0.0640267182341595,0.6253635927533315,2009-11-27,2009-11
