date,month,signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,state,vkospi_stress,crisis_score,pre_crash_score,source_gross_exposure,gross_exposure,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04-02,2007-04,2007-03-30,0.0004962981251591824,0.0020943606589493434,1.0004962981251593,0.0,1.0,0.0015,9.806253379016094e-05,RiskOn,0.0,0.0064861850728247,0.1618560188353341,1.4999999999999998,1.0,0.40218200803366055,0.4016929243860175,0.1474910834855209,0.048633984094801005
2007-04-03,2007-04,2007-04-02,0.0019592196255901347,0.0019592196255901347,1.0024564901077764,0.0,3.122502256758253e-17,9.367506770274758e-20,0.0,RiskOn,0.0,0.0305872246343707,0.0421916980249991,1.498550408041042,0.9999999999999999,0.4035823930047263,0.4006635228817229,0.14756299793283992,0.04819108618071081
2007-04-04,2007-04,2007-04-03,0.004735021007868092,0.004735021007868092,1.0072031426479104,0.0,1.1102230246251565e-16,3.3306690738754697e-19,2.7755575615628914e-20,RiskOn,0.0,0.0119213458414328,0.0884803398258411,1.4972067963757598,1.0,0.4059670132253958,0.3998042705371371,0.14721441952633646,0.047014296711130756
2007-04-05,2007-04,2007-04-04,0.0004664034744128366,0.0004664034744128368,1.0076729056930809,0.0,6.245004513516506e-17,1.8735013540549516e-19,2.7755575615628914e-20,RiskOn,0.0,0.0119213458414328,0.0884803398258411,1.4938215515713136,1.0,0.4070430322148152,0.39799555269763387,0.14768229529515242,0.04727911979239855
2007-04-06,2007-04,2007-04-05,0.0006064751451325747,0.000606475145132575,1.0082840342648074,0.0,1.0755285551056204e-16,3.226585665316861e-19,0.0,RiskOn,0.0,0.0119213458414328,0.0884803398258411,1.4935924564574243,0.9999999999999998,0.4073194604776652,0.39781001272554234,0.14761344787019567,0.047257078926596606
2007-04-09,2007-04,2007-04-06,0.0010741996654738768,0.0010741996654738772,1.0093671326371174,0.0,1.1449174941446927e-16,3.434752482434078e-19,0.0,RiskOn,0.0,0.0119213458414328,0.0884803398258411,1.4932603716495698,0.9999999999999999,0.40745377483521916,0.39700368681072523,0.14875839586041248,0.046784142493643086
2007-04-10,2007-04,2007-04-09,0.001968155546252888,0.0019681555462528885,1.0113537241574226,0.0,7.979727989493313e-17,2.393918396847994e-19,2.7755575615628914e-20,RiskOn,0.0,0.0,0.0,1.492584830686055,1.0,0.40987244319565774,0.3966153234469744,0.1485059857431132,0.04500624761425462
2007-04-11,2007-04,2007-04-10,-0.0003186655524902647,-0.00031866555249026446,1.011031440564151,-0.0003186655524902715,6.938893903907228e-17,2.0816681711721684e-19,1.3877787807814457e-20,RiskOn,0.0,0.0,0.0,1.491256033483106,1.0,0.41117865032907003,0.39568599086598566,0.1482337847482943,0.04490157405664998
2007-04-12,2007-04,2007-04-11,0.005123900639913161,0.005123900639913161,1.0162118652094299,0.0,8.326672684688674e-17,2.4980018054066025e-19,2.7755575615628914e-20,RiskOn,0.0,0.0,0.0,1.4916037033141114,1.0,0.4113519603343317,0.39584970084413085,0.1474901877502911,0.04530815107124649
2007-04-13,2007-04,2007-04-12,0.0015436218842489857,0.0015436218842489861,1.0177805120836008,0.0,1.1796119636642288e-16,3.5388358909926867e-19,0.0,RiskOn,0.0,0.0,0.0,1.4879879526897593,1.0,0.4127430067486313,0.3937943593846567,0.1475827985560291,0.04587983531068299
2007-04-16,2007-04,2007-04-13,0.003555330028199701,0.003555330028199701,1.021399057700328,0.0,1.3877787807814457e-17,4.163336342344337e-20,1.3877787807814457e-20,RiskOn,0.0,0.0238274338990481,0.0062822966145425,1.486982351550634,1.0,0.4117082527294982,0.39318742666824,0.14932862692188603,0.045775693680375734
2007-04-17,2007-04,2007-04-16,-0.003981524137875892,-0.003981524137875892,1.0173323326976904,-0.0039815241378760025,9.71445146547012e-17,2.914335439641036e-19,2.7755575615628914e-20,RiskOn,0.0,0.026026237714138,0.0,1.4845332888577953,1.0,0.4137618049887738,0.39201764915792864,0.1488471326242725,0.04537341322902501
2007-04-18,2007-04,2007-04-17,0.0030110254374673077,0.003011025437467308,1.020395546229801,-0.0009824871708676852,1.1449174941446927e-16,3.434752482434078e-19,0.0,RiskOn,0.0,0.25930736078048,0.0,1.4875271034404534,1.0,0.4135687543042676,0.39388348057904776,0.14839792771934882,0.04414983739733592
2007-04-19,2007-04,2007-04-18,-0.004396867906052157,-0.004396867906052157,1.0159090018011048,-0.005375035210610113,5.204170427930421e-17,1.5612511283791263e-19,1.3877787807814457e-20,RiskOn,0.0,0.0094654556755911,0.0061782308540253,1.4854654348776337,1.0000000000000002,0.4134990862953372,0.3927755146066644,0.1493785329390524,0.04434686615894604
2007-04-20,2007-04,2007-04-19,0.007484470937778563,0.007484470937778563,1.0235125432005128,0.0,6.938893903907228e-17,2.0816681711721684e-19,4.163336342344337e-20,RiskOn,0.0,0.0101863076062795,0.0,1.4887702821951678,0.9999999999999999,0.41042790996138573,0.39391175759812963,0.15148786857374846,0.04417246386673612
2007-04-23,2007-04,2007-04-20,0.001112316852306388,0.001112316852306388,1.0246510134508617,0.0,1.734723475976807e-17,5.204170427930421e-20,1.3877787807814457e-20,RiskOn,0.0,0.0,0.0545982220663007,1.4834957147883558,1.0,0.4147850248248612,0.3913195188557912,0.14961936043120735,0.04427609588814025
2007-04-24,2007-04,2007-04-23,0.0013781631935294075,0.0013781631935294077,1.0260631497638124,0.0,6.591949208711867e-17,1.9775847626135602e-19,1.3877787807814457e-20,RiskOn,0.0,0.0074960039192146,0.0961766499887052,1.482810611111253,1.0,0.41405325600291615,0.39099596758812993,0.14956635508610014,0.04538442132285379
2007-04-25,2007-04,2007-04-24,0.00010047402235965693,0.00010047402235965712,1.0261662424556641,0.0,5.551115123125783e-17,1.6653345369377348e-19,2.7755575615628914e-20,RiskOn,0.0,0.0,0.1214888589183128,1.481937112804051,1.0,0.4165425488097548,0.39042082517483934,0.1482065226437944,0.044830103371611495
2007-04-26,2007-04,2007-04-25,-0.005443148791623314,-0.005443148791623314,1.0205806669130368,-0.005443148791623442,3.122502256758253e-17,9.367506770274758e-20,0.0,RiskOn,0.0,0.0,0.1515021088291172,1.481976516505263,1.0,0.417000102629493,0.39030755386147536,0.1475112499248823,0.045181093584149394
2007-04-27,2007-04,2007-04-26,0.0007511165918583346,0.0007511165918583347,1.0213472419852851,-0.004696120639134382,2.7755575615628914e-17,8.326672684688674e-20,0.0,RiskOn,0.0,0.0,0.0377724671941368,1.4860084410036785,1.0000000000000002,0.4158510661676171,0.39236922985728384,0.14678781478290548,0.0449918891921937
2007-04-30,2007-04,2007-04-27,-0.008963403817802484,-0.008963403817802484,1.0121924942171723,-0.013617431231271127,3.8163916471489756e-17,1.1449174941446927e-19,1.3877787807814457e-20,RiskOn,0.0,0.0081046118945226,0.0343336622861752,1.485578834415415,1.0000000000000002,0.4137409831108443,0.39203753727625473,0.14816664867737342,0.046054830935527674
2007-05-01,2007-05,2007-04-30,0.01117110377320494,0.011741025960032648,1.0234998016085315,-0.0025984491954751388,0.18747433062568608,0.0005624229918770583,7.499194950650657e-06,RiskOn,0.0,0.0,0.0,1.4999999999999998,1.0,0.5896961812433362,0.2084093265650199,0.14252027576822568,0.059374216423418204
2007-05-02,2007-05,2007-04-30,0.003689909173717417,0.003689909173717417,1.027276422915785,0.0,2.0816681711721685e-17,6.245004513516506e-20,1.3877787807814457e-20,RiskOn,0.0,0.0,0.0,1.491460693681883,1.0,0.5883309417470771,0.20616667688758575,0.14549944415278077,0.06000293721255637
2007-05-03,2007-05,2007-05-02,0.0019280828032807347,0.0019280828032807347,1.0292570969210246,0.0,1.3877787807814457e-17,4.163336342344337e-20,2.7755575615628914e-20,RiskOn,0.0505277147974708,0.0,0.0,1.4888840846204199,0.9999999999999999,0.5901587664530151,0.2055645122487914,0.14561666755144226,0.05866005374675114
2007-05-04,2007-05,2007-05-03,0.002642020895114178,0.0026420208951141782,1.0319764156775344,0.0,7.28583859910259e-17,2.185751579730777e-19,0.0,RiskOn,0.0,0.0,0.0,1.4875975407079018,1.0,0.5889645068873753,0.20518836396097287,0.14723684252352742,0.05861028662812434
2007-05-07,2007-05,2007-05-04,0.00247203962261736,0.0024720396226173605,1.034527502266696,0.0,1.1449174941446927e-16,3.434752482434078e-19,4.163336342344337e-20,RiskOn,0.0,0.0,0.0,1.4858009788215893,0.9999999999999999,0.5913558969666945,0.20462829732666293,0.1476507356417169,0.05636507006492552
2007-05-08,2007-05,2007-05-07,0.00023842894991391177,0.00023842894991391202,1.0347741635727186,0.0,7.28583859910259e-17,2.185751579730777e-19,1.3877787807814457e-20,RiskOn,0.0,0.0,0.0,1.484134993545987,0.9999999999999999,0.5933650617725891,0.20402701852150287,0.14608935043714463,0.056518569268763266
2007-05-09,2007-05,2007-05-08,0.005846539589785059,0.005846539589785059,1.0408240116865333,0.0,3.469446951953614e-17,1.0408340855860842e-19,1.3877787807814457e-20,RiskOn,0.0,0.0,0.0,1.4840755315372605,0.9999999999999999,0.5927283931411418,0.2039010610519827,0.146215560155831,0.05715498565104439
2007-05-10,2007-05,2007-05-09,-0.007129868066750298,-0.007129868066750298,1.0334030738025024,-0.007129868066750422,8.326672684688674e-17,2.4980018054066025e-19,1.3877787807814457e-20,RiskOn,0.0,0.0,0.0,1.4800220354639018,1.0,0.5964366588273019,0.2026966562471224,0.1440011382976477,0.05686554662792793
