month,asset_vol_signal_month,gvz_signal_date,ovx_signal_date,gvz_level,ovx_level,gvz_causal_rank,ovx_causal_rank,gvz_active,ovx_active,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,estimated_transaction_cost,monthly_utility,policy,solver_success,used_fallback,solver_status,solver_iterations,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_GLD,expected_mu_USO
2007-04,2007-03,,,,,,,False,False,-0.003393979911459752,-0.0018939787307531645,0.9966060200885403,-0.0033939799114597324,1.0,0.0015,1.1807065876841344e-09,0.0,0.9999976385868247,2.3614131753682687e-06,0.0,0.0037207202794372674,9.639886404733387e-06,0.001500004586729663,0.002215894942362944,Stage36_gvz_ovx_asset_risk,True,False,0,12,0.010755400357810984,-4.92079961226799e-05,0.0,0.11924459964218902,0.15995079200387732,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.0,0.0,0.003531139902412379,-0.013855789355276923
2007-05,2007-04,,,,,,,False,False,0.002277211701651048,0.0022772428347956103,0.9988755029794217,-0.0011244970205782634,8.895184160768797e-06,2.668555248230639e-08,4.4475920803655564e-09,0.0,0.9999887828140291,1.1217185970874716e-05,0.0,0.0032177310645917444,1.0182910151290719e-05,3.432926252499777e-08,0.0032123285571519864,Stage36_gvz_ovx_asset_risk,True,False,0,2,0.011054181191544159,-0.0009962720256934121,0.0,0.11894581880845584,0.1590037279743066,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0,0.0,0.006771960121501378,-0.0147692207402287
2007-06,2007-05,,2007-05-31,,28.44,,,False,False,-0.011502853720223994,-0.010113022178690818,0.9873855841839343,-0.012614415816065705,0.39709472615233565,0.001191284178457007,0.00019854736307616785,5.596945405015879e-19,0.6028938541385663,0.39710614586143367,0.0,0.00509581042045777,0.00033758550100564696,0.0013898345415375819,0.0034861754771208448,Stage36_gvz_ovx_asset_risk,True,False,0,9,0.06364767090842967,-0.020309571776659874,0.0,0.06635232909157034,0.13969042822334013,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.0,0.0,0.007915445594233673,-0.011430320479609828
2007-07,2007-06,,2007-06-29,,27.44,,,False,False,0.01563504026437318,0.01563504049337745,1.0028233975491119,0.0,6.542979100185337e-08,1.962893730055601e-10,3.271489552868212e-11,2.830125198564113e-17,0.6092837720842045,0.3907162279157955,2.772782004001329e-17,0.003537689717921279,0.00029651643707236065,6.507483849566353e-09,0.0033372493473260885,Stage36_gvz_ovx_asset_risk,True,False,0,1,0.0596506265253629,-0.019713822365973965,0.0,0.0703493734746371,0.14028617763402604,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0,0.0,0.004269739281414941,-0.003624343940881681
2007-08,2007-07,,2007-07-31,,30.69,,,False,False,0.008732925134743968,0.008732925593557124,1.0115809792032777,0.0,1.31089473165455e-07,3.93268419496365e-10,6.554473658269692e-11,3.0578879315188074e-17,0.6045589348100954,0.3954410651899047,3.065024116750904e-17,0.005767595332618378,0.00029082799773728923,6.529944689678741e-09,0.005571705092973799,Stage36_gvz_ovx_asset_risk,True,False,0,1,0.05907568004557773,-0.020154345589359635,0.0,0.07092431995442228,0.13984565441064037,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.0,0.0,0.006542467994757922,0.002111902094972338
2007-09,2007-08,,2007-08-31,,28.86,,,False,False,0.030340093289873644,0.03034009542155981,1.042272440482567,0.0,6.090531903258021e-07,1.8271595709774062e-09,3.0452659516288035e-10,2.9794377497132435e-17,0.5980301474231374,0.40196985257686263,2.9229206195190083e-17,0.0056651813139874125,0.00026985265710825816,7.0980587978838964e-09,0.005480685318548645,Stage36_gvz_ovx_asset_risk,True,False,0,1,0.056905464459040295,-0.020762932300925185,0.0,0.07309453554095971,0.13923706769907482,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.0,0.0,0.007256630380193922,0.0014248470361207426
2007-10,2007-09,,2007-09-28,,29.32,,,False,False,0.027097633291751373,0.027097633929632665,1.0705155568648623,0.0,1.822517981253837e-07,5.467553943761512e-10,9.112589907655158e-11,2.996071183495133e-17,0.581894635021912,0.41810536497808815,3.070516396065699e-17,0.007472539643039148,0.00035580883647607584,6.557652673398124e-09,0.007242822619811586,Stage36_gvz_ovx_asset_risk,True,False,0,1,0.06534298767054435,-0.02226637643576862,0.0,0.06465701232945566,0.13773362356423138,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.0,0.0,0.008499448474214844,0.005213326308216961
2007-11,2007-10,,2007-10-31,,37.46,,,False,False,0.010910031564524657,0.012175248014544338,1.0821949153805728,0.0,0.3614904142913372,0.0010844712428740117,0.0001807452071456686,1.0372377527815124e-17,0.20781743403840824,0.7921825659615919,1.2680083220396876e-17,0.01546631072361557,0.001408333333369692,0.0012652194500245215,0.013267588427942914,Stage36_gvz_ovx_asset_risk,True,False,0,8,0.13000000000167808,-0.062159151800534995,0.0,-1.6780743461453085e-12,0.09784084819946501,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.0,0.0,0.016952849763063507,0.010395572715804711
2007-12,2007-11,,2007-11-30,,37.26,,,False,False,0.06526698835007227,0.06542435564305765,1.152826518315224,0.0,0.04496208371011074,0.00013488625113033224,2.24810418550554e-05,0.0,0.24960850117672065,0.7503914988232794,3.366955965335844e-18,0.01107712420222807,0.0014083333333528487,0.0001573702930243093,0.010023250254658061,Stage36_gvz_ovx_asset_risk,True,False,0,3,0.13000000000090073,-0.05745981860569771,0.0,-9.007239398783895e-13,0.1025401813943023,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.0,0.0,0.012334664423937313,0.00820338997021823
2008-01,2007-12,,2007-12-31,,36.35,,,False,False,0.08629670779574741,0.08640995874336585,1.2523116515054618,0.0,0.03235741360526649,9.707224081579948e-05,1.617870680263323e-05,2.472894445683506e-18,0.2672310250415547,0.7327689749584454,0.0,0.014781346384474398,0.0014083333333335067,0.00011325394767251614,0.013790541620795545,Stage36_gvz_ovx_asset_risk,True,False,0,4,0.130000000000008,-0.050805175397286496,0.0,-7.993605777301127e-15,0.10919482460271351,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.0,0.0,0.017257490893971158,0.011078102098412248
2008-02,2008-01,,2008-01-31,,30.24,,,False,False,0.04151143991361353,0.041896551314082764,1.3042969113800489,0.0,0.11003182870549595,0.00033009548611648786,5.5015914352747895e-05,0.01448513717668486,0.34757000883192624,0.6379448539913888,2.0282904543983054e-16,0.017159713402519493,0.0014083333333333313,0.0003851129005379505,0.015948590476144348,Stage36_gvz_ovx_asset_risk,True,False,0,10,0.12999999999999992,-0.04265086041301114,0.0,8.326672684688674e-17,0.11734913958698887,-0.0,-0.00652620117924728,1.8953488372093024,1.947674418604651,1.0,1.0,0.0,0.0,0.0224679775556834,0.009249895491056781
2008-03,2008-02,,2008-02-29,,34.82,,,False,False,-0.03683789080936102,-0.03674967399390035,1.2562493641756438,-0.03683789080936106,0.025204804417334043,7.561441325200213e-05,1.2602402208666894e-05,3.3286746748509723e-17,0.32467118473086065,0.6753288152691392,3.561992929456465e-17,0.020403380468520086,0.00140833333333337,8.82183156209164e-05,0.01948010615877055,Stage36_gvz_ovx_asset_risk,True,False,0,5,0.1300000000000017,-0.045239207378117076,0.0,-1.6930901125533637e-15,0.11476079262188293,-0.0,-0.008167260488437784,0.3103448275862069,1.1551724137931034,1.0,1.0,0.0,0.0,0.025131866542931598,0.011762295190122339
2008-04,2008-03,,2008-03-31,,39.32,,,False,False,-0.01207498478647658,-0.011702739878006406,1.241080172215202,-0.04846805862474868,0.10635568813433553,0.0003190670644030066,5.3177844067167746e-05,1.0830143604086728e-17,0.4434441872622009,0.5565558127377991,3.369511953428633e-17,0.015986627170829985,0.001408333333333337,0.0003722479084866285,0.014792885451198336,Stage36_gvz_ovx_asset_risk,True,False,0,7,0.13000000000000017,-0.0337852526732072,0.0,-1.6653345369377348e-16,0.1262147473267928,-0.0,-0.008270806760279376,0.06818181818181818,1.0340909090909092,1.0,1.0,0.0,0.0,0.020227863183771632,0.013518332420132721
2008-05,2008-04,,2008-04-30,,38.52,,,False,False,0.04373582365562617,0.04419614239661519,1.2953598357697003,-0.0068520254340650455,0.13945397958127737,0.0004183619387438321,4.195680224518819e-05,0.0,0.36888794355951304,0.4916580768592096,0.13945397958127745,0.01605307321325738,0.0014083333333466046,0.0004603202410198192,0.014724419678872018,Stage36_gvz_ovx_asset_risk,True,False,0,12,0.13000000000061251,-0.062493827175927406,0.0,-6.125100426856989e-13,0.09750617282407259,0.0,-0.009184361226252737,1.404494382022472,1.702247191011236,1.0,1.0,0.0,0.0,0.017397119980454626,0.020559747262021345
2008-06,2008-05,,2008-05-30,,42.3,,0.9850187265917603,False,True,0.05438788276173065,0.0546819811746798,1.3658117146517972,0.0,0.08402811798547212,0.0002520843539564164,4.201405899273604e-05,1.5773024027295954e-17,0.4344478161613486,0.44451797185021696,0.12103421198843445,0.018062212448465387,0.00140833333372631,0.00029409991299898753,0.016942193840379437,Stage36_gvz_ovx_asset_risk,True,False,0,10,0.13000000001813738,-0.05240792608248057,0.0,-1.8137380486393795e-11,0.10759207391751943,0.0,-0.010628488931089038,1.1777777777777778,1.588888888888889,1.0,1.9850187265917603,0.0,0.0,0.019625975120557502,0.02963612778212526
2008-07,2008-06,2008-06-30,2008-06-30,26.92,45.11,,0.953125,False,True,-0.04369181856649754,-0.04352234056752661,1.306136917019234,-0.04369181856649751,0.053391023419110784,0.00016017307025733234,9.304928713594785e-06,1.312240382545307e-16,0.4288176467832199,0.49123778349413527,0.07994456972264463,0.017276164564207122,0.001408333338874169,0.00016947949906027262,0.01629018996736729,Stage36_gvz_ovx_asset_risk,True,False,0,10,0.13000000025573089,-0.045343513756654276,1.1102230246251565e-16,-2.5573088091590535e-10,0.11465648624334573,0.0,-0.00831345294272501,1.2417582417582418,1.620879120879121,1.0,1.953125,0.0,0.0,0.02188978567420048,0.027158549206902513
2008-08,2008-07,2008-07-31,2008-07-31,22.94,47.02,,0.9241935483870968,False,True,-0.011997938213151661,-0.011788635738640705,1.2904659669909209,-0.0551655450400681,0.06954332388523375,0.00020862997165570126,6.725028552563364e-07,0.0,0.45179420986333685,0.5482057901366632,3.947584229379172e-18,0.011255073684452147,0.0014083333333333606,0.00020930397527623058,0.010199234271565813,Stage36_gvz_ovx_asset_risk,True,False,0,9,0.13000000000000125,-0.037945227656157966,0.0,-1.2490009027033011e-15,0.12205477234384204,-0.0,-0.007608717230213463,1.7934782608695652,1.8967391304347827,1.0,1.9241935483870969,0.0,0.0,0.015776272228801593,0.014795253173567134
2008-09,2008-08,2008-08-29,2008-08-29,27.37,50.22,,0.9682779456193353,False,True,0.06262292270265161,0.06308807053549682,1.3712787174921959,0.0,0.14366086960441307,0.00043098260881323924,3.41652240319808e-05,0.0,0.5249351508543374,0.3997344276052113,0.07533042154045144,0.010697180150379557,0.0014083333434269847,0.0004651493328750315,0.00940972696254725,Stage36_gvz_ovx_asset_risk,True,False,0,9,0.13000000046586083,-0.0407126459962881,0.0,-4.6586082214084e-10,0.1192873540037119,-0.0,-0.006496732900909817,1.989247311827957,1.9946236559139785,1.0,1.9682779456193353,0.0,0.0,0.013925156880516732,0.0297861987457496
2008-10,2008-09,2008-09-30,2008-09-30,48.92,59.56,,0.9957386363636364,False,True,-0.04398019175841791,-0.043757659875828636,1.3109696165426517,-0.04398019175841794,0.06358053788264757,0.00019074161364794273,3.179026894132379e-05,0.0,0.5600477002467824,0.43023460312049344,0.009717696632724197,0.015402128710163773,0.001408333333668429,0.0002225333827626027,0.014392771789405043,Stage36_gvz_ovx_asset_risk,True,False,0,9,0.13000000001546594,-0.030795880367037547,0.0,-1.5465934088965128e-11,0.12920411963296247,-0.0,-0.007006556265532079,1.9680851063829787,1.9840425531914894,1.0,1.9957386363636362,0.0,0.0,0.02376781174289684,0.019167191185290974
2008-11,2008-10,2008-10-31,2008-10-31,55.61,80.56,,0.9853333333333333,False,True,0.09040750472800282,0.09044383061511165,1.4294911083484996,0.0,0.0103788248882326,3.11364746646978e-05,5.189412444116296e-06,0.0,0.6039167923947472,0.3960832076052529,0.0,0.006762970584032742,0.0014083333333333337,3.6327387554541105e-05,0.005917414604623711,Stage36_gvz_ovx_asset_risk,True,False,0,3,0.13000000000000003,-0.02961413231119775,0.0,-2.7755575615628914e-17,0.13038586768880225,-0.0,0.003692672006870234,1.9894736842105263,1.9947368421052631,1.0,1.9853333333333332,0.0,0.0,0.011280892002041519,0.00031493103820687913
2008-12,2008-11,2008-11-28,2008-11-28,48.81,80.26,,0.9555837563451777,False,True,0.03593754682814594,0.03635877096369238,1.480863511995192,0.0,0.12034975301326853,0.0003610492590398056,6.017487650663427e-05,3.366743041519662e-17,0.6759489069938053,0.32405109300619467,1.8335550155646428e-17,0.009698239307308192,0.001408333333333582,0.0004212271355609807,0.008512527587480717,Stage36_gvz_ovx_asset_risk,True,False,0,6,0.13000000000001147,-0.022845697115424918,0.0,-1.1463052729254741e-14,0.13715430288457509,-0.0,-0.001365285154806893,1.9270833333333333,1.9635416666666665,1.0,1.9555837563451777,0.0,0.0,0.0219114435823848,-0.006139013541082553
