month,macro_signal_month,stress_signal_month,stress_signal_date,technical_signal_month,option_signal_month,option_signal_date,stress_score,recovery_score,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,macro_neutral_return,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,policy,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,variance_penalty,downside_semivariance,downside_penalty,estimated_transaction_cost,monthly_utility,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,largest_weight,largest_asset,weights_above_half,option_direction,option_direction_score,option_return_scale,option_mu_adjustment_KODEX200,option_direction_applied,macro_mu_KODEX200,macro_mu_BOND,macro_mu_GLD,macro_mu_USO,stress_mu_adjustment_KODEX200,stress_mu_adjustment_BOND,stress_mu_adjustment_GLD,stress_mu_adjustment_USO,original_expected_mu_KODEX200,original_expected_mu_BOND,original_expected_mu_GLD,original_expected_mu_USO,filtered_expected_mu_KODEX200,filtered_expected_mu_BOND,filtered_expected_mu_GLD,filtered_expected_mu_USO,macro_relative_direction_KODEX200,macro_relative_direction_BOND,macro_relative_direction_GLD,macro_relative_direction_USO,technical_direction_KODEX200,technical_direction_BOND,technical_direction_GLD,technical_direction_USO,macro_confidence_KODEX200,macro_confidence_BOND,macro_confidence_GLD,macro_confidence_USO,filtered_macro_mu_KODEX200,filtered_macro_mu_BOND,filtered_macro_mu_GLD,filtered_macro_mu_USO,atr_percentile_KODEX200,atr_percentile_BOND,atr_percentile_GLD,atr_percentile_USO,atr_variance_scale_KODEX200,atr_variance_scale_BOND,atr_variance_scale_GLD,atr_variance_scale_USO,technical_signal_date_KODEX200,k_ratio_KODEX200,k_score_KODEX200,natr_KODEX200,technical_signal_date_BOND,k_ratio_BOND,k_score_BOND,natr_BOND,technical_signal_date_GLD,k_ratio_GLD,k_score_GLD,natr_GLD,technical_signal_date_USO,k_ratio_USO,k_score_USO,natr_USO,price_rsi_KODEX200,volume_rsi_KODEX200,price_strength_KODEX200,volume_strength_KODEX200,put_skew25,implied_variance_asymmetry,log_call_put_trading_value,option_erp_proxy,bear_pressure_fast,bear_pressure_slow,option_direction_fast,option_direction_slow,dte,option_maturity_method
2007-04,2007-03,2007-03,2007-03-30,2007-03,2007-03,2007-03-30,0.4460125101939227,0.0,-0.01247162454323504,-0.010707094894623797,0.987528375456765,-0.012471624543235027,1.0,0.0015,0.00026452964861124306,-0.00026980370370366727,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,3.671312926373667e-08,0.47094066606438467,0.5290592972224859,1.9038353603067848e-16,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,9,-0.0027506071619386335,0.00496023901553699,0.000660216422869204,0.05556156964922866,1.0,0.000330108211434602,0.00011499104760817365,0.00011499104760817365,0.0017645325945555815,0.0027506071619386335,0.08900897187604431,-0.032579856455926925,0.0,0.04099102812395569,0.12742014354407308,0.5290592972224859,GLD,1,-0.06468632115311568,-0.060756224502872096,0.011133167852067914,-0.0006764092454483965,True,0.005981859489816315,0.004319868846811146,0.008036764827242006,-0.019417707978684137,-1.1660122899566524e-05,8.833578465337885e-06,-0.0003038520472066051,-0.00017808774050838866,0.0059701993669167485,0.0043287024252764835,0.007732912780035401,-0.019595795719192524,0.003037565445880966,0.0037077394087527728,0.00607514820009982,-0.014033877095785312,1.0,1.0,1.0,-1.0,0.27820018265666535,0.729408575583869,0.600854534875703,-0.41905719356716525,0.6391000913283327,0.8647042877919344,0.8004272674378514,0.7095285967835826,0.0037256348142289293,0.003698905830287435,0.0063790002473064255,-0.013855789355276923,0.08272162619988707,0.2952755905511811,0.5094827586206897,0.2748917748917749,1.082721626199887,1.295275590551181,1.5094827586206896,1.274891774891775,2007-03-30,0.8129015748585046,0.4483980741877567,0.012901845268956071,2007-03-31,2.695608617892275,0.729408575583869,0.0003889424579796718,2007-03-30,1.5053522772420627,0.600854534875703,0.016910834599496907,2007-03-30,-0.7213398443476797,-0.41905719356716525,0.024097684693594638,56.71800936715486,62.592114321957105,0.13436018734309726,0.2518422864391421,0.041448989472099323,0.07142857142857144,0.22777441639997942,0.03358912487572625,-0.12863155380955746,0.12937264230623136,0.0,-0.12937264230623136,13.0,nearest_listed_proxy
2007-05,2007-04,2007-04,2007-04-30,2007-04,2007-04,2007-04-30,0.4504828941945842,0.0,0.011775020177921865,0.011775021567860915,0.9991565420040388,-0.0008434579959611943,3.971254426381498e-07,1.1913763279144494e-09,1.9856272132085982e-10,-0.0010769490610899601,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,3.703872622635263e-07,0.4751361260251047,0.5248635035876329,1.7683371632860326e-16,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,1,-0.003285624772236935,0.0036657654421933055,0.0005348552424426675,0.04078005385166366,1.0,0.00026742762122133375,0.00011270631349898457,0.00011270631349898457,6.735236052028946e-09,0.003285624772236935,0.08011406187001137,-0.03219065949871641,0.0,0.049885938129988636,0.1278093405012836,0.5248635035876329,GLD,1,-0.22045440955980186,-0.18063305587901166,0.01361547996898519,-0.002459405754057266,True,0.010159779414038166,0.0038325053889095985,0.006029036487105609,-0.024329117534413212,-7.03714878635268e-12,-8.805772973349456e-06,-0.000531925640956806,-0.000398103652501863,0.010159779407001017,0.003823699615936249,0.005497110846148803,-0.024727221186915074,0.003992995682237619,0.0031827868150855064,0.0041029847783948725,-0.015167324392730563,1.0,1.0,1.0,-1.0,0.34013214274738296,0.7389067125978529,0.6076192223306892,-0.17771997866328976,0.6700660713736915,0.8694533562989264,0.8038096111653446,0.5888599893316449,0.006452401443332033,0.003191592588058856,0.004634910419351678,-0.014769220740228699,0.04045758928571429,0.045012165450121655,0.2775,0.19322709163346613,1.0404575892857142,1.0450121654501217,1.2775,1.1932270916334662,2007-04-30,1.0001765477274478,0.5000441330360683,0.011724600029773026,2007-04-30,2.8300486770452937,0.7389067125978529,0.0003053036792448356,2007-04-30,1.5485448240860982,0.6076192223306892,0.01283928679203239,2007-04-30,-0.21613072682270157,-0.17771997866328976,0.02307369556595273,62.7113532361261,63.306261524177934,0.254227064722522,0.2661252304835587,0.018966054659832504,0.23756019261637237,-0.22405678951655517,0.028739641684367087,0.33012592152940345,0.11078289759020028,-0.33012592152940345,-0.11078289759020028,10.0,nearest_listed_proxy
2007-06,2007-05,2007-05,2007-05-31,2007-05,2007-05,2007-05-31,0.43435912796206394,0.0,0.006459211225998458,0.009227943827878725,1.0056103051566812,0.0,0.8471989036344135,0.0025415967109032405,0.00022713589097702529,0.0010742579589037467,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.8471993031557474,0.07774869039832193,0.07505200644593066,0.0,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,13,-0.007701171170253049,0.011635295842384086,0.001408333334560335,0.13117355010124704,1.0,0.0007041666672801675,0.00046122390296560796,0.00046122390296560796,0.0027687341018852608,0.007701171170253049,0.13000000005663084,-0.0779030638670945,0.0,-5.663083890716791e-11,0.0820969361329055,0.8471993031557474,KODEX200,1,0.0,0.0,0.01454417255705076,0.0,True,0.01633389739798579,0.003732169968408361,0.007043499592244383,-0.022812535123023548,0.0,-1.147179053644307e-05,-0.0002558794082499774,-0.0002064835158019376,0.01633389739798579,0.003720698177871918,0.006787620183994405,-0.023019018638825484,0.012960487840213674,0.0032041132838544267,0.005410434485605838,-0.011636803995411763,1.0,1.0,1.0,-1.0,0.557865102745174,0.6112851801186804,0.5385726418925897,-0.04698679271220495,0.778932551372587,0.8056425900593402,0.7692863209462948,0.5234933963561025,0.012960487840213674,0.0032155850743908697,0.005666313893855816,-0.011430320479609825,0.04605626034197463,0.026018099547511313,0.47508038585209006,0.34615384615384615,1.0460562603419747,1.0260180995475112,1.47508038585209,1.3461538461538463,2007-05-31,1.555340427620509,0.6086627092065445,0.01157408661756064,2007-05-31,1.5725800737551368,0.6112851801186804,0.0002554774641703125,2007-05-31,1.1671883611357556,0.5385726418925897,0.016360372661380844,2007-05-31,-0.049303401414473445,-0.04698679271220495,0.024449051569690097,81.27055138713905,71.97607856430982,0.625411027742781,0.43952157128619634,0.015029264446893148,0.206246634356489,0.4980274553526696,0.02570616563564343,-0.36374563889855177,-0.6440377052719083,0.0,0.0,14.0,nearest_listed_proxy
2007-07,2007-06,2007-06,2007-06-29,2007-06,2007-06,2007-06-29,0.4706045098923868,0.8504587155963302,0.08214437808665048,0.08227961898021738,1.0882155382713035,0.0,0.04508027996799354,0.00013524083990398063,5.3662923146723474e-11,0.001903140938392717,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.8054237122467961,0.12214723989941927,0.07242904785378473,1.3528009354620092e-19,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,10,-0.005823914439589671,0.007049172450543321,0.0014083333337474343,0.07614006940403525,1.0,0.0007041666668737172,0.00038584715364559194,0.00038584715364559194,0.00013524419043434125,0.005823914439589671,0.13000000001911236,-0.07366244786791215,0.0,-1.9112350591043992e-11,0.08633755213208785,0.8054237122467961,KODEX200,1,-0.3559951536416507,-0.26253423744590293,0.01174483192591452,-0.003083420493600264,True,0.01593987588440189,0.0034935591567121804,0.0048157237762527175,-0.016636595063795924,0.0,2.10769322071125e-05,0.000355127517420024,0.0001340167865257362,0.01593987588440189,0.0035146360889192927,0.005170851293672741,-0.016502578277270186,0.007903797571391175,0.0030913277187069256,0.0042202587268395,-0.0034903271543559413,1.0,1.0,1.0,-1.0,0.2943290817329911,0.46767665845822437,0.3472511377347247,0.40371482327236285,0.6471645408664956,0.7338383292291122,0.6736255688673624,0.2981425883638186,0.010987218064991438,0.0030702507864998133,0.0038651312094194765,-0.0036243439408816776,0.24686306601200217,0.7786016949152542,0.307153965785381,0.09013605442176871,1.2468630660120021,1.7786016949152543,1.307153965785381,1.0901360544217686,2007-06-29,2.7481446866404102,0.7332013346324862,0.015602243536713007,2007-06-30,0.8785574893328665,0.46767665845822437,0.0004940101738621544,2007-06-29,0.5319827544848371,0.3472511377347247,0.013731274074013975,2007-06-29,0.6770499067038959,0.40371482327236285,0.021499364860719752,54.37180183693472,53.11749369138964,0.08743603673869443,0.06234987382779281,0.04257263099894448,0.3295154185022026,0.0773401376751899,0.03280436294196158,0.33850621578272966,0.37348409150057166,-0.33850621578272966,-0.37348409150057166,13.0,nearest_listed_proxy
2007-08,2007-07,2007-07,2007-07-31,2007-07,2007-07,2007-07-31,0.8066533939177428,0.0,-0.012762435815527924,-0.01217191139631292,1.0743272573106557,-0.01276243581552794,0.18537631899355478,0.0005561289569806643,3.439546223433944e-05,0.0058207617766368545,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.7008868873394657,0.29911311266053425,0.0,0.0,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,7,-0.012661673397295846,0.014204535237236141,0.0014083333333333465,0.16200442284683364,1.0,0.0007041666666666732,0.000248169254033604,0.000248169254033604,0.0005905259192400196,0.012661673397295846,0.13000000000000062,-0.059186570355583,0.0,-6.106226635438361e-16,0.100813429644417,0.7008868873394657,KODEX200,1,0.14512612287648374,0.12673374572220586,0.010395389173645377,0.0013174466082161449,True,0.021237938761680175,0.003775575555098884,0.006240372031549492,-0.007970839241781132,-4.340218236153878e-06,-6.396426268658436e-05,-0.0009882206971124168,-0.0006675877163458844,0.021233598543444022,0.0037116112924122997,0.005252151334437075,-0.008638426958127016,0.01804818240309684,0.005198036410925367,0.005033535633444597,0.001444314378626456,1.0,-1.0,1.0,-1.0,0.41586416852687175,0.45358413122427793,-0.04199408109314988,0.46215676095740893,0.7079320842634359,0.27320793438786106,0.4790029594534251,0.26892161952129556,0.01673507601311685,0.005262000673611951,0.006021756330557014,0.0021119020949723405,0.4716828478964401,0.8876739562624254,0.3049698795180723,0.11587301587301588,1.47168284789644,1.8876739562624254,1.3049698795180724,1.115873015873016,2007-07-31,3.549184059000888,0.7801803604711425,0.02029463554417844,2007-07-31,0.8301079034189851,0.45358413122427793,0.0005597297212566223,2007-07-31,-0.04383488688782631,-0.04199408109314988,0.013406582409900671,2007-07-31,0.8592778107243464,0.46215676095740893,0.021084714683292784,56.515100934592425,66.8555063208812,0.13030201869184851,0.3371101264176241,0.007636227653837979,-0.006642382686950852,0.5113364449719916,0.07918594088740494,-0.4132507776848236,-0.8034851577658083,0.2902522457529675,0.0,9.0,nearest_listed_proxy
2007-09,2007-08,2007-08,2007-08-31,2007-08,2007-08,2007-08-31,0.6658603834263722,0.025709219858156027,0.02512162645102689,0.025223563495037297,1.1013161053549703,0.0,0.03397901467013559,0.00010193704401040677,0.0,0.005036022371291666,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.6638761646637207,0.33612383533627943,0.0,0.0,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,6,-0.013411746954835019,0.014432705384878779,0.0014083333333340727,0.16474246461854092,1.0,0.0007041666666670363,0.0002148512193221716,0.0002148512193221716,0.00010194054405455166,0.013411746954835019,0.13000000000003412,-0.055549993233122374,0.0,-3.4111602431607935e-14,0.10445000676687763,0.6638761646637207,KODEX200,1,0.9921471039474744,0.49802903710349383,0.010138472540967928,0.005049253717278469,True,0.01885089981116167,0.003418055633750853,0.007402303621850981,-0.009527169581596839,-1.5640376807492773e-05,-0.00026893824800970054,-0.0002661921140949282,-0.0007261200926221685,0.018835259434354178,0.0031491173857411525,0.007136111507756053,-0.010253289674219008,0.019485273544095485,0.004453408415691836,0.005948406216937875,0.0006987269434985767,1.0,-1.0,1.0,-1.0,0.3631156517044627,0.6122593866584757,-0.0038580921329128067,0.5040681538974469,0.6815578258522313,0.19387030667076216,0.4980709539335436,0.24796592305127657,0.014451660203624508,0.004722346663701536,0.006214598331032803,0.0014248470361207452,0.6495202558635395,0.8211610486891385,0.24818049490538574,0.16124260355029585,1.6495202558635396,1.8211610486891385,1.2481804949053856,1.1612426035502958,2007-08-31,2.236728723781766,0.6910460884001398,0.02680910901846555,2007-08-31,1.5790437359193887,0.6122593866584757,0.0005267299027535842,2007-08-31,-0.003873034657455233,-0.0038580921329128067,0.012567948998303567,2007-08-31,1.0164061006745897,0.5040681538974469,0.021977473979113822,56.970500768209966,62.944542567452444,0.13941001536419934,0.2588908513490489,0.014200000000000046,0.08785529715762282,0.6085657226597424,0.10440451344137432,-1.0512639367015346,-0.39789244883764524,0.9232480622330779,1.061046145661871,13.0,nearest_listed_proxy
2007-10,2007-09,2007-09,2007-09-28,2007-09,2007-09,2007-09-28,0.4633367902515094,0.09162303664921466,0.04729454128508944,0.04746762684588127,1.1534023453676148,0.0,0.057695186930608766,0.0001730855607918263,0.0,0.007416497173508951,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.7290080238906257,0.27099197610937437,0.0,0.0,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,5,-0.013929183675257552,0.015055996465672397,0.0014083333333374183,0.17222195758804426,1.0,0.0007041666666687092,0.00024955706292831086,0.00024955706292831086,0.00017308906081782503,0.013929183675257552,0.13000000000018855,-0.06194724365825621,0.0,-1.885436251569672e-13,0.09805275634174379,0.7290080238906257,KODEX200,1,0.28784192131639974,0.22350718403558018,0.008897419139788204,0.0019886370971183356,True,0.01964864206481681,0.003370312922101818,0.01097708850210908,-0.004330054794991905,-5.483341676890157e-06,-7.144917185494659e-05,-2.225145406177091e-05,-0.0002417866605556632,0.01964315872313992,0.0032988637502468715,0.010954837048047308,-0.004571841455547568,0.018167655970265713,0.006685177598517064,0.00974708336865278,0.004971539647661304,1.0,-1.0,1.0,-1.0,0.4336005858704053,0.6738307688744232,0.32159938171316904,0.6248821149900106,0.7168002929352026,0.16308461556278842,0.6607996908565845,0.18755894250499472,0.016184502214824266,0.00675662677037201,0.009769334822714552,0.005213326308216967,0.44928684627575277,0.1675531914893617,0.37322946175637395,0.20868347338935575,1.4492868462757529,1.1675531914893618,1.3732294617563738,1.2086834733893557,2007-09-28,1.7114228801795495,0.6311899529542289,0.02000715853467995,2007-09-30,2.065893114899593,0.6738307688744232,0.00033954532202368703,2007-09-28,0.4740552603346763,0.32159938171316904,0.014225038569533227,2007-09-28,1.665828636705418,0.6248821149900106,0.02200921637183793,62.950116968648864,70.5304732642005,0.2590023393729773,0.4106094652840099,0.021264558235927267,-0.014121338912133853,0.12635117233931223,0.04384324537944032,-1.2217581372282045,-0.7428109919348097,0.0,0.5756838426327995,13.0,nearest_listed_proxy
2007-11,2007-10,2007-10,2007-10-31,2007-10,2007-10,2007-10-31,0.7813177294303755,0.41049913941480204,-0.057851406866626355,-0.05775473156054808,1.0866763970048319,-0.057851406866626265,0.03222497134014024,9.667491402042073e-05,3.920578613153138e-10,0.011135414091223346,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.7078007576959576,0.2921984581883197,7.841157226306276e-07,0.0,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,7,-0.016399532895467122,0.01742190933785234,0.0014083333333379713,0.20061291205420023,1.0,0.0007041666666689856,0.00022153199629774018,0.00022153199629774018,9.667777941849137e-05,0.016399532895467122,0.13000000000021406,-0.059865551009853524,0.0,-2.1405099914773018e-13,0.10013444899014648,0.7078007576959576,KODEX200,1,0.3624022461799999,0.2660023845352054,0.00748484664672137,0.001990987055908221,True,0.02224973240988005,0.0034170722214673277,0.013634121970384964,0.005240729763161041,1.1080508773589173e-06,-0.00020079269907602313,0.00034619412895705437,6.63017922138939e-05,0.02225084046075741,0.0032162795223913045,0.013980316099342019,0.005307031555374935,0.020599051844817185,0.009725835950759546,0.013473608103155194,0.010461874508018608,1.0,-1.0,1.0,-1.0,0.34448959128089496,0.6867758744596815,0.5944239817606544,0.7489801542394607,0.6722447956404475,0.15661206277015927,0.7972119908803272,0.12550992288026963,0.018606956738031605,0.009926628649835569,0.01312741397419814,0.010395572715804713,0.5109660574412532,0.4764705882352941,0.50960219478738,0.49605263157894736,1.5109660574412533,1.4764705882352942,1.5096021947873801,1.4960526315789473,2007-10-31,1.4914831575054606,0.5986326469887813,0.02126204294562576,2007-10-31,2.1926020969009907,0.6867758744596815,0.0004175488363545142,2007-10-31,1.4656290190458514,0.5944239817606544,0.016120385566232916,2007-10-31,2.9837487628526054,0.7489801542394607,0.024408604073892427,61.243670906428406,60.49813543626678,0.22487341812856812,0.20996270872533557,0.03189383776229526,0.33239962651727356,0.1039446770464233,0.10776269233528737,-0.5289576912403551,0.060593850858511905,0.7248044923599998,0.0,8.0,nearest_listed_proxy
2007-12,2007-11,2007-11,2007-11-30,2007-11,2007-11,2007-11-30,0.6756244507979499,0.808277027027027,0.011663451219146626,0.012257820213232525,1.0993507941522958,-0.046862702709427606,0.16981971259597092,0.0005094591377879128,8.49098562979855e-05,0.009019229875566788,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.5210858858374412,0.3090935558850086,0.1698205582775503,2.775557561562892e-17,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,23,-0.011062160175397996,0.012577139925493964,0.0014083333333623198,0.14247567910575365,1.0,0.0007041666666811599,0.00021644209173750966,0.00021644209173750966,0.000594370991677297,0.011062160175397996,0.13000000000133785,-0.052116630233659866,0.0,-1.3378465002489293e-12,0.10788336976634014,0.5210858858374412,KODEX200,1,0.9518835369684704,0.48767435092304207,0.006287429586572653,0.0030662181426061494,True,0.016795507113575185,0.0030570845221652744,0.013610521919044563,0.002613805947482122,-0.0009835755531496743,-0.00038339618123230216,0.00027084609404170426,0.00013080801014832402,0.01581193156042551,0.0026736883409329724,0.013881368013086268,0.002744613957630446,0.01548036218776709,0.00729198879922722,0.01328834952174601,0.008334197980366559,1.0,-1.0,1.0,-1.0,0.12611461467523857,0.5492076038231515,0.7416768588342452,0.7452659138541968,0.5630573073376193,0.22539619808842426,0.8708384294171225,0.1273670430729016,0.013397719598310615,0.007675384980459522,0.013017503427704306,0.008203389970218234,0.7612287041817243,0.9992,0.8366666666666667,0.814214463840399,1.7612287041817243,1.9992,1.8366666666666667,1.814214463840399,2007-11-30,0.71317945486868,0.41628998809313134,0.029391376995821686,2007-11-30,1.2183160330142175,0.5492076038231515,0.0011873568690188778,2007-11-30,2.8711204713879783,0.7416768588342452,0.021960457316420122,2007-11-30,2.9256623058589257,0.7452659138541968,0.02921264071115977,49.62627278313077,48.47642001349845,-0.0074745443373845435,-0.030471599730031045,0.01563569153829053,0.27525603742571747,0.4827039623764595,0.09405400417536394,-0.5876720632049566,-0.3851270364972301,0.9495497790985311,0.9542172948384097,13.0,nearest_listed_proxy
2008-01,2007-12,2007-12,2007-12-28,2007-12,2007-12,2007-12-28,0.41803969382926454,0.06870860927152318,-0.016312608015840092,-0.015606191264472845,1.081417515575387,-0.0624108578254059,0.20183335753349882,0.0006055000726004965,0.00010091667876674941,0.011388685359487104,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.48409430729108216,0.13182255229128156,0.38408314041763636,0.0,OptionTwoAxisConfirmation_StaticLambda,True,False,0,Optimization terminated successfully,11,-0.013070794800334644,0.01471342312516432,0.0014083333433176093,0.1681110774420662,1.0,0.0007041666716588046,0.00023204340176712836,0.00023204340176712836,0.0007064182514037436,0.013070794800334644,0.13000000046081273,-0.05996406119612615,0.0,-4.608127213145963e-10,0.10003593880387385,0.48409430729108216,KODEX200,0,0.2640829524914483,0.20891267615859638,0.005783332779873077,0.0012082115281590192,True,0.01582020318536925,0.003046356919003379,0.017639887350137957,0.009048293983437828,0.00039694988152270364,6.635864275982874e-05,-0.0007817102713651033,-0.0005059477728279351,0.016217153066891952,0.003112715561763208,0.016858177078772855,0.008542346210609893,0.0153035831283663,0.008078978908517645,0.0162466231273597,0.010572185102016959,1.0,-1.0,1.0,-1.0,0.04241320917520747,0.19061803480527378,0.8043403645162073,0.7346149128557793,0.5212066045876037,0.40469098259736314,0.9021701822581036,0.13269254357211036,0.013698421718684576,0.008012620265757817,0.017028333398724803,0.011078132874844894,0.5593350383631713,0.7004573170731707,0.6603896103896104,0.7446555819477435,1.5593350383631712,1.7004573170731707,1.6603896103896103,1.7446555819477436,2007-12-28,0.3594103925258116,0.2643869684253479,0.022928488413166467,2007-12-31,0.23551060315436323,0.19061803480527378,0.0004920369778255284,2007-12-31,4.1109161965234975,0.8043403645162073,0.01830295132010287,2007-12-31,2.768109243668845,0.7346149128557793,0.027670669044391864,48.707629406572586,44.43500354844114,-0.02584741186854828,-0.11129992903117725,0.034453988663603385,0.1528279181708783,0.08077814213467537,0.05059134538408846,-0.10068036177977242,-0.7421877608007748,0.0,0.5281659049828966,13.0,nearest_listed_proxy
