decision_month,asset,block,actual_return,base_forecast,full_forecast,full_forecast_available,base_squared_error,full_squared_error,evidence_weight_used
2007-04,KODEX200,stress_recovery,0.06227067269343256,0.00599589788376928,0.00599589788376928,False,0.003166850279878313,0.003166850279878313,0.0
2007-04,KODEX200,credit,0.06227067269343256,0.00599589788376928,0.00599589788376928,False,0.003166850279878313,0.003166850279878313,0.0
2007-04,KODEX200,technical,0.06227067269343256,0.00599589788376928,0.00599589788376928,False,0.003166850279878313,0.003166850279878313,0.0
2007-04,KODEX200,fundamental,0.06227067269343256,0.00599589788376928,0.00599589788376928,False,0.003166850279878313,0.003166850279878313,0.0
2007-04,BOND,stress_recovery,-0.0018939393939393367,0.004320699052850957,0.004320699052850957,False,3.862173102432408e-05,3.862173102432408e-05,0.0
2007-04,BOND,credit,-0.0018939393939393367,0.004320699052850957,0.004320699052850957,False,3.862173102432408e-05,3.862173102432408e-05,0.0
2007-04,BOND,technical,-0.0018939393939393367,0.004320699052850957,0.004320699052850957,False,3.862173102432408e-05,3.862173102432408e-05,0.0
2007-04,GLD,stress_recovery,-0.01855210588422962,0.008028479533569286,0.008028479533569286,False,0.0007065275211529037,0.0007065275211529037,0.0
2007-04,GLD,credit,-0.01855210588422962,0.008028479533569286,0.008028479533569286,False,0.0007065275211529037,0.0007065275211529037,0.0
2007-04,GLD,technical,-0.01855210588422962,0.008028479533569286,0.008028479533569286,False,0.0007065275211529037,0.0007065275211529037,0.0
2007-04,USO,stress_recovery,-0.08043351311633418,-0.0195083502702052,-0.0195083502702052,False,0.003711875467827335,0.003711875467827335,0.0
2007-04,USO,credit,-0.08043351311633418,-0.0195083502702052,-0.0195083502702052,False,0.003711875467827335,0.003711875467827335,0.0
2007-04,USO,technical,-0.08043351311633418,-0.0195083502702052,-0.0195083502702052,False,0.003711875467827335,0.003711875467827335,0.0
2007-05,KODEX200,stress_recovery,0.09135963155786953,0.01032472671528184,0.01032472671528184,False,0.006566655802847241,0.006566655802847241,0.0
2007-05,KODEX200,credit,0.09135963155786953,0.01032472671528184,0.01032472671528184,False,0.006566655802847241,0.006566655802847241,0.0
2007-05,KODEX200,technical,0.09135963155786953,0.01032472671528184,0.01032472671528184,False,0.006566655802847241,0.006566655802847241,0.0
2007-05,KODEX200,fundamental,0.09135963155786953,0.01032472671528184,0.01032472671528184,False,0.006566655802847241,0.006566655802847241,0.0
2007-05,BOND,stress_recovery,0.002277039848197271,0.003842649941559396,0.003842649941559396,False,2.4511349644373624e-06,2.4511349644373624e-06,0.0
2007-05,BOND,credit,0.002277039848197271,0.003842649941559396,0.003842649941559396,False,2.4511349644373624e-06,2.4511349644373624e-06,0.0
2007-05,BOND,technical,0.002277039848197271,0.003842649941559396,0.003842649941559396,False,2.4511349644373624e-06,2.4511349644373624e-06,0.0
2007-05,GLD,stress_recovery,0.020373075597843515,0.005983819116815525,0.005983819116815525,False,0.00020705070207680605,0.00020705070207680605,0.0
2007-05,GLD,credit,0.020373075597843515,0.005983819116815525,0.005983819116815525,False,0.00020705070207680605,0.00020705070207680605,0.0
2007-05,GLD,technical,0.020373075597843515,0.005983819116815525,0.005983819116815525,False,0.00020705070207680605,0.00020705070207680605,0.0
2007-05,USO,stress_recovery,-0.00024233263053385912,-0.024194901258368966,-0.024194901258368966,False,0.0005737255438711506,0.0005737255438711506,0.0
2007-05,USO,credit,-0.00024233263053385912,-0.024194901258368966,-0.024194901258368966,False,0.0005737255438711506,0.0005737255438711506,0.0
2007-05,USO,technical,-0.00024233263053385912,-0.024194901258368966,-0.024194901258368966,False,0.0005737255438711506,0.0005737255438711506,0.0
2007-06,KODEX200,stress_recovery,0.013164533736984563,0.016112934204038105,0.016112934204038105,False,8.693065314121544e-06,8.693065314121544e-06,0.0
2007-06,KODEX200,credit,0.013164533736984563,0.016112934204038105,0.016112934204038105,False,8.693065314121544e-06,8.693065314121544e-06,0.0
2007-06,KODEX200,technical,0.013164533736984563,0.016112934204038105,0.016112934204038105,False,8.693065314121544e-06,8.693065314121544e-06,0.0
2007-06,KODEX200,fundamental,0.013164533736984563,0.016112934204038105,0.016112934204038105,False,8.693065314121544e-06,8.693065314121544e-06,0.0
2007-06,BOND,stress_recovery,0.00037864445285884507,0.003730820649176387,0.003730820649176387,False,1.1237085251157942e-05,1.1237085251157942e-05,0.0
2007-06,BOND,credit,0.00037864445285884507,0.003730820649176387,0.003730820649176387,False,1.1237085251157942e-05,1.1237085251157942e-05,0.0
2007-06,BOND,technical,0.00037864445285884507,0.003730820649176387,0.003730820649176387,False,1.1237085251157942e-05,1.1237085251157942e-05,0.0
2007-06,GLD,stress_recovery,-0.02604166341920977,0.007011623151174666,0.007011623151174666,False,0.001092519753103956,0.001092519753103956,0.0
2007-06,GLD,credit,-0.02604166341920977,0.007011623151174666,0.007011623151174666,False,0.001092519753103956,0.001092519753103956,0.0
2007-06,GLD,technical,-0.02604166341920977,0.007011623151174666,0.007011623151174666,False,0.001092519753103956,0.001092519753103956,0.0
2007-06,USO,stress_recovery,0.06400218623139442,-0.022484003499237886,-0.022484003499237886,False,0.007479861014122929,0.007479861014122929,0.0
2007-06,USO,credit,0.06400218623139442,-0.022484003499237886,-0.022484003499237886,False,0.007479861014122929,0.007479861014122929,0.0
2007-06,USO,technical,0.06400218623139442,-0.022484003499237886,-0.022484003499237886,False,0.007479861014122929,0.007479861014122929,0.0
2007-07,KODEX200,stress_recovery,0.09846975733429919,0.0159163741729012,0.0159163741729012,False,0.006815061071392589,0.006815061071392589,0.0
2007-07,KODEX200,credit,0.09846975733429919,0.0159163741729012,0.0159163741729012,False,0.006815061071392589,0.006815061071392589,0.0
2007-07,KODEX200,technical,0.09846975733429919,0.0159163741729012,0.0159163741729012,False,0.006815061071392589,0.006815061071392589,0.0
2007-07,KODEX200,fundamental,0.09846975733429919,0.0159163741729012,0.0159163741729012,False,0.006815061071392589,0.006815061071392589,0.0
2007-07,BOND,stress_recovery,0.007759273277819778,0.0035073422360885507,0.0035073422360885507,False,1.80789175836376e-05,1.80789175836376e-05,0.0
2007-07,BOND,credit,0.007759273277819778,0.0035073422360885507,0.0035073422360885507,False,1.80789175836376e-05,1.80789175836376e-05,0.0
2007-07,BOND,technical,0.007759273277819778,0.0035073422360885507,0.0035073422360885507,False,1.80789175836376e-05,1.80789175836376e-05,0.0
2007-07,GLD,stress_recovery,0.027916529754136388,0.0048080707131490374,0.0048080707131490374,False,0.00053400087924899,0.00053400087924899,0.0
2007-07,GLD,credit,0.027916529754136388,0.0048080707131490374,0.0048080707131490374,False,0.00053400087924899,0.00053400087924899,0.0
2007-07,GLD,technical,0.027916529754136388,0.0048080707131490374,0.0048080707131490374,False,0.00053400087924899,0.00053400087924899,0.0
2007-07,USO,stress_recovery,0.1237995420901219,-0.016718257517195734,-0.016718257517195734,False,0.019745252006482278,0.019745252006482278,0.0
2007-07,USO,credit,0.1237995420901219,-0.016718257517195734,-0.016718257517195734,False,0.019745252006482278,0.019745252006482278,0.0
2007-07,USO,technical,0.1237995420901219,-0.016718257517195734,-0.016718257517195734,False,0.019745252006482278,0.019745252006482278,0.0
2007-08,KODEX200,stress_recovery,-0.016444792482380732,0.021075960620488575,0.021075960620488575,False,0.0014078069134064767,0.0014078069134064767,0.0
2007-08,KODEX200,credit,-0.016444792482380732,0.021075960620488575,0.021075960620488575,False,0.0014078069134064767,0.0014078069134064767,0.0
