Reference,Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage36_GVZ_OVXAssetRisk,Stage49_MacroBayes,full_common,delta_CAGR,0.012461689838084428,-0.01057206183173225,0.01161638258451203,0.03706807071794326,0.809,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_MacroBayes,full_common,delta_Sharpe,-0.08128092365007564,-0.27629864240025176,-0.08489774246123943,0.12625317423312196,0.248,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_MacroBayes,full_common,delta_MDD,-0.017199132947220117,-0.0684677989405593,-0.02375851915051813,0.04534907096396587,0.266,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_MacroBayes,locked_2018_2026,delta_CAGR,0.04462525940960363,0.009733900008791364,0.04360855078983561,0.08235214624349271,0.9795,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_MacroBayes,locked_2018_2026,delta_Sharpe,0.0986220707115974,-0.22394296277430675,0.06768202191517136,0.5342890965781869,0.6445,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_MacroBayes,locked_2018_2026,delta_MDD,0.0017257886458661965,-0.057915071958089884,-0.008659933102792228,0.08658200757624183,0.4155,2000,12
Stage48_EvidenceCalibrated,Stage49_MacroBayes,full_common,delta_CAGR,-0.00621540751591491,-0.032851100474622606,-0.0058445870417772605,0.018871222389470876,0.3535,2000,12
Stage48_EvidenceCalibrated,Stage49_MacroBayes,full_common,delta_Sharpe,0.05925425717756624,-0.14438224851470535,0.058365527239898185,0.2629501340647584,0.683,2000,12
Stage48_EvidenceCalibrated,Stage49_MacroBayes,full_common,delta_MDD,0.03220092904115193,-0.022024306340364924,0.02774385224414455,0.10326476594191622,0.8275,2000,12
Stage48_EvidenceCalibrated,Stage49_MacroBayes,locked_2018_2026,delta_CAGR,0.005378422903400543,-0.03224537442301025,0.004701375018756004,0.04510591403904404,0.5775,2000,12
Stage48_EvidenceCalibrated,Stage49_MacroBayes,locked_2018_2026,delta_Sharpe,0.19496604063276504,-0.07865685053601316,0.16172898405637803,0.5914664780158562,0.844,2000,12
Stage48_EvidenceCalibrated,Stage49_MacroBayes,locked_2018_2026,delta_MDD,0.03174125910826576,-0.03046451466524522,0.021329532178695043,0.12551025724203652,0.7125,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_ReturnEvidence,full_common,delta_CAGR,-0.0002465605882568813,-0.02654198463844539,-0.0010306279899239268,0.030521466249352185,0.4745,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_ReturnEvidence,full_common,delta_Sharpe,-0.20186271728341446,-0.4022435590094335,-0.20146923460187177,-0.0024787396776181914,0.0475,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_ReturnEvidence,full_common,delta_MDD,-0.03192446246940608,-0.07440795574928762,-0.030955304121277172,0.008684299966308527,0.0745,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_ReturnEvidence,locked_2018_2026,delta_CAGR,0.028263141139253958,-0.00841673598776833,0.025361939705531467,0.07514458438252751,0.876,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_ReturnEvidence,locked_2018_2026,delta_Sharpe,-0.13517464564936263,-0.3952573092313302,-0.12434643421930508,0.08246800923743082,0.162,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_ReturnEvidence,locked_2018_2026,delta_MDD,-0.03415755360793841,-0.06942670968726801,-0.03194913006337591,-0.004635102038204493,0.0265,2000,12
Stage48_EvidenceCalibrated,Stage49_ReturnEvidence,full_common,delta_CAGR,-0.01892365794225622,-0.04671168069047112,-0.01867778635629269,0.006105385787741458,0.1185,2000,12
Stage48_EvidenceCalibrated,Stage49_ReturnEvidence,full_common,delta_Sharpe,-0.06132753645577259,-0.2632021970091949,-0.05830528864912027,0.1283659376674261,0.3075,2000,12
Stage48_EvidenceCalibrated,Stage49_ReturnEvidence,full_common,delta_MDD,0.017475599518965972,-0.02427805665234623,0.011957702285506078,0.07055668814788837,0.764,2000,12
Stage48_EvidenceCalibrated,Stage49_ReturnEvidence,locked_2018_2026,delta_CAGR,-0.010983695366949136,-0.04414902569436335,-0.010275221913915389,0.01956698547511667,0.2965,2000,12
Stage48_EvidenceCalibrated,Stage49_ReturnEvidence,locked_2018_2026,delta_Sharpe,-0.03883067572819496,-0.24564730783350391,-0.041172119742467594,0.16792691277913285,0.365,2000,12
Stage48_EvidenceCalibrated,Stage49_ReturnEvidence,locked_2018_2026,delta_MDD,-0.004142083145538851,-0.03539896078080717,-0.0005849253791327391,0.024276160312895145,0.474,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_FullPrequential,full_common,delta_CAGR,-0.004265687894640794,-0.027865868004307414,-0.005026850601793753,0.02264088678715661,0.3765,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_FullPrequential,full_common,delta_Sharpe,-0.2053298573823789,-0.40839955375090664,-0.20594711062060644,-0.005196783574590691,0.0455,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_FullPrequential,full_common,delta_MDD,-0.03685166852707215,-0.08632739897319193,-0.03447807272661063,0.008592594645052859,0.0805,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_FullPrequential,locked_2018_2026,delta_CAGR,0.018223060831040597,-0.014985149059139813,0.01684700204160594,0.05661777251195126,0.7855,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_FullPrequential,locked_2018_2026,delta_Sharpe,-0.13750794832670205,-0.421725658541159,-0.12535277932205813,0.09254579318156293,0.175,2000,12
Stage36_GVZ_OVXAssetRisk,Stage49_FullPrequential,locked_2018_2026,delta_MDD,-0.02565952066534248,-0.06468237299298163,-0.02377508573237741,0.00871020656635118,0.1135,2000,12
Stage48_EvidenceCalibrated,Stage49_FullPrequential,full_common,delta_CAGR,-0.022942785248640133,-0.050642525923018857,-0.022167587896980923,0.001034380488684949,0.06,2000,12
Stage48_EvidenceCalibrated,Stage49_FullPrequential,full_common,delta_Sharpe,-0.06479467655473707,-0.27358127750912514,-0.0637781814629379,0.13117800988345032,0.3045,2000,12
Stage48_EvidenceCalibrated,Stage49_FullPrequential,full_common,delta_MDD,0.012548393461299894,-0.03523570600077808,0.008887848565589329,0.07077152930374989,0.6705,2000,12
Stage48_EvidenceCalibrated,Stage49_FullPrequential,locked_2018_2026,delta_CAGR,-0.021023775675162493,-0.058805600112318744,-0.019888748589015015,0.013283639055403583,0.175,2000,12
