HorizonMonths,Model,Observations,EPSStandardizedBeta,EPSHACPValue,EPSSpearmanIC,CreditEasingStandardizedBeta,CreditHACPValue,CreditSpearmanIC,AdjustedR2,HACLags
1,EPSOnly,232,0.01588800333756563,0.05252150408511643,0.0721517667490575,,,0.025014943617873903,0.04920121280913159,1
1,EPSFullControls,232,0.0180862530480084,0.026795765940091993,0.0721517667490575,,,0.025014943617873903,0.07039499892479284,1
1,CreditOnly,232,,,0.0721517667490575,0.010279356655848141,0.013678012607035384,0.025014943617873903,0.018067491950595427,1
1,CreditFullControls,232,,,0.0721517667490575,0.011196146639244986,0.061824154282652775,0.025014943617873903,0.045299310938562765,1
1,JointFullControls,232,0.017869670945817547,0.030123183082403797,0.0721517667490575,0.010908238686284502,0.060779385823248745,0.025014943617873903,0.08766765341534166,1
3,EPSOnly,230,0.033665578486620044,0.030932488416315258,0.11538973656234981,,,0.09956381192378912,0.06723103304375622,3
3,EPSFullControls,230,0.031558031917721704,0.015847363872093147,0.11538973656234981,,,0.09956381192378912,0.21972762838064874,3
3,CreditOnly,230,,,0.11538973656234981,0.01918396319885198,0.04335173591638429,0.09956381192378912,0.01886926377177034,3
3,CreditFullControls,230,,,0.11538973656234981,0.03471394763441755,8.286520506104525e-05,0.09956381192378912,0.2369035366964689,3
3,JointFullControls,230,0.031098647695143186,0.019977359778229134,0.11538973656234981,0.03434734945662701,2.5291735409855563e-05,0.09956381192378912,0.2784105606677342,3
6,EPSOnly,227,0.03189359838760515,0.33714335419451325,0.026911028228599084,,,0.046330398527604344,0.015400677446209543,6
6,EPSFullControls,227,0.03926708424897984,0.09582997404673654,0.026911028228599084,,,0.046330398527604344,0.19969647792962664,6
6,CreditOnly,227,,,0.026911028228599084,0.01369866364305442,0.2786219860742535,0.046330398527604344,-0.000783415751376193,6
6,CreditFullControls,227,,,0.026911028228599084,0.026690161400001366,0.0026067635497013923,0.046330398527604344,0.18598778734186505,6
6,JointFullControls,227,0.039816122592491954,0.08863465263281857,0.026911028228599084,0.02751189256927501,0.007184451969362856,0.046330398527604344,0.20786883996802819,6
