Period,Test,Observations,StandardizedBeta,HACPValue,ExpectedSign
early_2007_2017,EPS_1M,129,0.0046619631156629045,0.3222612712454931,positive
early_2007_2017,Credit_3M,129,0.03873903049867195,0.0011010287628404412,positive
locked_2018_2026,EPS_1M,103,0.030591046801966393,0.0222092481527059,positive
locked_2018_2026,Credit_3M,101,0.01498192510291917,0.20977644725806177,positive
