Candidate,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage35_NoChangeReproduction,delta_CAGR,2.4355225471950348e-08,-1.1203686867133841e-10,2.3147947225687915e-08,5.367956846802357e-08,0.949,2000,12
Stage35_NoChangeReproduction,delta_Sharpe,2.2953055652891185e-07,-3.330666564771434e-08,2.2247705100397752e-07,5.343645191335787e-07,0.9175,2000,12
Stage35_NoChangeReproduction,delta_MDD,4.456581325512632e-08,-6.188346096669406e-09,6.5427043782761984e-09,2.1340955802529038e-07,0.894,2000,12
Stage35_EPSAlpha,delta_CAGR,0.004733536979445644,-9.715174442703755e-10,0.004541484136468377,0.013627448410430187,0.948,2000,12
Stage35_EPSAlpha,delta_Sharpe,0.010353666033838946,-0.007817950631994702,0.006364105782992624,0.03831619471414251,0.8255,2000,12
Stage35_EPSAlpha,delta_MDD,0.0019920809694687386,-5.557642239750748e-08,4.135122888548892e-08,0.008062061996419234,0.8745,2000,12
Stage35_CreditAlpha,delta_CAGR,-0.010116643738597858,-0.021762983539534063,-0.010212664110197611,0.001204822235137426,0.0705,2000,12
Stage35_CreditAlpha,delta_Sharpe,-0.11502570249614064,-0.24180228911703608,-0.11218922393424607,0.008084318984459842,0.0635,2000,12
Stage35_CreditAlpha,delta_MDD,-0.017931687025579755,-0.05134909031959523,-0.018491127953535802,0.0071696463730239685,0.2755,2000,12
Stage35_CreditRiskConfirmation,delta_CAGR,-0.0026230443171044466,-0.010912410494893044,-0.002171426628692741,0.0046117903668977936,0.3015,2000,12
Stage35_CreditRiskConfirmation,delta_Sharpe,0.024195655959109216,-0.024254720243637295,0.0224505186896089,0.07977148365677382,0.768,2000,12
Stage35_CreditRiskConfirmation,delta_MDD,0.007744423824798528,-0.0015330033160556365,0.005420272420738448,0.020560403271293177,0.9105,2000,12
Stage35_ValuationAnchor,delta_CAGR,0.01694193310557697,-0.0019324335437872263,0.016388837883325902,0.03864469623707635,0.9265,2000,12
Stage35_ValuationAnchor,delta_Sharpe,0.028620041893027807,-0.13579203978584312,0.028612068859607376,0.19289890327590112,0.616,2000,12
Stage35_ValuationAnchor,delta_MDD,-0.018103835898133393,-0.07296699116691686,-0.01124057398642686,0.022687124602866184,0.288,2000,12
Stage35_FundamentalDualRole,delta_CAGR,0.01241749846840514,-0.0032894231989235687,0.011695547057513411,0.03024841608758999,0.897,2000,12
Stage35_FundamentalDualRole,delta_Sharpe,0.06740393993430228,-0.08527368305825204,0.06747820633737822,0.218434581634747,0.7635,2000,12
Stage35_FundamentalDualRole,delta_MDD,-0.0014568121527392826,-0.05071085715819004,0.002713200037693042,0.032826021265090814,0.572,2000,12
