month,asset_vol_signal_month,gvz_signal_date,ovx_signal_date,gvz_level,ovx_level,gvz_causal_rank,ovx_causal_rank,gvz_active,ovx_active,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,estimated_transaction_cost,monthly_utility,policy,solver_success,used_fallback,solver_status,solver_iterations,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_GLD,expected_mu_USO
2007-04,2007-03,,,,,,,False,False,-0.003393979911459752,-0.0018939787307531645,0.9966060200885403,-0.0033939799114597324,1.0,0.0015,1.1807065876841344e-09,0.0,0.9999976385868247,2.3614131753682687e-06,0.0,0.0037207202794372674,9.639886404733387e-06,0.001500004586729663,0.002215894942362944,Stage36_ovx_oil_risk,True,False,0,12,0.010755400357810984,-4.92079961226799e-05,0.0,0.11924459964218902,0.15995079200387732,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.0,0.0,0.003531139902412379,-0.013855789355276923
2007-05,2007-04,,,,,,,False,False,0.002277211701651048,0.0022772428347956103,0.9988755029794217,-0.0011244970205782634,8.895184160768797e-06,2.668555248230639e-08,4.4475920803655564e-09,0.0,0.9999887828140291,1.1217185970874716e-05,0.0,0.0032177310645917444,1.0182910151290719e-05,3.432926252499777e-08,0.0032123285571519864,Stage36_ovx_oil_risk,True,False,0,2,0.011054181191544159,-0.0009962720256934121,0.0,0.11894581880845584,0.1590037279743066,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0,0.0,0.006771960121501378,-0.0147692207402287
2007-06,2007-05,,2007-05-31,,28.44,,,False,False,-0.011502853720223994,-0.010113022178690818,0.9873855841839343,-0.012614415816065705,0.39709472615233565,0.001191284178457007,0.00019854736307616785,5.596945405015879e-19,0.6028938541385663,0.39710614586143367,0.0,0.00509581042045777,0.00033758550100564696,0.0013898345415375819,0.0034861754771208448,Stage36_ovx_oil_risk,True,False,0,9,0.06364767090842967,-0.020309571776659874,0.0,0.06635232909157034,0.13969042822334013,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.0,0.0,0.007915445594233673,-0.011430320479609828
2007-07,2007-06,,2007-06-29,,27.44,,,False,False,0.01563504026437318,0.01563504049337745,1.0028233975491119,0.0,6.542979100185337e-08,1.962893730055601e-10,3.271489552868212e-11,2.830125198564113e-17,0.6092837720842045,0.3907162279157955,2.772782004001329e-17,0.003537689717921279,0.00029651643707236065,6.507483849566353e-09,0.0033372493473260885,Stage36_ovx_oil_risk,True,False,0,1,0.0596506265253629,-0.019713822365973965,0.0,0.0703493734746371,0.14028617763402604,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0,0.0,0.004269739281414941,-0.003624343940881681
2007-08,2007-07,,2007-07-31,,30.69,,,False,False,0.008732925134743968,0.008732925593557124,1.0115809792032777,0.0,1.31089473165455e-07,3.93268419496365e-10,6.554473658269692e-11,3.0578879315188074e-17,0.6045589348100954,0.3954410651899047,3.065024116750904e-17,0.005767595332618378,0.00029082799773728923,6.529944689678741e-09,0.005571705092973799,Stage36_ovx_oil_risk,True,False,0,1,0.05907568004557773,-0.020154345589359635,0.0,0.07092431995442228,0.13984565441064037,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.0,0.0,0.006542467994757922,0.002111902094972338
2007-09,2007-08,,2007-08-31,,28.86,,,False,False,0.030340093289873644,0.03034009542155981,1.042272440482567,0.0,6.090531903258021e-07,1.8271595709774062e-09,3.0452659516288035e-10,2.9794377497132435e-17,0.5980301474231374,0.40196985257686263,2.9229206195190083e-17,0.0056651813139874125,0.00026985265710825816,7.0980587978838964e-09,0.005480685318548645,Stage36_ovx_oil_risk,True,False,0,1,0.056905464459040295,-0.020762932300925185,0.0,0.07309453554095971,0.13923706769907482,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.0,0.0,0.007256630380193922,0.0014248470361207426
2007-10,2007-09,,2007-09-28,,29.32,,,False,False,0.027097633291751373,0.027097633929632665,1.0705155568648623,0.0,1.822517981253837e-07,5.467553943761512e-10,9.112589907655158e-11,2.996071183495133e-17,0.581894635021912,0.41810536497808815,3.070516396065699e-17,0.007472539643039148,0.00035580883647607584,6.557652673398124e-09,0.007242822619811586,Stage36_ovx_oil_risk,True,False,0,1,0.06534298767054435,-0.02226637643576862,0.0,0.06465701232945566,0.13773362356423138,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.0,0.0,0.008499448474214844,0.005213326308216961
2007-11,2007-10,,2007-10-31,,37.46,,,False,False,0.010910031564524657,0.012175248014544338,1.0821949153805728,0.0,0.3614904142913372,0.0010844712428740117,0.0001807452071456686,1.0372377527815124e-17,0.20781743403840824,0.7921825659615919,1.2680083220396876e-17,0.01546631072361557,0.001408333333369692,0.0012652194500245215,0.013267588427942914,Stage36_ovx_oil_risk,True,False,0,8,0.13000000000167808,-0.062159151800534995,0.0,-1.6780743461453085e-12,0.09784084819946501,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.0,0.0,0.016952849763063507,0.010395572715804711
2007-12,2007-11,,2007-11-30,,37.26,,,False,False,0.06526698835007227,0.06542435564305765,1.152826518315224,0.0,0.04496208371011074,0.00013488625113033224,2.24810418550554e-05,0.0,0.24960850117672065,0.7503914988232794,3.366955965335844e-18,0.01107712420222807,0.0014083333333528487,0.0001573702930243093,0.010023250254658061,Stage36_ovx_oil_risk,True,False,0,3,0.13000000000090073,-0.05745981860569771,0.0,-9.007239398783895e-13,0.1025401813943023,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.0,0.0,0.012334664423937313,0.00820338997021823
2008-01,2007-12,,2007-12-31,,36.35,,,False,False,0.08629670779574741,0.08640995874336585,1.2523116515054618,0.0,0.03235741360526649,9.707224081579948e-05,1.617870680263323e-05,2.472894445683506e-18,0.2672310250415547,0.7327689749584454,0.0,0.014781346384474398,0.0014083333333335067,0.00011325394767251614,0.013790541620795545,Stage36_ovx_oil_risk,True,False,0,4,0.130000000000008,-0.050805175397286496,0.0,-7.993605777301127e-15,0.10919482460271351,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.0,0.0,0.017257490893971158,0.011078102098412248
