Sensor,Asset,Period,Target,Model,Observations,SensorStandardizedBeta,SensorHACPValue,SensorSpearmanIC,SensorICPValue,AdjustedR2,HACLags
OVX,USO,available_full,future_left_tail_1m,SensorOnly,183,0.01383879483596838,0.4642702358074059,0.05614035593744524,0.45034238646543,-0.0021163061244018344,1
OVX,USO,available_full,future_left_tail_1m,FullControls,183,-0.0010097594594833115,0.9659074031541418,0.05614035593744524,0.45034238646543,0.005511195204186747,1
OVX,USO,common_2010_2026,future_realized_vol_1m,SensorOnly,199,0.08928296145090239,4.2615556256350264e-07,0.5880310644129739,6.752745210706634e-20,0.26073972427818126,1
OVX,USO,common_2010_2026,future_realized_vol_1m,FullControls,199,0.0498355169438915,0.000964815097986609,0.5880310644129739,6.752745210706634e-20,0.3638906078417794,1
OVX,USO,common_2010_2026,future_max_drawdown_1m,SensorOnly,199,0.021596051212125753,0.004952071271065049,0.26050403532815597,0.00020233807061320635,0.08447495738415012,1
OVX,USO,common_2010_2026,future_max_drawdown_1m,FullControls,199,0.01280800707861584,0.09766531431211783,0.26050403532815597,0.00020233807061320635,0.1589052519965538,1
OVX,USO,common_2010_2026,future_max_drawdown_3m,SensorOnly,198,0.019603464374740975,0.08180135633258037,0.17005747890782394,0.01660935074292572,0.025019510435665304,3
OVX,USO,common_2010_2026,future_max_drawdown_3m,FullControls,198,0.0232238627473863,0.036854291112249464,0.17005747890782394,0.01660935074292572,0.0328177186242361,3
OVX,USO,common_2010_2026,future_left_tail_1m,SensorOnly,183,0.01383879483596838,0.4642702358074059,0.05614035593744524,0.45034238646543,-0.0021163061244018344,1
OVX,USO,common_2010_2026,future_left_tail_1m,FullControls,183,-0.0010097594594833115,0.9659074031541418,0.05614035593744524,0.45034238646543,0.005511195204186747,1
OVX,USO,locked_2018_2026,future_realized_vol_1m,SensorOnly,103,0.09324097989908423,0.0012171888181315034,0.5054913675701798,5.1521922408405285e-08,0.18655740850864044,1
OVX,USO,locked_2018_2026,future_realized_vol_1m,FullControls,103,0.028273896405897933,0.18109896969122385,0.5054913675701798,5.1521922408405285e-08,0.30608876125377904,1
OVX,USO,locked_2018_2026,future_max_drawdown_1m,SensorOnly,103,0.02328655282892167,0.06312449820084923,0.2096055001537583,0.033589338844232805,0.060168373969706646,1
OVX,USO,locked_2018_2026,future_max_drawdown_1m,FullControls,103,0.0026358980693756383,0.7968258292774438,0.2096055001537583,0.033589338844232805,0.14364740594354264,1
OVX,USO,locked_2018_2026,future_max_drawdown_3m,SensorOnly,102,0.010619067848441847,0.5206333865920463,0.058875917834793595,0.55666690030824,-0.003407348422696188,3
OVX,USO,locked_2018_2026,future_max_drawdown_3m,FullControls,102,0.003206790935324495,0.8541414808898493,0.058875917834793595,0.55666690030824,-0.012561464964623736,3
OVX,USO,locked_2018_2026,future_left_tail_1m,SensorOnly,103,0.014950221222899159,0.6122262759786812,0.0622773993251947,0.5320104425687942,-0.00633747000106899,1
OVX,USO,locked_2018_2026,future_left_tail_1m,FullControls,103,-0.02582007476116889,0.41789446090081994,0.0622773993251947,0.5320104425687942,0.02370820545832608,1
