Comparison,Component,Delta_Full_CAGR,Delta_Full_Sharpe,Delta_Full_MDD,Delta_Locked_CAGR,Delta_Locked_Sharpe,Delta_Locked_MDD
OneAtATimeFromZero,macro_engine,0.015098097421812673,-0.09258648572149886,-0.033238560540017614,0.02591985891677151,-0.0708251496316461,-0.0026892528357200796
LeaveOneOutFromRobust,macro_engine,0.01960763298388768,0.08979088484703834,-0.0003904131269091282,0.045585566755032225,0.2768880652387393,0.016174686045354325
OneAtATimeFromZero,base_allocation,0.006850527662858985,0.08118433579982198,0.012912951029410258,0.004714253024148851,0.03365950032596632,0.018583088602459163
LeaveOneOutFromRobust,base_allocation,0.04604219058999881,0.3401994393812332,0.0900225307241771,0.06632160399745168,0.5452601642698638,0.12200631511120263
OneAtATimeFromZero,tail_logistic,3.579601144831912e-06,0.0012612388394280805,-0.0028320597895853394,-0.0017828134046624644,0.004493565281766587,-0.0028320597895854505
LeaveOneOutFromRobust,tail_logistic,-0.0011090967454681078,-0.01196026323791144,0.004653588141355303,-0.006642259282108043,-0.05745439250317519,-0.011632912025408393
OneAtATimeFromZero,vol_target_leverage,0.003848943996925147,-0.029880581120924843,0.0012872857733782217,0.015224051816548068,-0.025239878909538938,0.01603865863139986
LeaveOneOutFromRobust,vol_target_leverage,0.02039189820810927,-0.04833259669069068,-0.01366994557108181,0.03278451609120392,-0.02360689575970465,-0.013003984847325456
OneAtATimeFromZero,vkospi_signal,0.015228626117704147,0.02924377554684754,-0.012631845841897138,0.04529363656423602,0.11930918681322389,0.02818737268292748
LeaveOneOutFromRobust,vkospi_signal,0.009814284415675223,0.0306834299227412,0.0068040052400686335,0.015814733164732253,0.061352255505923825,-0.0004107013785172864
OneAtATimeFromZero,overlay_policy,0.02036287095908107,0.07210188463772671,-0.0019620932482226072,0.042654638744497264,0.12604060768824432,0.017196976391112617
LeaveOneOutFromRobust,overlay_policy,0.023081084400850882,0.10049930909224747,0.03350001273103986,0.02797303770354942,0.01575115791574544,-0.008812847462046691
OneAtATimeFromZero,frequency_reconciliation,-5.1079560646538624e-05,0.022042343578255408,0.0031223368203194823,-0.0013415332406074842,-0.016015545005353404,0.0031223368203194823
LeaveOneOutFromRobust,frequency_reconciliation,0.002395806313435944,0.011978619989204908,0.00019340037736170768,0.004919633552200375,0.030589303164637593,-0.0004181049476901233
