Metric,Component,MeanWhenRobust,MeanWhenZero,AverageMainEffect
Full_CAGR,macro_engine,0.11643542633607681,0.09997356472706809,0.016461861609008727
Full_CAGR,base_allocation,0.11819915014323948,0.09820984091990542,0.019989309223334056
Full_CAGR,tail_logistic,0.10764258455532083,0.10876640650782407,-0.00112382195250324
Full_CAGR,vol_target_leverage,0.11093252892975963,0.10547646213338527,0.005456066796374365
Full_CAGR,vkospi_signal,0.11624239731409364,0.10016659374905126,0.016075803565042374
Full_CAGR,overlay_policy,0.12027928663339732,0.0961297044297476,0.024149582203649725
Full_CAGR,frequency_reconciliation,0.10845877049756444,0.10795022056558047,0.0005085499319839731
Full_Sharpe,macro_engine,0.9375767062065308,0.9486581428864828,-0.011081436679951984
Full_Sharpe,base_allocation,1.048726372615016,0.8375084764779974,0.21121789613701858
Full_Sharpe,tail_logistic,0.942352116030492,0.9438827330625217,-0.001530617032029724
Full_Sharpe,vol_target_leverage,0.9128206048851373,0.9734142442078764,-0.06059363932273909
Full_Sharpe,vkospi_signal,0.9621479420079505,0.9240869070850631,0.03806103492288737
Full_Sharpe,overlay_policy,0.9903721999702395,0.8958626491227741,0.09450955084746537
Full_Sharpe,frequency_reconciliation,0.9490940605182108,0.9371407885748028,0.011953271943408006
Full_MDD,macro_engine,-0.16797972625908042,-0.14258175480135196,-0.025397971457728458
Full_MDD,base_allocation,-0.13440719525184913,-0.17615428580858325,0.04174709055673412
Full_MDD,tail_logistic,-0.15252373093378502,-0.15803775012664736,0.005514019192862346
Full_MDD,vol_target_leverage,-0.1673111526553887,-0.1432503284050437,-0.024060824250345003
Full_MDD,vkospi_signal,-0.15981727517148953,-0.15074420588894288,-0.009073069282546642
Full_MDD,overlay_policy,-0.15182481803812758,-0.15873666302230482,0.00691184498417724
Full_MDD,frequency_reconciliation,-0.15568875117322473,-0.15487272988720768,-0.0008160212860170435
Locked_CAGR,macro_engine,0.1506169794272482,0.11972375096786639,0.030893228459381805
Locked_CAGR,base_allocation,0.1452905294321727,0.1250502009629419,0.020240328469230795
Locked_CAGR,tail_logistic,0.1322897090975803,0.13805102129753427,-0.005761312199953961
Locked_CAGR,vol_target_leverage,0.14145638413617573,0.12888434625893885,0.012572037877236875
Locked_CAGR,vkospi_signal,0.15179210875402113,0.11854862164109348,0.033243487112927655
Locked_CAGR,overlay_policy,0.15300454875968245,0.11733618163543216,0.03566836712425028
Locked_CAGR,frequency_reconciliation,0.1354266555765456,0.134914074818569,0.0005125807579765829
Locked_Sharpe,macro_engine,1.2445117746771521,1.2297641426207582,0.014747632056393956
Locked_Sharpe,base_allocation,1.3595899740128752,1.1146859432850353,0.24490403072783984
Locked_Sharpe,tail_logistic,1.22979135189866,1.2444845653992505,-0.014693213500590385
Locked_Sharpe,vol_target_leverage,1.2010444869916088,1.2732314303063017,-0.07218694331469289
Locked_Sharpe,vkospi_signal,1.2714204876267892,1.2028554296711214,0.06856505795566781
Locked_Sharpe,overlay_policy,1.260902108791114,1.2133738085067964,0.04752830028431765
Locked_Sharpe,frequency_reconciliation,1.2383923261971164,1.2358835911007944,0.00250873509632199
Locked_MDD,macro_engine,-0.1316817902844387,-0.11105587509861246,-0.020625915185826224
Locked_MDD,base_allocation,-0.10137640339757648,-0.1413612619854747,0.039984858587898214
Locked_MDD,tail_logistic,-0.12108159828978601,-0.12165606709326514,0.0005744688034791251
Locked_MDD,vol_target_leverage,-0.12535234319837102,-0.11738532218468012,-0.0079670210136909
Locked_MDD,vkospi_signal,-0.12133152618811802,-0.12140613919493312,7.461300681510519e-05
Locked_MDD,overlay_policy,-0.12385858486468523,-0.1188790805183659,-0.00497950434631933
Locked_MDD,frequency_reconciliation,-0.12094609733595729,-0.12179156804709385,0.0008454707111365534
