Metric,FirstComponent,SecondComponent,AverageInteraction,MeanAbsoluteInteraction
Full_CAGR,macro_engine,base_allocation,-0.005513654394860817,0.013258783224844292
Full_CAGR,macro_engine,tail_logistic,0.00158038357209489,0.0015933866343521147
Full_CAGR,macro_engine,vol_target_leverage,-0.013682941467299356,0.014035301336580833
Full_CAGR,macro_engine,vkospi_signal,0.004709291182278821,0.004869368849353989
Full_CAGR,macro_engine,overlay_policy,0.006493651998642713,0.006493651998642713
Full_CAGR,macro_engine,frequency_reconciliation,0.0014505654308884647,0.0014505654308884647
Full_CAGR,base_allocation,tail_logistic,0.0001980089233914878,0.0006974074199780494
Full_CAGR,base_allocation,vol_target_leverage,0.023030723913574164,0.023030723913574164
Full_CAGR,base_allocation,vkospi_signal,0.007093614655821451,0.008057768121995573
Full_CAGR,base_allocation,overlay_policy,0.00859059500736685,0.00859059500736685
Full_CAGR,base_allocation,frequency_reconciliation,0.00016849351408795843,0.0007373556036196632
Full_CAGR,tail_logistic,vol_target_leverage,0.000306309199706728,0.000862493006842241
Full_CAGR,tail_logistic,vkospi_signal,-0.00147543151496754,0.0014861948401971442
Full_CAGR,tail_logistic,overlay_policy,-0.0006702965091095331,0.0008615324551297654
Full_CAGR,tail_logistic,frequency_reconciliation,-5.813280014874134e-05,6.756844095655301e-05
Full_CAGR,vol_target_leverage,vkospi_signal,-0.0018978137045966709,0.003995157203886893
Full_CAGR,vol_target_leverage,overlay_policy,0.0032000037158887995,0.006097165783713873
Full_CAGR,vol_target_leverage,frequency_reconciliation,0.0004884108613873867,0.0005288407323906646
Full_CAGR,vkospi_signal,overlay_policy,-0.018282725080657036,0.018282725080657036
Full_CAGR,vkospi_signal,frequency_reconciliation,8.454653546832724e-06,1.276070464731327e-05
Full_CAGR,overlay_policy,frequency_reconciliation,1.3730368207232058e-05,1.965861796031365e-05
Full_Sharpe,macro_engine,base_allocation,0.13548560228047724,0.13548560228047724
Full_Sharpe,macro_engine,tail_logistic,0.01135787151375264,0.011765659813710607
Full_Sharpe,macro_engine,vol_target_leverage,0.005593693365387314,0.029270261724773955
Full_Sharpe,macro_engine,vkospi_signal,-0.0033017658961674613,0.016519364458454786
Full_Sharpe,macro_engine,overlay_policy,-0.0030777976941020434,0.0158019133202217
Full_Sharpe,macro_engine,frequency_reconciliation,-0.004396205456595619,0.006012989781306283
Full_Sharpe,base_allocation,tail_logistic,0.0005993102871251453,0.0068692443507754365
Full_Sharpe,base_allocation,vol_target_leverage,-0.039207057021181824,0.04297453570599229
Full_Sharpe,base_allocation,vkospi_signal,0.06567221548328067,0.06567221548328067
Full_Sharpe,base_allocation,overlay_policy,0.07340719141694836,0.07340719141694836
Full_Sharpe,base_allocation,frequency_reconciliation,0.002229450533080452,0.0036588265599268553
Full_Sharpe,tail_logistic,vol_target_leverage,-0.015884227676377143,0.015884227676377143
Full_Sharpe,tail_logistic,vkospi_signal,-0.002250151849839361,0.003827680695252505
Full_Sharpe,tail_logistic,overlay_policy,-0.00038979692850075673,0.004927720281022379
Full_Sharpe,tail_logistic,frequency_reconciliation,0.00023435111782720355,0.0011478190316528934
Full_Sharpe,vol_target_leverage,vkospi_signal,-0.008739697730834127,0.01870002181233378
Full_Sharpe,vol_target_leverage,overlay_policy,0.01331891166214072,0.024852912199905833
Full_Sharpe,vol_target_leverage,frequency_reconciliation,-0.004489997657821813,0.006331365325308161
Full_Sharpe,vkospi_signal,overlay_policy,-0.07127754039449652,0.07331682457837194
Full_Sharpe,vkospi_signal,frequency_reconciliation,-0.003647348298488697,0.003647348298488697
Full_Sharpe,overlay_policy,frequency_reconciliation,-0.002781175747191878,0.002877425924253569
Full_MDD,macro_engine,base_allocation,0.030506256594234362,0.030506256594234362
Full_MDD,macro_engine,tail_logistic,0.010878530637073416,0.011306442484287586
Full_MDD,macro_engine,vol_target_leverage,-0.02354933955362946,0.023614440567525836
Full_MDD,macro_engine,vkospi_signal,0.0010555552268262831,0.009306626087471893
Full_MDD,macro_engine,overlay_policy,0.009454635526383256,0.01435050039143584
Full_MDD,macro_engine,frequency_reconciliation,-0.0015093152752113752,0.002978738017404673
Full_MDD,base_allocation,tail_logistic,0.0011627545930629722,0.011089236387877208
Full_MDD,base_allocation,vol_target_leverage,-0.009481392578890312,0.015778631337926712
Full_MDD,base_allocation,vkospi_signal,0.02628126346998672,0.02640941434555801
Full_MDD,base_allocation,overlay_policy,0.025711054421430856,0.02629083250686363
Full_MDD,base_allocation,frequency_reconciliation,0.003998656360922868,0.004846071509249813
Full_MDD,tail_logistic,vol_target_leverage,0.0010217272824401442,0.01067740961552632
Full_MDD,tail_logistic,vkospi_signal,0.0003055598295020924,0.0045922183400377466
Full_MDD,tail_logistic,overlay_policy,-0.0073027993664193,0.010251159460935907
Full_MDD,tail_logistic,frequency_reconciliation,-0.0004770268698158324,0.0015580901152642025
Full_MDD,vol_target_leverage,vkospi_signal,-0.0021548666083660885,0.007161522723351844
Full_MDD,vol_target_leverage,overlay_policy,0.02008986732753568,0.020615042159265077
Full_MDD,vol_target_leverage,frequency_reconciliation,0.0030076169072307084,0.0033224758324146876
Full_MDD,vkospi_signal,overlay_policy,-0.003200190781552339,0.010179730635645378
Full_MDD,vkospi_signal,frequency_reconciliation,-0.0003237247822208168,0.002153102457800867
Full_MDD,overlay_policy,frequency_reconciliation,-0.002750281299029319,0.002822458032156503
Locked_CAGR,macro_engine,base_allocation,0.0032327432401053346,0.021809289288861528
Locked_CAGR,macro_engine,tail_logistic,0.0012268061762529536,0.0017988203989401652
Locked_CAGR,macro_engine,vol_target_leverage,-0.0196288429439032,0.022217314716705364
Locked_CAGR,macro_engine,vkospi_signal,0.0022532452588048396,0.00797864158656543
Locked_CAGR,macro_engine,overlay_policy,0.01275240638243573,0.013892513025891479
Locked_CAGR,macro_engine,frequency_reconciliation,0.0033332929450119037,0.0033332929450119037
Locked_CAGR,base_allocation,tail_logistic,-0.000881683172874903,0.0018510447863292617
Locked_CAGR,base_allocation,vol_target_leverage,0.03223271392474965,0.03223271392474965
Locked_CAGR,base_allocation,vkospi_signal,0.009856195934959247,0.012617606029746473
Locked_CAGR,base_allocation,overlay_policy,0.008490538641456005,0.011602845913271126
Locked_CAGR,base_allocation,frequency_reconciliation,0.0015474986382571637,0.0015474986382571637
Locked_CAGR,tail_logistic,vol_target_leverage,0.0008006957528542552,0.0022634105997041687
Locked_CAGR,tail_logistic,vkospi_signal,-0.002845553861359665,0.002845553861359665
Locked_CAGR,tail_logistic,overlay_policy,-0.00047044426267371653,0.001747929053981287
Locked_CAGR,tail_logistic,frequency_reconciliation,9.371488101779513e-05,0.00022908623085847457
Locked_CAGR,vol_target_leverage,vkospi_signal,-0.004443849515218812,0.008738043097579223
Locked_CAGR,vol_target_leverage,overlay_policy,0.00011424923010577848,0.007986203128146019
Locked_CAGR,vol_target_leverage,frequency_reconciliation,0.0007655995996981857,0.001097235331723942
Locked_CAGR,vkospi_signal,overlay_policy,-0.04021330070652818,0.04021330070652818
Locked_CAGR,vkospi_signal,frequency_reconciliation,1.70707962292016e-05,4.919233181847893e-05
