Combination,Name,RobustComponents,macro_engine,base_allocation,tail_logistic,vol_target_leverage,vkospi_signal,overlay_policy,frequency_reconciliation,Full_Months,Full_CAGR,Full_Sharpe,Full_MDD,Full_Calmar,Full_FinalMultiple,Locked_Months,Locked_CAGR,Locked_Sharpe,Locked_MDD,Locked_Calmar,Locked_FinalMultiple
0000000,ZeroTune,0,0,0,0,0,0,0,0,232.0,0.0713687275831425,0.8446994945896235,-0.14012928924826884,0.509306283975348,3.791578044356081,103.0,0.07038611121058924,1.1336473538343195,-0.14012928924826884,0.5022940713406836,1.7928983199988608
0000001,frequency_reconciliation,1,0,0,0,0,0,0,1,232.0,0.07131764802249596,0.8667418381678789,-0.13700695242794936,0.5205403576873314,3.7880846699538853,103.0,0.06904457796998176,1.117631808828966,-0.13700695242794936,0.5039494474288934,1.7737023727196255
0000010,overlay_policy,1,0,0,0,0,0,1,0,232.0,0.09173159854222357,0.9168013792273502,-0.14209138249649145,0.6455817160093338,5.456410335310511,103.0,0.1130407499550865,1.2596879615225638,-0.12293231285715622,0.9195365101967664,2.507378931814541
0000011,overlay_policy+frequency_reconciliation,2,0,0,0,0,0,1,1,232.0,0.09167954814261603,0.9346141336303552,-0.1456013073115745,0.629661572656278,5.451383065933401,103.0,0.1116457569253968,1.2485539582316183,-0.12295018256133106,0.9080568617269414,2.4805332857188893
0000100,vkospi_signal,1,0,0,0,0,1,0,0,232.0,0.08659735370084665,0.873943270136471,-0.15276113509016598,0.5668807949727087,4.981121077207678,103.0,0.11567974777482526,1.2529565406475434,-0.11194191656534136,1.033390809485579,2.5588675177875144
0000101,vkospi_signal+frequency_reconciliation,2,0,0,0,0,1,0,1,232.0,0.08654554808621762,0.8909552477514965,-0.15622740720304373,0.5539716086674674,4.976531716086311,103.0,0.11428144724398259,1.2415739691524652,-0.11196001019194934,1.0207345198348345,2.531470601064416
0000110,vkospi_signal+overlay_policy,2,0,0,0,0,1,1,0,232.0,0.0962605001760275,0.9141773303906457,-0.17250021505188073,0.5580311893934534,5.911070586016051,103.0,0.12614262618847127,1.2535062568975337,-0.12396601818313702,1.0175581021092306,2.7723198106154543
0000111,vkospi_signal+overlay_policy+frequency_reconciliation,3,0,0,0,0,1,1,1,232.0,0.09620823385234112,0.9286729898636922,-0.17588572951158765,0.5469928351748558,5.905624414940782,103.0,0.12473121235296447,1.2427714539855463,-0.12398386682621432,1.0060277643041873,2.7426375334153814
0001000,vol_target_leverage,1,0,0,0,1,0,0,0,232.0,0.07521767158006765,0.8148189134686986,-0.13884200347489062,0.5417501166617108,4.063780811371312,103.0,0.08561016302713731,1.1084074749247805,-0.12409063061686898,0.6899002978835648,2.023955585947612
0001001,vol_target_leverage+frequency_reconciliation,2,0,0,0,1,0,0,1,232.0,0.07546002533161977,0.8298379812686093,-0.1384580168922287,0.5450029332021666,4.08152629878589,103.0,0.08404180700812769,1.0906968013232003,-0.12069264056538498,0.6963291764471606,1.9989952865462293
0001010,vol_target_leverage+overlay_policy,2,0,0,0,1,0,1,0,232.0,0.09989744728050454,0.900546369290767,-0.14706364025683216,0.6792803925296795,6.301961602783819,103.0,0.13055847210999527,1.22011267954109,-0.09617085718378215,1.3575679362044004,2.8670273161069395
0001011,vol_target_leverage+overlay_policy+frequency_reconciliation,3,0,0,0,1,0,1,1,232.0,0.10014536384634654,0.9100782184424798,-0.14919562554980526,0.6712352555733311,6.32948065105443,103.0,0.1289251803032645,1.20958764713143,-0.09631280597780212,1.3386089107712091,2.8316698899367085
0001100,vol_target_leverage+vkospi_signal,2,0,0,0,1,1,0,0,232.0,0.09112346337988497,0.8382547666933773,-0.15826733953804817,0.5757565878459623,5.3979472287035986,103.0,0.12932168563357016,1.2310363648157876,-0.08611045796595929,1.5018116113688873,2.840217818662834
0001101,vol_target_leverage+vkospi_signal+frequency_reconciliation,3,0,0,0,1,1,0,1,232.0,0.09136940229229884,0.8453333261205253,-0.16037132025386658,0.5697365473306685,5.42151867831118,103.0,0.1276901805837991,1.2203426038653131,-0.08625398677269258,1.480397432762203,2.8051910188599263
0001110,vol_target_leverage+vkospi_signal+overlay_policy,3,0,0,0,1,1,1,0,232.0,0.10509997777684443,0.9000163161954504,-0.17660669493120862,0.5951075513744408,6.903940238840327,103.0,0.14349069175587847,1.2259360135063389,-0.09849719750269414,1.4567997404388449,3.1610408339077303
0001111,vol_target_leverage+vkospi_signal+overlay_policy+frequency_reconciliation,4,0,0,0,1,1,1,1,232.0,0.10534906699155266,0.9060148772943847,-0.1786648349045915,0.5896463456158563,6.9340879732546545,103.0,0.1418387170690385,1.216272378842012,-0.0986387809387197,1.4379609695010038,3.1220575053296966
0010000,tail_logistic,1,0,0,1,0,0,0,0,232.0,0.07137230718428733,0.8459607334290515,-0.14296134903785418,0.49924198158894634,3.791822970820095,103.0,0.06860329780592678,1.138140919116086,-0.1429613490378543,0.4798730444811452,1.7674279225358471
