Metric,Component,ShapleyContribution,EndpointDelta,ContributionShare
Full_CAGR,macro_engine,0.01683722987445803,0.08499681215549315,0.19809248661768636
Full_CAGR,base_allocation,0.02222788543565484,0.08499681215549315,0.26151434238487853
Full_CAGR,tail_logistic,-0.000961141372312655,0.08499681215549315,-0.011307969651312842
Full_CAGR,vol_target_leverage,0.007755136531976513,0.08499681215549315,0.09124032225807796
Full_CAGR,vkospi_signal,0.014978768305987432,0.08499681215549315,0.17622741284208726
Full_CAGR,overlay_policy,0.023430832733109797,0.08499681215549315,0.27566719432071685
Full_CAGR,frequency_reconciliation,0.0007281006466191919,0.08499681215549315,0.008566211227865873
Full_Sharpe,macro_engine,-0.007794853578322521,0.2878291876876623,-0.027081525820727752
Full_Sharpe,base_allocation,0.21111658225433383,0.2878291876876623,0.7334787133660221
Full_Sharpe,tail_logistic,-0.0031476868937624354,0.2878291876876623,-0.010935954477202452
Full_Sharpe,vol_target_leverage,-0.05340873626057693,0.2878291876876623,-0.18555705447959434
Full_Sharpe,vkospi_signal,0.03547883516356591,0.2878291876876623,0.12326350725092464
Full_Sharpe,overlay_policy,0.09191722321660327,0.2878291876876623,0.31934642888388093
Full_Sharpe,frequency_reconciliation,0.013667823785821182,0.2878291876876623,0.047485885276696865
Full_MDD,macro_engine,-0.02271904486151147,0.010541291552730314,-2.155243002991126
Full_MDD,base_allocation,0.045025845294552724,0.010541291552730314,4.271378423537723
Full_MDD,tail_logistic,0.003909975058425419,0.010541291552730314,0.3709199236987891
Full_MDD,vol_target_leverage,-0.01815402471752989,0.010541291552730314,-1.7221822038332477
Full_MDD,vkospi_signal,-0.007173821344167583,0.010541291552730314,-0.680544818277935
Full_MDD,overlay_policy,0.009754470435083224,0.010541291552730314,0.9253581865456236
Full_MDD,frequency_reconciliation,-0.00010210831212211092,0.010541291552730314,-0.009686508679827162
Locked_CAGR,macro_engine,0.032696473406568484,0.13869212211929938,0.23574859845639842
Locked_CAGR,base_allocation,0.02552111661139843,0.13869212211929938,0.18401273425931017
Locked_CAGR,tail_logistic,-0.005310396600519031,0.13869212211929938,-0.03828910048655226
Locked_CAGR,vol_target_leverage,0.016551642271017377,0.13869212211929938,0.11934089707546679
Locked_CAGR,vkospi_signal,0.032542322199686155,0.13869212211929938,0.2346371351337035
Locked_CAGR,overlay_policy,0.03575403178866973,0.13869212211929938,0.2577942513412192
Locked_CAGR,frequency_reconciliation,0.0009369324424782406,0.13869212211929938,0.006755484220454249
Locked_Sharpe,macro_engine,0.04420796426086287,0.3632712926233843,0.1216940759111807
Locked_Sharpe,base_allocation,0.25971617049700657,0.3632712926233843,0.7149372267251053
Locked_Sharpe,tail_logistic,-0.01915464419938182,0.3632712926233843,-0.05272820778392772
Locked_Sharpe,vol_target_leverage,-0.056749288221939496,0.3632712926233843,-0.1562173763088222
Locked_Sharpe,vkospi_signal,0.07589132672027987,0.3632712926233843,0.20891088357746723
Locked_Sharpe,overlay_policy,0.055254891976531245,0.3632712926233843,0.15210365668452605
Locked_Sharpe,frequency_reconciliation,0.004104871590025095,0.3632712926233843,0.011299741194470752
Locked_MDD,macro_engine,-0.010374605040988338,0.0425250759397553,-0.24396440950948334
Locked_MDD,base_allocation,0.051565417809873046,0.0425250759397553,1.212588494443257
Locked_MDD,tail_logistic,-0.0020245599713996695,0.0425250759397553,-0.04760861507379402
Locked_MDD,vol_target_leverage,-0.0035237323631377806,0.0425250759397553,-0.08286245903781113
Locked_MDD,vkospi_signal,0.00607658802522342,0.0425250759397553,0.14289423101400314
Locked_MDD,overlay_policy,-0.0004235310636302779,0.0425250759397553,-0.00995956043042201
Locked_MDD,frequency_reconciliation,0.0012294985438148925,0.0425250759397553,0.028912318594250287
