regime,asset,beta_kind,observations,first_beta,last_beta,mean_beta,median_beta,early_2007_2017_median_beta,locked_2018_2026_median_beta,subperiod_median_sign_changed,locked_to_early_median_magnitude,min_beta,max_beta,positive_fraction,negative_fraction,zero_fraction,nonzero_sign_switches,median_absolute_beta,p90_absolute_beta,p90_to_median_magnitude,largest_one_month_change
Goldilocks,BOND,recovery,232,-9.87801750807478e-08,1.6740124774829354e-08,-2.7269075110839345e-06,-2.8212554595428182e-08,-7.535320362881373e-07,-5.047574021840026e-12,False,6.698552654382332e-06,-8.450182999572788e-05,3.229855252751595e-06,0.375,0.6206896551724138,0.004310344827586207,17,3.0817972195313483e-07,3.3720601496156304e-06,10.94186252179312,8.440304982064713e-05
Goldilocks,BOND,stress,232,2.480731413739292e-05,-0.0005381411767117678,-0.0001860764572340829,-5.222074455669127e-05,-3.653841621498706e-05,-0.00024446493649256563,False,6.69062761380152,-0.0028506281765548285,2.480731413739292e-05,0.008620689655172414,0.9913793103448276,0.0,1,5.222074455669127e-05,0.00045424685637291047,8.698590191102625,0.002406332020576891
Goldilocks,GLD,recovery,232,-0.004902269829392536,-2.2575849712189624e-05,-0.00023711361125522783,-9.346133089013433e-06,-2.41941241803472e-05,-6.669140768807507e-06,False,0.2756512580945098,-0.006379774302373207,2.5778984892233684e-06,0.004310344827586207,0.9956896551724138,0.0,2,9.346133089013433e-06,0.000214406816843025,22.9406980192765,0.0028013665738858434
Goldilocks,GLD,stress,232,0.0023938350265074386,7.809673513856263e-05,0.0013919226663446126,0.0005597460999205092,0.0010966361572383701,0.0001126887563990436,False,0.10275856368152653,6.891949691482538e-06,0.012187980331482298,1.0,0.0,0.0,0,0.0005597460999205092,0.004099495751103668,7.32384870870176,0.008475507000464224
Goldilocks,KODEX200,recovery,232,0.0,0.0,2.1900723689183938e-05,5.6333086094266845e-06,7.125685407755863e-06,1.787623072859057e-07,False,0.02508703332472889,0.0,0.00030690190555177776,0.7672413793103449,0.0,0.23275862068965517,0,8.38658909485584e-06,5.5278711390348025e-05,6.591322260471165,0.0002605128177557545
Goldilocks,KODEX200,stress,232,0.0,0.0,-0.0002126271666339931,0.0,-6.4846227540262655e-06,0.0,False,0.0,-0.0026810999193893205,0.0,0.0,0.46551724137931033,0.5344827586206896,0,2.242330695544318e-05,0.0015847520778752094,70.6743247561224,0.0016335071765642333
Goldilocks,USO,recovery,232,0.0,0.0,1.986083276123145e-05,1.8544782517189476e-06,5.659078531068073e-06,1.329468261403376e-06,False,0.2349266323315109,0.0,0.0005000336614844412,0.8793103448275862,0.0,0.1206896551724138,0,2.5395222377464762e-06,5.405547539490513e-05,21.285686965621114,0.0003286920565285903
Goldilocks,USO,stress,232,0.0,0.0,0.0,0.0,0.0,0.0,False,,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,0.0
Overheating,BOND,recovery,232,5.728271180541665e-05,-2.6667978267013702e-05,-1.3128617573056022e-05,-9.222066416159151e-08,-9.382935706464189e-08,-3.4064684716983624e-09,False,0.03630493246747436,-0.00025958052563660974,0.0001844571421070149,0.27586206896551724,0.6939655172413793,0.03017241379310345,25,1.2859604816325788e-07,6.441700427688988e-05,500.9252243514504,0.00020393009222911717
Overheating,BOND,stress,232,0.0006940513480138223,-8.926798926908367e-05,-5.980305284364009e-05,-1.9735316783571326e-06,-1.573344509385467e-06,-7.737504618139846e-06,False,4.917870543916692,-0.004270754341561747,0.0006940513480138223,0.11206896551724138,0.8879310344827587,0.0,7,2.0595540365273605e-06,5.2828493743084195e-05,25.650452868019414,0.003744546578692064
