Ablation,Period,DeltaCAGR,DeltaVolatility,DeltaSharpe,DeltaMDD,DeltaAvgTurnover
NoStressExpectedReturn,full_2007_2026,0.0026382823835884306,0.0009509352899711998,0.01505237522121794,-0.0038541299471888113,-0.004408341210815382
NoStressExpectedReturn,locked_2018_2026,0.002691853280788914,-2.01090073064375e-05,0.023873775589194235,0.001510988878231423,0.00041608180039325385
NoStressCovarianceBlend,full_2007_2026,0.0017988771472665643,0.0021515393934954524,-0.005544518441803037,-0.00020190931059649309,7.021730443063784e-05
NoStressCovarianceBlend,locked_2018_2026,0.003332555340132881,0.003287228904147732,-0.006749737284891033,-0.00248343031043885,0.0004316357924528495
NoTechnicalConfidence,full_2007_2026,0.004948382410698615,0.0024022928230217483,0.021331425116108527,-0.020163369643326767,0.007996259905216158
NoTechnicalConfidence,locked_2018_2026,0.01089467590375115,0.0008012304992058572,0.08590129478307129,0.0090372693854891,0.008852913801917307
NoATRCovarianceScaling,full_2007_2026,0.018959148817981664,0.025987682278186652,-0.07331966497198161,-0.022609527148453323,-0.0006749234213386732
NoATRCovarianceScaling,locked_2018_2026,0.03461919378793121,0.0289128904367697,-0.01189028576528628,-0.009571775437518637,-0.00012939722159246644
NoCreditStressRiskScaling,full_2007_2026,0.007808158101739737,0.011817990099073333,-0.04503715028964317,-0.009685616145246767,-0.00385577267215257
NoCreditStressRiskScaling,locked_2018_2026,0.01534848655036769,0.019951130400438027,-0.07052649535416688,-0.014445374338730721,-0.0011681987282821278
NoGVZOVXVarianceScaling,full_2007_2026,0.0010818008633597387,0.0057091761983253525,-0.04754712295175012,-0.013363996121972033,-0.0003606353820767433
NoGVZOVXVarianceScaling,locked_2018_2026,0.011958283682028226,0.0068289409616697355,0.02765277999001059,-0.000524821686603949,4.968366432604038e-06
StressKODEX200Only,full_2007_2026,0.003131435015424344,0.0018166908411765548,0.010500466156978527,-0.0037895985622445894,-0.00422132765646261
StressKODEX200Only,locked_2018_2026,0.004081987097931172,9.967430030542734e-05,0.03473286813042331,0.0017180513911584372,0.0002518854537137821
