month,macro_signal_month,covariance_cutoff,covariance_start,covariance_end,covariance_observations,ledoit_wolf_shrinkage,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,covariance_min_eigenvalue,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,estimated_transaction_cost,monthly_certainty_equivalent,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,expected_return_KODEX200,predictive_std_KODEX200,training_observations_KODEX200,last_training_month_KODEX200,used_mean_fallback_KODEX200,regime_intercept_KODEX200,standardized_regime_intercept_KODEX200,regime_beta_KODEX200_Overheating,standardized_regime_beta_KODEX200_Overheating,regime_feature_mean_KODEX200_Overheating,regime_feature_std_KODEX200_Overheating,regime_beta_KODEX200_Slowdown,standardized_regime_beta_KODEX200_Slowdown,regime_feature_mean_KODEX200_Slowdown,regime_feature_std_KODEX200_Slowdown,regime_beta_KODEX200_Stagflation,standardized_regime_beta_KODEX200_Stagflation,regime_feature_mean_KODEX200_Stagflation,regime_feature_std_KODEX200_Stagflation,expected_return_BOND,predictive_std_BOND,training_observations_BOND,last_training_month_BOND,used_mean_fallback_BOND,regime_intercept_BOND,standardized_regime_intercept_BOND,regime_beta_BOND_Overheating,standardized_regime_beta_BOND_Overheating,regime_feature_mean_BOND_Overheating,regime_feature_std_BOND_Overheating,regime_beta_BOND_Slowdown,standardized_regime_beta_BOND_Slowdown,regime_feature_mean_BOND_Slowdown,regime_feature_std_BOND_Slowdown,regime_beta_BOND_Stagflation,standardized_regime_beta_BOND_Stagflation,regime_feature_mean_BOND_Stagflation,regime_feature_std_BOND_Stagflation,expected_return_GLD,predictive_std_GLD,training_observations_GLD,last_training_month_GLD,used_mean_fallback_GLD,regime_intercept_GLD,standardized_regime_intercept_GLD,regime_beta_GLD_Overheating,standardized_regime_beta_GLD_Overheating,regime_feature_mean_GLD_Overheating,regime_feature_std_GLD_Overheating,regime_beta_GLD_Slowdown,standardized_regime_beta_GLD_Slowdown,regime_feature_mean_GLD_Slowdown,regime_feature_std_GLD_Slowdown,regime_beta_GLD_Stagflation,standardized_regime_beta_GLD_Stagflation,regime_feature_mean_GLD_Stagflation,regime_feature_std_GLD_Stagflation,expected_return_USO,predictive_std_USO,training_observations_USO,last_training_month_USO,used_mean_fallback_USO,regime_intercept_USO,standardized_regime_intercept_USO,regime_beta_USO_Overheating,standardized_regime_beta_USO_Overheating,regime_feature_mean_USO_Overheating,regime_feature_std_USO_Overheating,regime_beta_USO_Slowdown,standardized_regime_beta_USO_Slowdown,regime_feature_mean_USO_Slowdown,regime_feature_std_USO_Slowdown,regime_beta_USO_Stagflation,standardized_regime_beta_USO_Stagflation,regime_feature_mean_USO_Stagflation,regime_feature_std_USO_Stagflation
2007-04,2007-03,2007-03-31,2006-04-13,2007-03-30,252,0.04739306077384947,0.019565463528948234,0.021229059388825616,1.0195654635289482,0.0,1.0,0.0015,0.00016359585987737928,1.1833594767330647e-05,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,0.4453142003847259,0.22749407986051562,0.3271917197547583,2.7114456377852134e-16,0.006279843952686119,0.0014083333356038406,0.06690812741861038,0.0016635973598854161,0.003912079924998782,True,False,0,Optimization terminated successfully,16,-0.003912079924998782,0.13000000010479262,-0.05544641208735407,0.0,-1.0479261902673898e-10,0.10455358791264593,0.005995897883769262,0.03803058833812726,12,2007-03,True,0.005995897883769262,0.005995897883769262,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.004320699052850957,0.0028592116858741994,12,2007-03,True,0.004320699052850957,0.004320699052850957,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.008028479533569286,0.04256011356441083,12,2007-03,True,0.008028479533569286,0.008028479533569286,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.0195083502702052,0.06391679477505745,12,2007-03,True,-0.0195083502702052,-0.0195083502702052,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-05,2007-04,2007-04-30,2006-05-12,2007-04-30,252,0.049917020190110524,0.06580332992241479,0.06656854490982532,1.0866562661030432,0.0,0.22782684317545943,0.0006834805295263782,8.173445788415319e-05,1.1709327363352586e-05,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,0.6910375311730408,0.15798515789113463,0.15097731093582462,0.0,0.008645276236485498,0.001408333333480354,0.09529331483694387,0.000765216487431594,0.007175893082313728,True,False,0,Optimization terminated successfully,12,-0.007175893082313728,0.13000000000678558,-0.06703571587202034,0.0,-6.785572104206494e-12,0.09296428412797966,0.010324726715281823,0.039615683505168836,13,2007-04,True,0.010324726715281823,0.010324726715281823,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.003842649941559396,0.0032349244549251463,13,2007-04,True,0.003842649941559396,0.003842649941559396,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.005983819116815525,0.041409716234101786,13,2007-04,True,0.005983819116815525,0.005983819116815525,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.024194901258368966,0.06348573972631681,13,2007-04,True,-0.024194901258368966,-0.024194901258368966,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-06,2007-05,2007-05-31,2006-06-14,2007-05-31,252,0.04575129890675261,0.008730058477692162,0.009212353157800434,1.0961428388512733,0.0,0.1501059839260233,0.0004503179517780699,3.197672833020101e-05,1.111254282935674e-05,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.8572058407640404,0.06230946999350839,0.0804846892424513,0.0,0.01460889507924662,0.0014083333333541343,0.16685674095083464,0.00048229618013760926,0.013422432232431943,True,False,0,Optimization terminated successfully,10,-0.013422432232431943,0.13000000000096004,-0.07919838561724646,0.0,-9.600376049689885e-13,0.08080161438275354,0.016112934204038087,0.043791848130381526,14,2007-05,True,0.016112934204038087,0.016112934204038087,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.003730820649176387,0.003136054461904714,14,2007-05,True,0.003730820649176387,0.003730820649176387,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.007011623151174666,0.039970601263043866,14,2007-05,True,0.007011623151174666,0.007011623151174666,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.022484003499237886,0.06133013748498433,14,2007-05,True,-0.022484003499237886,-0.022484003499237886,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-07,2007-06,2007-06-30,2006-07-13,2007-06-29,252,0.04610365131849999,0.09039129345977068,0.09054810811314101,1.1952246078717048,0.0,0.044804248974466526,0.00013441274692339958,2.240190644694354e-05,1.0901283909093635e-05,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.9053669969995312,0.06176363461637882,0.03286936838409,2.8787886432183254e-17,0.014784824339872061,0.0014083333392268878,0.16896789204310342,0.0001568171357096619,0.013923840534548955,True,False,0,Optimization terminated successfully,14,-0.013923840534548954,0.13000000027201022,-0.08112770491706489,0.0,-2.720102199038621e-10,0.07887229508293511,0.015916374172901187,0.04220574693636749,15,2007-06,True,0.015916374172901187,0.015916374172901187,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0035073422360885507,0.003143483450828261,15,2007-06,True,0.0035073422360885507,0.0035073422360885507,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0048080707131490374,0.03945080268256112,15,2007-06,True,0.0048080707131490374,0.0048080707131490374,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.016718257517195734,0.06317731201277506,15,2007-06,True,-0.016718257517195734,-0.016718257517195734,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-08,2007-07,2007-07-31,2006-08-14,2007-07-31,252,0.05051096637403744,-0.013831658775098513,-0.013698247371529628,1.1786926689360224,-0.01383165877509851,0.044470377765249564,0.0001334111332957487,2.702731350140933e-10,1.0992637902329077e-05,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.8674736690727942,0.1015452331273765,0.030981097799829285,3.197352226875129e-18,0.01885968463010425,0.0014083333333339615,0.21786621556124725,0.00013341409600101987,0.01802210386743625,True,False,0,Optimization terminated successfully,13,-0.01802210386743625,0.13000000000002898,-0.07731537647193842,0.0,-2.8976820942716586e-14,0.08268462352806158,0.02107596062048856,0.045700233986873104,16,2007-07,True,0.02107596062048856,0.02107596062048856,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0037730879261967526,0.003217554144724388,16,2007-07,True,0.0037730879261967526,0.0037730879261967526,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.006252349403210747,0.03854845217512901,16,2007-07,True,0.006252349403210747,0.006252349403210747,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.007935895041738382,0.07042271996087181,16,2007-07,True,-0.007935895041738382,-0.007935895041738382,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-09,2007-08,2007-08-31,2006-09-14,2007-08-31,252,0.059821690179542295,0.03018678198200833,0.030733635884954254,1.2142736075569855,0.0,0.17641327810822732,0.000529239834324682,1.7614068621239626e-05,1.1046648949215902e-05,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.6886447452879426,0.24391833919257352,0.067436915519484,2.775557561562892e-17,0.014326680322330592,0.0014083333342463187,0.1634701638624892,0.0005468554029838716,0.013075658252223562,True,False,0,Optimization terminated successfully,10,-0.01307565825222356,0.1300000000421378,-0.06191986964301016,2.220446049250313e-16,-4.213779325468181e-11,0.09808013035698984,0.01886885749679037,0.04517512142959185,17,2007-08,True,0.01886885749679037,0.01886885749679037,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0034241048474119118,0.0034316220617693336,17,2007-08,True,0.0034241048474119118,0.0034241048474119118,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.007377840254766686,0.03761174844975283,17,2007-08,True,0.007377840254766686,0.007377840254766686,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.009666686358371502,0.06855891900153376,17,2007-08,True,-0.009666686358371502,-0.009666686358371502,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-10,2007-09,2007-09-30,2006-10-12,2007-09-28,252,0.0684341484890508,0.049193083240202724,0.04932747412193562,1.2740074702099176,0.0,0.038397394780825586,0.00011519218434247677,1.919869739041272e-05,1.105853173834419e-05,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.6621397084437848,0.22934580116809852,0.10851449038811667,5.287613828487881e-18,0.015112456612527006,0.0014083333333880777,0.1728994793499956,0.0001343923818784528,0.014273897563954514,True,False,0,Optimization terminated successfully,9,-0.014273897563954514,0.13000000000252665,-0.06171542041667122,0.0,-2.5266455594419313e-12,0.09828457958332878,0.01985992163965688,0.04402754567463705,18,2007-09,True,0.01985992163965688,0.01985992163965688,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.003375026701528542,0.003335667592627379,18,2007-09,True,0.003375026701528542,0.003375026701528542,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.010951216572570636,0.039512929786712364,18,2007-09,True,0.010951216572570636,0.010951216572570636,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.0045180749103464046,0.07000702281847862,18,2007-09,True,-0.0045180749103464046,-0.0045180749103464046,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-11,2007-10,2007-10-31,2006-11-14,2007-10-31,252,0.055769476886525025,-0.046579275826889255,-0.04634564967170988,1.2146651248494924,-0.046579275826889255,0.06675033005124939,0.00020025099015374818,3.3375165025624715e-05,1.013609521098261e-05,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.6042057846373725,0.21963070608394755,0.17616350927868,0.0,0.016505093069655558,0.0014083333335387829,0.189611116834634,0.00023362848567741917,0.015567297917208745,True,False,0,Optimization terminated successfully,17,-0.015567297917208745,0.13000000000948228,-0.06005171987054658,0.0,-9.482276075445384e-12,0.09994828012945342,0.022146152203063457,0.04393227362967335,19,2007-10,True,0.022146152203063457,0.022146152203063457,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0034542777143525593,0.0032600403728079413,19,2007-10,True,0.0034542777143525593,0.0034542777143525593,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.013428401587694311,0.03988893047542183,19,2007-10,True,0.013428401587694311,0.013428401587694311,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.004414382429985808,0.0783880953054959,19,2007-10,True,0.004414382429985808,0.004414382429985808,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-12,2007-11,2007-11-30,2006-12-14,2007-11-30,252,0.05518464458246113,0.024765090345272665,0.025227022018599655,1.244746416405642,-0.022967725455686816,0.13198047809342583,0.0003959414342802775,6.599023904671295e-05,1.548662426891427e-05,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.4740396084361897,0.2062577145186995,0.3197026770451109,0.0,0.011313003832111502,0.0014083333333355943,0.12730604598532447,0.0004619331733736655,0.01014690399207004,True,False,0,Optimization terminated successfully,9,-0.01014690399207004,0.13000000000010434,-0.057563156110268576,0.0,-1.0433320873914909e-13,0.10243684388973143,0.014408171317525165,0.04961838664245903,20,2007-11,False,0.010175501257136012,0.017026451982859337,-0.018182887747131192,-0.0006848141741027403,0.09023955686117069,0.03766256403418577,0.011904035266997015,0.0011399767647989124,0.44311498354672263,0.09576389343867342,0.02874163486531118,0.0012270786948379306,0.11192508992898012,0.04269342021037624,-3.8518511080204605e-06,0.004032230524656684,20,2007-11,False,0.0019151747172420756,0.003118104086434292,-0.02309927038610476,-0.0008699777500596415,0.09023955686117069,0.03766256403418577,0.004481551333608774,0.00042917080435165536,0.44311498354672263,0.09576389343867342,0.011628802335747103,0.0004964733446634557,0.11192508992898012,0.04269342021037624,0.014024763439324813,0.03973960372361495,20,2007-11,False,0.015433650596903816,0.013568325019940342,0.007026539966503354,0.0002646375114271981,0.09023955686117069,0.03766256403418577,-0.0023002999072694098,-0.00022028567519673812,0.44311498354672263,0.09576389343867342,-0.013224023989482596,-0.0005645788130550765,0.11192508992898012,0.04269342021037624,0.0009395032719995832,0.07727364791710273,20,2007-11,False,0.01004747124250661,0.00285378551267726,0.0019294810650802546,7.266920416633404e-05,0.09023955686117069,0.03766256403418577,-0.005159906472338893,-0.0004941327335705831,0.44311498354672263,0.09576389343867342,-0.04539973457019709,-0.0019382699454449693,0.11192508992898012,0.04269342021037624
2008-01,2007-12,2007-12-31,2007-01-12,2007-12-31,252,0.05469248613083588,0.012286547308078825,0.012716409172930009,1.2600400521373716,-0.010963372192978271,0.1237028312902739,0.0003711084938708217,5.875337098036318e-05,1.722897124327585e-05,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.3358440924648183,0.20788760535940526,0.45626830217577635,0.0,0.01597072056248545,0.0014083333386522387,0.18319864671791197,0.0004298633649868021,0.01483669052817253,True,False,0,Optimization terminated successfully,10,-0.014836690528172533,0.13000000024548794,-0.05188094010645594,2.220446049250313e-16,-2.4548793553513804e-10,0.10811905989354406,0.014241536165646234,0.049414286253205,21,2007-12,False,0.009122849707460112,0.015924384444849157,-0.020561889615736042,-0.0009673072775570463,0.09665962958544183,0.047043695673609914,0.013701532921487613,0.001386000853280923,0.43460595182564793,0.10115662686963359,0.02460884221517454,0.0010875618245189053,0.1151728955644067,0.04419394520918512,0.0018023022742649272,0.004066590939015608,21,2007-12,False,0.0007801140645899776,0.0030901097059980475,-0.013904469380984934,-0.0006541176260620825,0.09665962958544183,0.047043695673609914,0.005448453718634457,0.0005511471998323734,0.43460595182564793,0.10115662686963359,0.011166395363151059,0.0004934870648631967,0.1151728955644067,0.04419394520918512,0.02369901309850938,0.042947643626318,21,2007-12,False,0.018324807755938363,0.01703389599412146,0.0357083406432472,0.0016798523102305172,0.09665962958544183,0.047043695673609914,-0.010375445647826808,-0.0010495450840033802,0.43460595182564793,0.10115662686963359,-0.002025097215555196,-8.949703538751968e-05,0.1151728955644067,0.04419394520918512,0.01144663500541158,0.08095501048772409,21,2007-12,False,0.014588191236770905,0.00870426644649885,0.032075242618155864,0.0015089379523857275,0.09665962958544183,0.047043695673609914,-0.013235053579458533,-0.0013388133765368953,0.43460595182564793,0.10115662686963359,-0.028064526696167064,-0.0012402821551321204,0.1151728955644067,0.04419394520918512
