Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,MDD,AvgTurnover,TotalCost
AllLayersReference,full_2007_2026,2007-04,2026-07,232.0,0.10499388753644423,0.09471746379382799,1.1049112900976705,-0.12407087222855062,0.036977551680083924,0.026535451899626472
AllLayersReference,locked_2018_2026,2018-01,2026-07,103.0,0.12625620430876805,0.10178219836089519,1.2235051573078415,-0.11931111403506689,0.026155145410928442,0.008688700886940497
NoStressExpectedReturn,full_2007_2026,2007-04,2026-07,232.0,0.10763216992003266,0.09566839908379919,1.1199636653188885,-0.12792500217573943,0.03256921046926854,0.023322518692194868
NoStressExpectedReturn,locked_2018_2026,2018-01,2026-07,103.0,0.12894805758955696,0.10176208935358876,1.2473789328970357,-0.11780012515683547,0.026571227211321696,0.008798925591993799
NoStressCovarianceBlend,full_2007_2026,2007-04,2026-07,232.0,0.1067927646837108,0.09686900318732344,1.0993667716558675,-0.12427278153914711,0.03704776898451456,0.026584743037814277
NoStressCovarianceBlend,locked_2018_2026,2018-01,2026-07,103.0,0.12958875964890093,0.10506942726504293,1.2167554200229505,-0.12179454434550574,0.02658678120338129,0.00882995622579212
NoTechnicalConfidence,full_2007_2026,2007-04,2026-07,232.0,0.10994226994714285,0.09711975661684974,1.126242715213779,-0.1442342418718774,0.04497381158530008,0.03290524005922572
NoTechnicalConfidence,locked_2018_2026,2018-01,2026-07,103.0,0.1371508802125192,0.10258342886010105,1.3094064520909128,-0.11027384464957779,0.03500805921284575,0.011842269922602334
NoATRCovarianceScaling,full_2007_2026,2007-04,2026-07,232.0,0.1239530363544259,0.12070514607201464,1.031591625125689,-0.14668039937700394,0.03630262825874525,0.025933688157694
NoATRCovarianceScaling,locked_2018_2026,2018-01,2026-07,103.0,0.16087539809669926,0.1306950887976649,1.2116148715425552,-0.12888288947258553,0.026025748189335975,0.008637750795486865
NoCreditStressRiskScaling,full_2007_2026,2007-04,2026-07,232.0,0.11280204563818397,0.10653545389290132,1.0598741398080274,-0.1337564883737974,0.033121779007931354,0.02372476922995685
NoCreditStressRiskScaling,locked_2018_2026,2018-01,2026-07,103.0,0.14160469085913574,0.12173332876133322,1.1529786619536746,-0.1337564883737976,0.024986946682646314,0.00824619356361915
NoGVZOVXVarianceScaling,full_2007_2026,2007-04,2026-07,232.0,0.10607568839980397,0.10042663999215334,1.0573641671459204,-0.13743486835052265,0.03661691629800718,0.026142517584329384
NoGVZOVXVarianceScaling,locked_2018_2026,2018-01,2026-07,103.0,0.13821448799079628,0.10861113932256493,1.251157937297852,-0.11983593572167084,0.026160113777361046,0.008727532733688613
StressKODEX200Only,full_2007_2026,2007-04,2026-07,232.0,0.10812532255186857,0.09653415463500455,1.115411756254649,-0.1278604707907952,0.032756224023621314,0.02344228110602557
StressKODEX200Only,locked_2018_2026,2018-01,2026-07,103.0,0.13033819140669922,0.10188187266120062,1.2582380254382648,-0.11759306264390845,0.026407030864642224,0.008738405365676079
