Reference,Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
AllLayersReference,NoStressExpectedReturn,full_2007_2026,delta_CAGR,0.0026776454865613335,0.00013386547501424985,0.0025697188121465153,0.005652827797516358,0.961,2000,12
AllLayersReference,NoStressExpectedReturn,full_2007_2026,delta_Sharpe,0.015546676345429642,-0.005708732453230813,0.015177039817058757,0.03815072157856285,0.883,2000,12
AllLayersReference,NoStressExpectedReturn,full_2007_2026,delta_MDD,-0.001710443579106127,-0.008570602149696082,-0.0023882124831823837,0.003931256278326817,0.367,2000,12
AllLayersReference,NoStressExpectedReturn,locked_2018_2026,delta_CAGR,0.002710042936823174,0.0010321764461393324,0.0026475766706823833,0.004662347092581809,0.9995,2000,12
AllLayersReference,NoStressExpectedReturn,locked_2018_2026,delta_Sharpe,0.02480659411487658,0.007681238323859485,0.023205839377733573,0.0478100447058478,0.9965,2000,12
AllLayersReference,NoStressExpectedReturn,locked_2018_2026,delta_MDD,0.0018187070176264146,-0.0002930683606178208,0.001735393134810359,0.004573390979508735,0.9295,2000,12
AllLayersReference,NoStressCovarianceBlend,full_2007_2026,delta_CAGR,0.0018056226069840513,0.0005608091849573227,0.0017073239871221446,0.0033653422687608394,0.9945,2000,12
AllLayersReference,NoStressCovarianceBlend,full_2007_2026,delta_Sharpe,-0.0051628241504985736,-0.013872378020876357,-0.005042723836503948,0.0036783305938346165,0.1675,2000,12
AllLayersReference,NoStressCovarianceBlend,full_2007_2026,delta_MDD,-0.0023402725775758903,-0.005864286462834001,-0.002180118165068634,0.00030230666091975443,0.1385,2000,12
AllLayersReference,NoStressCovarianceBlend,locked_2018_2026,delta_CAGR,0.003433867805038371,0.0010027458258607847,0.0032237368648959652,0.006539490404252624,0.9935,2000,12
AllLayersReference,NoStressCovarianceBlend,locked_2018_2026,delta_Sharpe,-0.004926095991039278,-0.01668422629311054,-0.005342906702595851,0.00812186570902302,0.2535,2000,12
AllLayersReference,NoStressCovarianceBlend,locked_2018_2026,delta_MDD,-0.004192461036207037,-0.007161391585085414,-0.004987560091855525,-0.0006898570048822003,0.0285,2000,12
AllLayersReference,NoTechnicalConfidence,full_2007_2026,delta_CAGR,0.0050598900455977565,-0.0016172647184345744,0.0050155434627020545,0.011894567966146274,0.885,2000,12
AllLayersReference,NoTechnicalConfidence,full_2007_2026,delta_Sharpe,0.020985468064116882,-0.04099936853290913,0.020272847750959444,0.0837276018558429,0.715,2000,12
AllLayersReference,NoTechnicalConfidence,full_2007_2026,delta_MDD,-0.007863909309256976,-0.028708944961418032,-0.008449619772156858,0.012356320703828902,0.2945,2000,12
AllLayersReference,NoTechnicalConfidence,locked_2018_2026,delta_CAGR,0.010809719959760305,0.0027326733885960296,0.010754664775916356,0.018913772602886337,0.9885,2000,12
AllLayersReference,NoTechnicalConfidence,locked_2018_2026,delta_Sharpe,0.08466527767397918,0.0010870315907392403,0.07996804948864678,0.18309083196775988,0.9515,2000,12
AllLayersReference,NoTechnicalConfidence,locked_2018_2026,delta_MDD,0.005668438993751473,-0.0088108962989919,0.004567635207592846,0.02028683516403099,0.7635,2000,12
AllLayersReference,NoATRCovarianceScaling,full_2007_2026,delta_CAGR,0.01930425519743523,0.006072780509312059,0.01836186997805589,0.035588228069739346,0.998,2000,12
AllLayersReference,NoATRCovarianceScaling,full_2007_2026,delta_Sharpe,-0.07134012325985185,-0.12757936369569994,-0.07137672779624887,-0.016182093923419117,0.0195,2000,12
AllLayersReference,NoATRCovarianceScaling,full_2007_2026,delta_MDD,-0.02893021730811721,-0.049556051264228115,-0.027671604995038346,-0.009666879025157296,0.002,2000,12
AllLayersReference,NoATRCovarianceScaling,locked_2018_2026,delta_CAGR,0.03587513951667542,0.010625410074979668,0.03354955654787184,0.068852992827717,0.998,2000,12
AllLayersReference,NoATRCovarianceScaling,locked_2018_2026,delta_Sharpe,-0.005262173819748424,-0.08583124255536544,-0.005098599370631396,0.07459847197243356,0.4515,2000,12
AllLayersReference,NoATRCovarianceScaling,locked_2018_2026,delta_MDD,-0.027247386353894145,-0.044503132460595014,-0.03322088175570648,-0.005747565781394895,0.0105,2000,12
AllLayersReference,NoCreditStressRiskScaling,full_2007_2026,delta_CAGR,0.007914825669381554,0.0003275808432252059,0.007445317354009329,0.01758351771558746,0.96,2000,12
AllLayersReference,NoCreditStressRiskScaling,full_2007_2026,delta_Sharpe,-0.04401765552686017,-0.09103160914190303,-0.044281286645842965,0.002026989038854524,0.06,2000,12
AllLayersReference,NoCreditStressRiskScaling,full_2007_2026,delta_MDD,-0.017737113925850527,-0.034887003631764134,-0.015652063967712293,-0.005308796241400729,0.009,2000,12
AllLayersReference,NoCreditStressRiskScaling,locked_2018_2026,delta_CAGR,0.015965507319114756,3.6945174928959596e-05,0.014789419089177969,0.03615510352119004,0.9505,2000,12
AllLayersReference,NoCreditStressRiskScaling,locked_2018_2026,delta_Sharpe,-0.0667863690875411,-0.14364909593552921,-0.06781158511214064,0.011346246336348833,0.0815,2000,12
AllLayersReference,NoCreditStressRiskScaling,locked_2018_2026,delta_MDD,-0.026047268184425532,-0.04330591395144081,-0.02972069680946171,-0.007588228780553026,0.0095,2000,12
AllLayersReference,NoGVZOVXVarianceScaling,full_2007_2026,delta_CAGR,0.001215888521428429,-0.005346329718496301,0.0010437238493969936,0.008163820329223012,0.608,2000,12
AllLayersReference,NoGVZOVXVarianceScaling,full_2007_2026,delta_Sharpe,-0.0480427155389109,-0.09155609026642093,-0.04787297262105478,-0.005573188838151687,0.0285,2000,12
AllLayersReference,NoGVZOVXVarianceScaling,full_2007_2026,delta_MDD,-0.010734835613111275,-0.024604787464585224,-0.01020203642305062,-9.325873406851315e-15,0.049,2000,12
AllLayersReference,NoGVZOVXVarianceScaling,locked_2018_2026,delta_CAGR,0.01228552871808591,0.0032402252890373793,0.011808169423398684,0.023248891385986934,0.988,2000,12
AllLayersReference,NoGVZOVXVarianceScaling,locked_2018_2026,delta_Sharpe,0.025792159271170248,-0.023382512778079494,0.025312951419761975,0.07688108574590366,0.7965,2000,12
AllLayersReference,NoGVZOVXVarianceScaling,locked_2018_2026,delta_MDD,-0.005180776008692056,-0.012866065464135046,-0.005811513983680072,0.003739925391774061,0.125,2000,12
AllLayersReference,StressKODEX200Only,full_2007_2026,delta_CAGR,0.003150832855321382,0.0003926235271766054,0.0030840658892481443,0.006210595237691574,0.9715,2000,12
AllLayersReference,StressKODEX200Only,full_2007_2026,delta_Sharpe,0.010924552762247679,-0.01154977919841892,0.010647995934262244,0.03617875940950889,0.7745,2000,12
AllLayersReference,StressKODEX200Only,full_2007_2026,delta_MDD,-0.002324046100194563,-0.009096438679605417,-0.003143880101597385,0.0037575545103537495,0.2905,2000,12
AllLayersReference,StressKODEX200Only,locked_2018_2026,delta_CAGR,0.004085148681504573,0.0018532283143192995,0.003983571313932011,0.006577816847344208,1.0,2000,12
AllLayersReference,StressKODEX200Only,locked_2018_2026,delta_Sharpe,0.036475007182497396,0.012611277479915023,0.03488321116813675,0.06708610573028886,0.9995,2000,12
AllLayersReference,StressKODEX200Only,locked_2018_2026,delta_MDD,0.0017935385693604537,-0.0012439785651269242,0.0017180513911585482,0.005646229862544043,0.8115,2000,12
