role,asset,encoding,observations,mse,mae
next_month_return,KODEX200,rank,224.0,0.00487301361249483,0.04771376901431333
next_month_return,KODEX200,zscore,224.0,0.005114853518488045,0.04840936212726323
next_month_return,BOND,rank,224.0,7.858677298096328e-05,0.0064703764905203135
next_month_return,BOND,zscore,224.0,8.121207141151378e-05,0.0065562573752313376
next_month_return,GLD,rank,224.0,0.0031011891605113944,0.04319292966126487
next_month_return,GLD,zscore,224.0,0.003003695199856933,0.042434208828961394
next_month_return,USO,rank,224.0,0.012116360899336131,0.08022755742316719
next_month_return,USO,zscore,224.0,0.011992682509982366,0.07981105334378982
next_month_log_squared_return,KODEX200,rank,224.0,4.80218203597133,1.758935122752835
next_month_log_squared_return,KODEX200,zscore,224.0,4.829068101805916,1.7614222908946668
next_month_log_squared_return,BOND,rank,224.0,6.26970610455914,1.9242597909799417
next_month_log_squared_return,BOND,zscore,224.0,6.286063584987099,1.9209865627821183
next_month_log_squared_return,GLD,rank,224.0,6.182002941167214,1.8274633184848155
next_month_log_squared_return,GLD,zscore,224.0,6.1418094904506315,1.8234051196296661
next_month_log_squared_return,USO,rank,224.0,4.711558074178705,1.5981075068841477
next_month_log_squared_return,USO,zscore,224.0,4.7619266944581105,1.5859738904520901
