month,return_base,return_stress_aware,overlay_alpha,stress_score,base_risky_weight,stress_aware_risky_weight,risk_reduction,KODEX200_return,risk_off_action,positive_equity_month,crash_month,false_positive,caught_crash,missed_crash
2007-04,0.020109234961095398,0.02868824819002322,0.008579013228927821,0.44154815101722783,0.499999245012095,0.5000000000000174,-7.549879224577616e-07,0.06227067269343256,False,True,False,False,False,False
2007-05,0.05579710616955215,0.050128380713542996,-0.0056687254560091535,0.4955475396676942,0.5,0.5,0.0,0.09135963155786953,False,True,False,False,False,False
2007-06,-0.006497346278103057,-0.007417923182275987,-0.0009205769041729294,0.5871695775491049,0.5000000000000001,0.5,1.1102230246251565e-16,0.013164533736984563,False,True,False,False,False,False
2007-07,0.06296478503410873,0.06296479941375722,1.4379648499707187e-08,0.4727490475190912,0.5000000000000001,0.5000000000000001,0.0,0.09846975733429919,False,True,False,False,False,False
2007-08,0.004154543035333844,0.004154557441956266,1.4406622422802329e-08,0.6341131253053367,0.5,0.5,0.0,-0.016444792482380732,False,False,False,False,False,False
2007-09,0.054171958187192934,0.05417195790448527,-2.8270766283533533e-10,0.676341430829936,0.5000000000000001,0.5000000000000001,0.0,0.03670801206838781,False,True,False,False,False,False
2007-10,0.06062897452915747,0.06062897452915747,0.0,0.5193018641774033,0.5000000000000001,0.5000000000000001,0.0,0.06329830234438161,False,True,False,False,False,False
2007-11,-0.0320148472414493,-0.0320148472414493,0.0,0.7818130798505039,0.5,0.5,0.0,-0.08024785220101893,False,False,True,False,False,True
2007-12,0.040026967662790035,0.04002696766279005,1.3877787807814457e-17,0.6626775724585523,0.5,0.5000000000000001,-1.1102230246251565e-16,-0.006116966315354189,False,False,False,False,False,False
2008-01,-0.00828899445363421,-0.00828899445363421,0.0,0.5132411542673639,0.5000000000000001,0.5000000000000001,0.0,-0.12537946521395604,False,False,True,False,False,True
2008-02,0.035275327460808026,0.035275327303603686,-1.5720433982346904e-10,0.6374043030072718,0.5000000000000001,0.4999999351810705,6.481892961263114e-08,0.009176492963103966,False,True,False,False,False,False
2008-03,-0.015203491894145542,-0.015358268225141204,-0.000154776330995662,0.587668445200261,0.5000000000000001,0.5000000000000001,0.0,0.02346289752650188,False,True,False,False,False,False
2008-04,0.044632553497643244,0.04477261713835098,0.0001400636407077327,0.5274413701575932,0.5000000000000001,0.5000000000000001,0.0,0.09901947244855691,False,True,False,False,False,False
2008-05,0.05691864000529776,0.05800817376552952,0.0010895337602317562,0.4680286725621713,0.5000000000000001,0.5,1.1102230246251565e-16,-0.007665242523247073,False,False,False,False,False,False
2008-06,0.05203267954711792,0.0538985100614519,0.001865830514333984,0.5104176318429294,0.48888370725248337,0.48917355934008216,-0.00028985208759879644,-0.09822295386433677,False,False,True,False,False,True
2008-07,-0.08475577633716838,-0.08631038598532521,-0.0015546096481568322,0.6831293231709922,0.4495759054169896,0.4685131786329143,-0.0189372732159247,-0.05401610185358552,False,False,False,False,False,False
2008-08,-0.023789117903483172,-0.026831529624589356,-0.0030424117211061835,0.5052696849588909,0.29763172086649536,0.3274060686224013,-0.029774347755905928,-0.07822859970311735,False,False,True,False,False,True
2008-09,0.07267943430399743,0.07296130236489386,0.00028186806089643135,0.6021767779138312,0.1971151699298535,0.1877824454888033,0.00933272444105021,0.0059047721294755995,True,True,False,True,False,False
2008-10,-0.10138743769107524,-0.09775134927556339,0.003636088415511843,0.6080814217442396,0.17723288598350154,0.16467914254462898,0.012553743438872556,-0.21233790490421034,True,False,True,False,True,False
