target_month,stress_signal_month,stress_signal_date,level_component,shock_component,tail_component,persistence_component,stress_raw,stress_score,recovery_score
2006-04,2006-03,2006-03-31,0.09668508287292818,0.16054190885004826,0.912523020257827,0.40114277790131814,0.3927231974705304,0.3927231974705304,0.0
2006-05,2006-04,2006-04-28,0.09205776173285199,0.36454778297265134,0.4666064981949458,0.3774261471287828,0.32515954750730797,0.3491675783603304,0.19525547445255476
2006-06,2006-05,2006-05-30,0.3253968253968254,0.5148664382057028,0.46296296296296297,0.45471677178192943,0.43948574958685516,0.4763134817591575,0.3053571428571429
2006-07,2006-06,2006-06-30,0.4584055459272097,0.058327829016737165,0.18457538994800693,0.5482515624190993,0.3123900818277633,0.5195622076942717,0.977112676056338
2006-08,2006-07,2006-07-31,0.55,0.5799326379834855,0.5771186440677967,0.5476605999161274,0.5636779704918524,0.5636779704918524,0.0
2006-09,2006-08,2006-08-31,0.0768595041322314,0.16636019283746556,0.3322314049586777,0.4176285559403015,0.24826991446716906,0.3690919708304708,0.8083333333333333
2006-10,2006-09,2006-09-29,0.0444264943457189,0.2738136271068709,0.4798061389337641,0.34808110110516244,0.28653184037287904,0.34253517807843886,0.44098360655737706
2006-11,2006-10,2006-10-31,0.045813586097946286,0.41753265211660173,0.8578199052132701,0.3764216746395835,0.4243969545168504,0.4243969545168504,0.0
2006-12,2006-11,2006-11-30,0.013117283950617283,0.3762138077683697,0.14429012345679013,0.3276597200126127,0.21532023379709744,0.35049608703214,0.8591772151898734
2007-01,2006-12,2006-12-28,0.03106060606060606,0.7824167244968772,0.3871212121212121,0.36282205744145535,0.3908551500300376,0.3908551500300376,0.0
2007-02,2007-01,2007-01-30,0.1387240356083086,0.67584430014238,0.5289317507418397,0.3884461335688109,0.43298655501533484,0.43298655501533484,0.0
2007-03,2007-02,2007-02-27,0.16690962099125364,0.7136355171395179,0.7674927113702623,0.4124851629637805,0.5151307531162036,0.5151307531162036,0.0
2007-04,2007-03,2007-03-30,0.2962962962962963,0.40398053113261145,0.07407407407407407,0.4570246501405611,0.30784388791088574,0.44154815101722783,0.8531976744186046
2007-05,2007-04,2007-04-30,0.25,0.6284508599894711,0.6829608938547486,0.42077840482655726,0.4955475396676942,0.4955475396676942,0.0
2007-06,2007-05,2007-05-31,0.23424657534246576,0.7895488899385923,0.9109589041095891,0.41392394080577255,0.5871695775491049,0.5871695775491049,0.0
2007-07,2007-06,2007-06-29,0.35080645161290325,0.4965292934363496,0.48655913978494625,0.47917005260410067,0.45326623435957497,0.4727490475190912,0.18767123287671234
2007-08,2007-07,2007-07-31,0.8218543046357616,0.5111192052980132,0.580794701986755,0.5572566644817507,0.6177562191005701,0.6341131253053367,0.16124661246612465
2007-09,2007-08,2007-08-31,0.8668831168831169,0.5668173329938035,0.575974025974026,0.6713443891980188,0.6702547162622413,0.676341430829936,0.05952380952380952
2007-10,2007-09,2007-09-28,0.7326923076923076,0.14616004962779158,0.33782051282051284,0.5900839468280789,0.45168920424217274,0.5193018641774033,0.5427461139896373
