date,vkospi_close,vkospi_log_change_5,level_component,shock_component,persistence_component,stress_raw,stress_score,recovery_score
2003-01-02,35.57,,0.5,,0.5,0.5,0.5,0.0
2003-01-03,34.5,,0.25,,0.375,0.3125,0.40625,0.5
2003-01-06,33.04,,0.16666666666666666,,0.3055555555555555,0.2361111111111111,0.34953703703703703,0.75
2003-01-07,33.98,,0.375,,0.32291666666666663,0.3489583333333333,0.3493923611111111,0.16666666666666666
2003-01-08,33.17,,0.3,,0.3183333333333333,0.30916666666666665,0.3413472222222222,0.375
2003-01-09,34.02,-0.044553998992648225,0.5833333333333334,0.5,0.35555555555555557,0.4796296296296297,0.4796296296296297,0.0
2003-01-10,38.05,0.09794176027038048,0.9285714285714286,0.75,0.42465986394557825,0.7010770975056689,0.7010770975056689,0.0
2003-01-13,37.56,0.12822070568728527,0.8125,0.8333333333333334,0.4744419642857143,0.7067584325396826,0.7067584325396826,0.0
2003-01-14,36.75,0.07836610941505961,0.7222222222222222,0.375,0.4826829805996473,0.5266350676072898,0.5446533787897876,0.3
2003-01-15,35.59,0.07041884656314013,0.65,0.3,0.48191468253968256,0.47730489417989413,0.578281024292433,0.75
2003-01-16,35.86,0.052673881209270856,0.6818181818181818,0.25,0.4804596287550833,0.4707592701910883,0.5765069524047248,0.7857142857142857
2003-01-17,36.0,-0.05538214585158485,0.7083333333333334,0.07142857142857142,0.4729114057239057,0.41755777016193685,0.5198030869359783,0.6875
2003-01-20,35.97,-0.04325439663253006,0.6538461538461539,0.3125,0.4737007650469189,0.4800156396310242,0.4800156396310242,0.0
2003-01-21,36.06,-0.018954007883674517,0.75,0.3888888888888889,0.4805395992895993,0.539809496059496,0.539809496059496,0.0
2003-01-22,36.47,0.024425305298487743,0.7666666666666667,0.45,0.48905918155918154,0.5685752827419495,0.5685752827419495,0.0
2003-01-23,36.67,0.022336513906247912,0.78125,0.4090909090909091,0.4956911361208236,0.5620106817372442,0.5620106817372442,0.0
2003-01-24,36.6,0.016529301951210496,0.7352941176470589,0.375,0.49918854333862983,0.5364942203285629,0.5373810640996555,0.16666666666666666
2003-01-27,38.46,0.06693348245310116,0.9722222222222222,0.6538461538461539,0.5166244124883831,0.7142309295189198,0.7142309295189198,0.0
2003-01-28,36.11,0.001385617514195303,0.6052631578947368,0.32142857142857145,0.5138202783922395,0.4801706692385159,0.5722963567130386,0.45
2003-01-29,36.36,-0.003020735511310768,0.625,0.3,0.5112542644726275,0.47875142149087585,0.5543315844628236,0.4090909090909091
2003-01-30,35.88,-0.021778944892639096,0.40476190476190477,0.21875,0.501842062091675,0.3751179889511933,0.5169530459056135,0.9583333333333334
