target_month,stress_signal_month,stress_signal_date,level_component,shock_component,persistence_component,stress_raw,stress_score,recovery_score
2006-04,2006-03,2006-03-31,0.08601485148514851,0.036737235367372355,0.35501026537451147,0.15925411740901077,0.22504995326858843,0.4899749373433584
2006-05,2006-04,2006-04-28,0.08091787439613526,0.5583232077764277,0.28372783349771613,0.3076563052234264,0.3076563052234264,0.0
2006-06,2006-05,2006-05-30,0.32134433962264153,0.042111506524317915,0.5423646685236634,0.3019401715568743,0.5327422534709215,0.9819711538461539
2006-07,2006-06,2006-06-30,0.45512082853855007,0.03414351851851852,0.5873589784482209,0.3588744418350965,0.5022029627302989,0.8489461358313818
2006-08,2006-07,2006-07-31,0.5292463442069741,0.22228506787330315,0.5221646244153468,0.42456534549854136,0.42456534549854136,0.0
2006-09,2006-08,2006-08-31,0.06750823271130625,0.20695364238410596,0.3083977128774573,0.19428652932428983,0.26809781322637893,0.5268456375838926
2006-10,2006-09,2006-09-29,0.03594420600858369,0.15803667745415317,0.2996503797325317,0.16454375439842286,0.2769895865417132,0.7368995633187773
2006-11,2006-10,2006-10-31,0.03995793901156677,0.2891120507399577,0.283815361034221,0.20429511692858182,0.2212921603030657,0.11670235546038545
2006-12,2006-11,2006-11-30,0.008735868448098663,0.7143595041322314,0.21321786856135394,0.3121044137138947,0.3121044137138947,0.0
2007-01,2006-12,2006-12-28,0.021673387096774195,0.7684903748733536,0.30750750484584505,0.365890422271991,0.365890422271991,0.0
2007-02,2007-01,2007-01-31,0.14053254437869822,0.8300297324083251,0.3571348680909737,0.44256571495933233,0.44256571495933233,0.0
2007-03,2007-02,2007-02-28,0.32575024201355274,0.9742217898832685,0.33039039542689624,0.5434541424412391,0.5434541424412391,0.0
2007-04,2007-03,2007-03-30,0.27514231499051234,0.6334604385128694,0.4294347770783863,0.4460125101939227,0.4460125101939227,0.0
2007-05,2007-04,2007-04-30,0.2372093023255814,0.8042056074766355,0.31003377278153554,0.4504828941945842,0.4504828941945842,0.0
2007-06,2007-05,2007-05-31,0.21624087591240876,0.7612282309807517,0.32560827699303124,0.43435912796206394,0.43435912796206394,0.0
2007-07,2007-06,2007-06-29,0.3279569892473118,0.14446444644464446,0.48747296878985374,0.3199648014939367,0.4706045098923868,0.8504587155963302
2007-08,2007-07,2007-07-31,0.8122251539138082,0.9624558303886925,0.6452791974507276,0.8066533939177428,0.8066533939177428,0.0
2007-09,2007-08,2007-08-31,0.866695427092321,0.3799826689774697,0.7380808689642795,0.6615863216780233,0.6658603834263722,0.025709219858156027
2007-10,2007-09,2007-09-28,0.7232142857142857,0.0012809564474807857,0.6233159770605639,0.4492704064074435,0.4633367902515094,0.09162303664921466
2007-11,2007-10,2007-10-31,0.8969115191986644,0.5259849119865885,0.7561683398461503,0.7263549236771345,0.7813177294303755,0.41049913941480204
2007-12,2007-11,2007-11-30,0.8545081967213115,0.040740740740740744,0.7377225851588217,0.5443238408736247,0.6756244507979499,0.808277027027027
2008-01,2007-12,2007-12-28,0.6526655896607432,0.06285482562854826,0.505612513550904,0.40704430961339844,0.41803969382926454,0.06870860927152318
2008-02,2008-01,2008-01-31,0.8281746031746032,0.5159362549800797,0.7164570686481173,0.6868559756009335,0.6868559756009335,0.0
2008-03,2008-02,2008-02-29,0.7875586854460094,0.2187745483110762,0.6272604108205874,0.5445312148592243,0.6181470019813402,0.5266129032258065
2008-04,2008-03,2008-03-31,0.7074672825250192,0.23608964451313755,0.6499118920988429,0.5311562730456666,0.5311562730456666,0.0
2008-05,2008-04,2008-04-30,0.4265151515151515,0.2536121673003802,0.469118230174493,0.3830818496633415,0.43267459903941774,0.37109375
2008-06,2008-05,2008-05-30,0.49514563106796117,0.46664167916041976,0.48305466932990154,0.48161399318609416,0.538499385581038,0.4291217257318952
2008-07,2008-06,2008-06-30,0.6320824135393672,0.8142540620384048,0.5500817051076535,0.6654727268951418,0.6654727268951418,0.0
2008-08,2008-07,2008-07-31,0.5416063675832128,0.4738562091503268,0.591206082219743,0.5355562196510942,0.5355562196510942,0.0
