Strategy,Metric,PointDelta,BootstrapMedianDelta,BootstrapP05,BootstrapP95,ProbabilityDeltaPositive,BlockMonths,Replications
Stage28_ODS_Difference,CAGR,0.006354127746881488,0.010033492364210805,-0.009730810755811703,0.029889338994718993,0.786,12,2000
Stage28_ODS_Difference,Sharpe,-0.008561234967044307,0.023895890612369963,-0.16350591620954158,0.19773348922683914,0.5935,12,2000
Stage28_ODS_Difference,MDD,-0.040684771571615874,-0.013787470549810554,-0.05382147343782341,0.03093211946416334,0.3605,12,2000
Stage29_OptionTwoAxisConfirmation,CAGR,0.0023523151981852397,0.004364955315204866,-0.007346231235049361,0.015529962960708531,0.7385,12,2000
Stage29_OptionTwoAxisConfirmation,Sharpe,-0.014218240036055985,0.007990675226464017,-0.11887908977060802,0.11865951926548043,0.549,12,2000
Stage29_OptionTwoAxisConfirmation,MDD,-0.013136187916011455,-0.0016853610189810353,-0.021461173107374776,0.031111148886777667,0.4665,12,2000
