target_month,stress_signal_month,stress_signal_date,level_component,shock_component,tail_component,persistence_component,stress_raw,stress_score,recovery_score,stress_direction_rank,macro_vulnerability,fast_slow_confirmation,direction_tail_confirmation,crash_evidence,normalization_state,crash_pressure,confirmed_downside_lambda
2006-04,2006-03,2006-03-31,0.09668508287292818,0.16054190885004826,0.912523020257827,0.40114277790131814,0.3927231974705304,0.3927231974705304,0.0,0.20724907063197026,0.463088276246171,0.16054190885004826,0.5598860454448986,0.3945054101803726,False,0.0,1.0
2006-05,2006-04,2006-04-28,0.09205776173285199,0.36454778297265134,0.4666064981949458,0.3774261471287828,0.32515954750730797,0.3491675783603304,0.19525547445255476,0.36885245901639346,0.43865711941324237,0.36454778297265134,0.41772947860566967,0.4069781269971878,False,0.0,1.0
2006-06,2006-05,2006-05-30,0.3253968253968254,0.5148664382057028,0.46296296296296297,0.45471677178192943,0.43948574958685516,0.4763134817591575,0.3053571428571429,0.22686832740213522,0.3835024600246003,0.45471677178192943,0.3449156451825491,0.39437829232969296,False,0.0,1.0
2006-07,2006-06,2006-06-30,0.4584055459272097,0.058327829016737165,0.18457538994800693,0.5482515624190993,0.3123900818277633,0.5195622076942717,0.977112676056338,0.007867132867132868,0.5870118106002757,0.058327829016737165,0.0962212614075699,0.24718696700819429,False,0.0,1.0
2006-08,2006-07,2006-07-31,0.55,0.5799326379834855,0.5771186440677967,0.5476605999161274,0.5636779704918524,0.5636779704918524,0.0,0.34102564102564104,0.7171758939894367,0.5476605999161274,0.45907214254671885,0.574636212150761,True,0.0,1.0
2006-09,2006-08,2006-08-31,0.0768595041322314,0.16636019283746556,0.3322314049586777,0.4176285559403015,0.24826991446716906,0.3690919708304708,0.8083333333333333,0.08583333333333333,0.7060491681204165,0.16636019283746556,0.2090323691460055,0.3604805767012958,False,0.0,1.0
2006-10,2006-09,2006-09-29,0.0444264943457189,0.2738136271068709,0.4798061389337641,0.34808110110516244,0.28653184037287904,0.34253517807843886,0.44098360655737706,0.28257328990228014,0.6026111569589832,0.2738136271068709,0.38118971441802213,0.41920483282795873,False,0.0,1.0
2006-11,2006-10,2006-10-31,0.045813586097946286,0.41753265211660173,0.8578199052132701,0.3764216746395835,0.4243969545168504,0.4243969545168504,0.0,0.589968152866242,0.5910976659605545,0.3764216746395835,0.7238940290397561,0.5638044565466314,False,0.12760891309326272,1.1276089130932627
2006-12,2006-11,2006-11-30,0.013117283950617283,0.3762138077683697,0.14429012345679013,0.3276597200126127,0.21532023379709744,0.35049608703214,0.8591772151898734,0.0583203732503888,0.47464531715842495,0.3276597200126127,0.10130524835358946,0.301203428508209,False,0.0,1.0
2007-01,2006-12,2006-12-28,0.03106060606060606,0.7824167244968772,0.3871212121212121,0.36282205744145535,0.3908551500300376,0.3908551500300376,0.0,0.533587786259542,0.6577796186489944,0.36282205744145535,0.460354499190377,0.4936520584269422,False,0.0,1.0
2007-02,2007-01,2007-01-30,0.1387240356083086,0.67584430014238,0.5289317507418397,0.3884461335688109,0.43298655501533484,0.43298655501533484,0.0,0.7720478325859492,0.6295497786079978,0.3884461335688109,0.6504897916638945,0.5561619012802345,False,0.11232380256046892,1.112323802560469
2007-03,2007-02,2007-02-27,0.16690962099125364,0.7136355171395179,0.7674927113702623,0.4124851629637805,0.5151307531162036,0.5151307531162036,0.0,0.7349486049926579,0.7525049309467251,0.4124851629637805,0.7512206581814601,0.6387369173639886,False,0.27747383472797726,1.2774738347279773
2007-04,2007-03,2007-03-30,0.2962962962962963,0.40398053113261145,0.07407407407407407,0.4570246501405611,0.30784388791088574,0.44154815101722783,0.8531976744186046,0.3436154949784792,0.5844202898550726,0.40398053113261145,0.20884478452627664,0.39908186850465355,False,0.0,1.0
2007-05,2007-04,2007-04-30,0.25,0.6284508599894711,0.6829608938547486,0.42077840482655726,0.4955475396676942,0.4955475396676942,0.0,0.6533052039381153,0.484187090336912,0.42077840482655726,0.6681330488964319,0.5243661813533004,False,0.04873236270660075,1.0487323627066008
2007-06,2007-05,2007-05-31,0.23424657534246576,0.7895488899385923,0.9109589041095891,0.41392394080577255,0.5871695775491049,0.5871695775491049,0.0,0.9358620689655173,0.5403711811654051,0.41392394080577255,0.9234104865375532,0.6259018695029103,False,0.25180373900582054,1.2518037390058205
2007-07,2007-06,2007-06-29,0.35080645161290325,0.4965292934363496,0.48655913978494625,0.47917005260410067,0.45326623435957497,0.4727490475190912,0.18767123287671234,0.47158322056833557,0.5053424251537459,0.47917005260410067,0.4790711801766409,0.4878612193114959,False,0.0,1.0
2007-08,2007-07,2007-07-31,0.8218543046357616,0.5111192052980132,0.580794701986755,0.5572566644817507,0.6177562191005701,0.6341131253053367,0.16124661246612465,0.6766666666666666,0.5635901967596106,0.5111192052980132,0.6287306843267109,0.5678133621281115,False,0.13562672425622302,1.135626724256223
2007-09,2007-08,2007-08-31,0.8668831168831169,0.5668173329938035,0.575974025974026,0.6713443891980188,0.6702547162622413,0.676341430829936,0.05952380952380952,0.8490196078431372,0.533153460094663,0.5668173329938035,0.7124968169085817,0.604155869999016,False,0.2083117399980321,1.208311739998032
2007-10,2007-09,2007-09-28,0.7326923076923076,0.14616004962779158,0.33782051282051284,0.5900839468280789,0.45168920424217274,0.5193018641774033,0.5427461139896373,0.016129032258064516,0.5417626728110598,0.14616004962779158,0.17697477253928867,0.28829916499271335,True,0.0,1.0
2007-11,2007-10,2007-10-30,0.8905660377358491,0.7510528620332776,0.8358490566037736,0.6497843630291154,0.7818130798505039,0.7818130798505039,0.0,0.3930379746835443,0.3443009566617651,0.6497843630291154,0.614443515643659,0.5361762784448465,True,0.0,1.0
2007-12,2007-11,2007-11-30,0.8538840937114673,0.1506170582529916,0.5450061652281134,0.6604455436843576,0.5524882152192325,0.6626775724585523,0.7723880597014925,0.25,0.44455432567709263,0.1506170582529916,0.3975030826140567,0.330891488848047,True,0.0,1.0
2008-01,2007-12,2007-12-28,0.6587591240875912,0.3415070416662944,0.4701946472019465,0.5778542171200085,0.5120787575189601,0.5132411542673639,0.015931372549019607,0.6126070991432069,0.5239532125125346,0.3415070416662944,0.5414008731725767,0.4689537091171352,False,0.0,1.0
2008-02,2008-01,2008-01-31,0.830518697225573,0.48947768688442034,0.12002412545235223,0.5589900873645767,0.4997526492317306,0.6374043030072718,0.8841463414634146,0.19963592233009708,0.548243318679785,0.48947768688442034,0.15983002389122467,0.3991836764851433,True,0.0,1.0
2008-03,2008-02,2008-02-29,0.802491103202847,0.29492528672176027,0.6370106761565837,0.6162467147198528,0.587668445200261,0.587668445200261,0.0,0.42899761336515513,0.5565465650109351,0.29492528672176027,0.5330041447608694,0.4614919988311883,True,0.0,1.0
2008-04,2008-03,2008-03-31,0.7172131147540983,0.49961002474325766,0.014637002341920375,0.5776621225021172,0.45228056608534845,0.5274413701575932,0.5959715639810427,0.13957597173144876,0.43943954012469855,0.49961002474325766,0.07710648703668456,0.33871868396821353,True,0.0,1.0
