month,macro_signal_month,stress_signal_month,stress_signal_date,stress_score,crash_evidence,crash_pressure,normalization_state,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,variance_penalty,downside_semivariance,expected_shortfall,tail_multiplier,tail_penalty,estimated_transaction_cost,monthly_utility,policy,covariance_mode,tail_mode,internal_transaction_cost,market_crash_pressure,portfolio_vulnerability,portfolio_crash_pressure,solver_success,primary_solver_success,primary_solver_message,used_feasibility_retry,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,largest_weight,largest_asset,weights_above_half,macro_mu_KODEX200,macro_mu_BOND,macro_mu_GLD,macro_mu_USO,stress_mu_adjustment_KODEX200,stress_mu_adjustment_BOND,stress_mu_adjustment_GLD,stress_mu_adjustment_USO
2007-04,2007-03,2007-03,2007-03-30,0.44154815101722783,0.39908186850465355,0.0,False,0.008567430460162482,0.010123668471062218,1.0085674304601624,0.0,1.0,0.0015,5.623801089973594e-05,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,0.2164939786963442,0.671029999504184,0.11247602179947179,8.267695440863464e-17,0.0047920639349665894,0.00011538540641202599,0.05681245478112691,1.0,5.7692703206012994e-05,3.231757341632861e-05,0.011211640230541962,1.0,0.00012570087665910704,0.0,0.0046086703551014695,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.0,0.35997523224965006,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,19,-0.00460867035510147,0.03721054792588134,-0.02074843177278901,0.0,0.09278945207411866,0.139251568227211,0.671029999504184,BOND,1,0.005981859489816315,0.004319868846811146,0.008036764827242006,-0.019417707978684137,0.0,2.181489682848952e-05,-0.0028478603448940445,0.0
2007-05,2007-04,2007-04,2007-04-30,0.4955475396676942,0.5243661813533004,0.04873236270660075,False,0.06111913690371391,0.06325161658931022,1.070210201319084,0.0,0.6630466449393915,0.0019891399348181743,0.00014333975077814314,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,0.604037488670566,1.945960554422393e-18,0.39596251132943416,4.359882521059422e-18,0.009365955707806645,0.0009998798653643361,0.10639218930149372,1.0,0.0004999399326821681,0.00040878951748537503,0.04136551898369624,1.0056396732613795,0.001720756240452926,0.0,0.00714525953467155,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.04873236270660075,0.1157274744779725,0.005639673261379438,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,12,-0.00714525953467155,0.10953793125840945,-0.07426096762562523,0.0,0.020462068741590553,0.08573903237437477,0.604037488670566,KODEX200,1,0.010159779414038166,0.0038325053889095985,0.006029036487105609,-0.024329117534413212,-7.277578310079272e-06,2.609860763735818e-05,0.0021370497021497006,0.0
2007-06,2007-05,2007-05,2007-05-31,0.5871695775491049,0.6259018695029103,0.25180373900582054,False,0.004045427635940642,0.004611900167362602,1.074539659243766,0.0,0.16184929469198858,0.0004855478840759658,8.092464734599427e-05,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.7818550588941602,4.320601521782779e-18,0.21814494110583993,4.378796651912616e-18,0.014797880818120713,0.001320755266295922,0.169650038219673,1.0,0.000660377633147961,0.00045525829778448847,0.05123575878769636,1.0996165355759397,0.0028866066428043366,0.0,0.011250896542168414,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.25180373900582054,0.39561182041715903,0.09961653557593986,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,6,-0.011250896542168414,0.1258930625394071,-0.0798670731130387,0.0,0.004106937460592902,0.0801329268869613,0.7818550588941602,KODEX200,1,0.01633389739798579,0.003732169968408361,0.007043499592244383,-0.022812535123023548,0.0,2.302536151350693e-05,0.0022491317003778583,0.0
2007-07,2007-06,2007-06,2007-06-29,0.4727490475190912,0.4878612193114959,0.0,False,0.0905156838857419,0.09125589440264048,1.1718023513625675,0.0,0.21148871911388167,0.000634466157341645,0.00010574435955694086,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.9204737687523845,0.07952623124761556,0.0,0.0,0.014949907892804828,0.0014083333333333341,0.17094889471365793,1.0,0.0007041666666666671,0.00048198617502650127,0.05790593691213528,1.0,0.0033530975296721913,0.0,0.01089264369646597,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.0,0.45974199067106264,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,9,-0.01089264369646597,0.13000000000000003,-0.08068767090459439,0.0,-2.7755575615628914e-17,0.07931232909540561,0.9204737687523845,KODEX200,1,0.01593987588440189,0.0034935591567121804,0.0048157237762527175,-0.016636595063795924,0.0,-2.0034814582234865e-06,0.00040460807199546556,0.0
2007-08,2007-07,2007-07,2007-07-31,0.6341131253053367,0.5678133621281115,0.13562672425622302,False,-0.014542418775140958,-0.014315594027974197,1.1547615108473581,-0.014542418775140953,0.07560824905558702,0.0002268247471667611,6.092782369192246e-20,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.8509504092575562,0.14904959074244373,1.218556473838449e-16,0.0,0.01863499460597555,0.0014083333334243813,0.2151699352711603,1.0,0.0007041666667121907,0.0003808133316086508,0.053151459965451446,1.0699280568537475,0.003022629890233226,0.0,0.014908198049030132,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.13562672425622302,0.515592020947442,0.06992805685374749,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,6,-0.014908198049030132,0.13000000000420223,-0.07389408399689495,0.0,-4.202221903781833e-12,0.08610591600310505,0.8509504092575562,KODEX200,1,0.021237938761680175,0.003775575555098884,0.006240372031549492,-0.007970839241781132,0.0,-1.2483520876854465e-06,0.0005207116642009093,0.0
2007-09,2007-08,2007-08,2007-08-31,0.676341430829936,0.604155869999016,0.2083117399980321,False,0.04343895724369546,0.044187063239994384,1.2049231467437218,0.0,0.21374457037112093,0.0006412337111133628,0.00010687228518556045,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.786255429628879,0.0,0.213744570371121,1.6484595946013347e-17,0.016626553229985887,0.0014083333333333344,0.19106863875983066,1.0,0.0007041666666666672,0.0003803914710437885,0.05148001314673406,1.095834905419508,0.0029041726296365694,0.0,0.013018213933682653,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.2083117399980321,0.46005522982244507,0.09583490541950808,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,9,-0.013018213933682653,0.13000000000000006,-0.08004055731384319,0.0,-5.551115123125783e-17,0.07995944268615682,0.786255429628879,KODEX200,1,0.01885089981116167,0.003418055633750853,0.007402303621850981,-0.009527169581596839,0.0,-0.000126868188748397,0.0010420320491611212,0.0
2007-10,2007-09,2007-09,2007-09-28,0.5193018641774033,0.28829916499271335,0.0,True,0.06218057988629065,0.0622605997825458,1.2798459667266606,0.0,0.022862827501470284,6.858848250441086e-05,1.1431413750735123e-05,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.8034866564343001,4.054119669481164e-17,0.19651334356569997,0.0,0.01769501646800794,0.001408333333333334,0.20389019761609528,1.0,0.000704166666666667,0.0003681494922643788,0.052436478524885935,1.0,0.002749584280090824,0.0,0.014241265521250449,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.0,0.4201120807397044,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,5,-0.014241265521250449,0.13000000000000003,-0.08071970104343545,0.0,-2.7755575615628914e-17,0.07928029895656455,0.8034866564343001,KODEX200,1,0.01964864206481681,0.003370312922101818,0.01097708850210908,-0.004330054794991905,0.0,-2.194595231028309e-05,-0.0012698863484997044,0.0
2007-11,2007-10,2007-10,2007-10-30,0.7818130798505039,0.5361762784448465,0.0,True,-0.04274845841607819,-0.042047645174916895,1.2251345246390606,-0.04274845841607822,0.200232354617513,0.000600697063852539,0.00010011617730875648,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.6040392129411886,7.921189432962722e-18,0.3959607870588114,4.530790571506044e-18,0.020353011085067537,0.0012176826740714613,0.23693003697638165,1.0,0.0006088413370357306,0.0002799914509907963,0.04136561417980933,1.0,0.0017111140364728427,0.0,0.018033055711558964,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.0,0.41911856631297073,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,23,-0.018033055711558964,0.12088090043037211,-0.07426101185752448,0.0,0.009119099569627892,0.08573898814247552,0.6040392129411886,KODEX200,1,0.02224973240988005,0.0034170722214673277,0.013634121970384964,0.005240729763161041,0.0,-0.00012687961831703794,0.0038254357888653674,0.0
2007-12,2007-11,2007-11,2007-11-30,0.6626775724585523,0.330891488848047,0.0,True,0.0469416571110688,0.04750110866875718,1.2826443694095997,0.0,0.15984330219668286,0.0004795299065900486,7.992165109834146e-05,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.42010867626983256,5.160881165482187e-19,0.5798913237301675,6.23483431485511e-18,0.014309710909365472,0.0011448172003734483,0.16484762771014497,1.0,0.0005724086001867242,0.00028830179554528143,0.04543654873374875,1.0,0.002064479960834325,0.0,0.011672822348344422,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.0,0.4851189631579864,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,13,-0.011672822348344422,0.1172083887973953,-0.07008532318352856,0.0,0.012791611202604705,0.08991467681647144,0.5798913237301675,GLD,1,0.016795507113575185,0.0030570845221652744,0.013610521919044563,0.002613805947482122,-0.0005781325728853524,-0.00037877100665056337,-0.000682839003766991,0.0
2008-01,2007-12,2007-12,2007-12-28,0.5132411542673639,0.4689537091171352,0.0,False,0.035650229213207374,0.03595500284471016,1.328370935178082,0.0,0.08707818042936677,0.00026123454128810033,4.3539090214683344e-05,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.3115265391197529,2.8221597076739894e-17,0.688473460880247,2.832107126393515e-17,0.017250413264198378,0.0011408649447012006,0.20015976950217335,1.0,0.0005704324723506003,0.0002656485372409436,0.03650254080036805,1.0,0.0013324354848825342,0.0,0.015347545306965246,Stage17C_NoInternalCost_Diagnostic,confirmed,expected_shortfall_squared,False,0.0,0.37275457052628297,0.0,True,True,Optimization terminated successfully,False,False,0,Optimization terminated successfully,22,-0.015347545306965246,0.11700589445158055,-0.06920719470092089,0.0,0.012994105548419455,0.09079280529907911,0.688473460880247,GLD,1,0.01582020318536925,0.003046356919003379,0.017639887350137957,0.009048293983437828,6.303466285221209e-05,-2.1061383654365574e-05,0.00022915749524635658,-3.077643264176635e-08
