Strategy,Peak,Trough,Recovery,MDD
Stage20_DailyTechnicalConfidence,2012-09,2013-06,2017-05,-0.1401480683882161
Stage21_OneSidedConfidence,2012-09,2013-06,2017-08,-0.1804680295133174
Stage22_KRatioPrimary,2012-09,2013-06,2017-04,-0.1319521976397172
Stage23_RelativeATR,2012-09,2014-10,2017-07,-0.1612382399685847
Stage24_EquityKRatioOnly,2012-09,2013-06,2017-05,-0.1362891749418477
Stage25_ConflictOnlyVeto,2012-09,2015-08,2017-08,-0.1779151798415874
Stage26_EquityConflictVeto,2012-09,2013-06,2017-05,-0.1636313071155571
Stage27_KRatioEquityVeto,2012-09,2013-06,2017-07,-0.1594798285248968
