Strategy,Metric,PointDelta,BootstrapMedianDelta,BootstrapP05,BootstrapP95,ProbabilityDeltaPositive,BlockMonths,Replications,Interpretation
Stage21_OneSidedConfidence,CAGR,0.0020113070967082702,0.0012303593412410496,-0.005627065150014843,0.008572881902063146,0.615,12,2000,descriptive; candidates include adaptive follow-ups
Stage21_OneSidedConfidence,Sharpe,-0.025182405441076527,-0.04089351491896054,-0.10917522757606274,0.03320147483973363,0.183,12,2000,descriptive; candidates include adaptive follow-ups
Stage21_OneSidedConfidence,MDD,-0.0403199611251015,-0.029878234659785396,-0.06107002922563791,0.00038219110825354896,0.107,12,2000,descriptive; candidates include adaptive follow-ups
Stage22_KRatioPrimary,CAGR,-0.00046694527133128716,-0.00032367914043074375,-0.002311636217019508,0.00161882103116594,0.395,12,2000,descriptive; candidates include adaptive follow-ups
Stage22_KRatioPrimary,Sharpe,0.012511817851220908,0.017994645859807035,-0.002365929846418557,0.04246728326989577,0.923,12,2000,descriptive; candidates include adaptive follow-ups
Stage22_KRatioPrimary,MDD,0.008195870748498923,0.007656193979093673,-0.0023989783688395105,0.018358652145008456,0.7535,12,2000,descriptive; candidates include adaptive follow-ups
Stage23_RelativeATR,CAGR,0.0024378854813231765,0.0028696391992133474,-0.0015099739141730794,0.007768575436676484,0.8575,12,2000,descriptive; candidates include adaptive follow-ups
Stage23_RelativeATR,Sharpe,-0.12040448014786687,-0.10214928322837147,-0.14723272564700832,-0.05750354139506161,0.0,12,2000,descriptive; candidates include adaptive follow-ups
Stage23_RelativeATR,MDD,-0.021090171580369188,-0.0289659950607859,-0.0491816157584153,-0.012998013002731037,0.0,12,2000,descriptive; candidates include adaptive follow-ups
Stage24_EquityKRatioOnly,CAGR,0.0012078399449340083,0.00022266660903835778,-0.0028807396953955955,0.003927371500728738,0.543,12,2000,descriptive; candidates include adaptive follow-ups
Stage24_EquityKRatioOnly,Sharpe,0.010270878053453059,0.007063099398989026,-0.021042093912536548,0.035832094987089315,0.6495,12,2000,descriptive; candidates include adaptive follow-ups
Stage24_EquityKRatioOnly,MDD,0.00385889344636825,0.003858893446367917,-0.002277850308382784,0.013953696314338442,0.6975,12,2000,descriptive; candidates include adaptive follow-ups
Stage25_ConflictOnlyVeto,CAGR,0.007279336961224958,0.002844008592961522,-0.004724542891300731,0.013024587440805844,0.725,12,2000,descriptive; candidates include adaptive follow-ups
Stage25_ConflictOnlyVeto,Sharpe,-0.011457362104333568,-0.04797424964736419,-0.1195076011901367,0.018091224442425446,0.114,12,2000,descriptive; candidates include adaptive follow-ups
Stage25_ConflictOnlyVeto,MDD,-0.03776711145337086,-0.0248258757139711,-0.05469884105537746,0.014054249246701733,0.1735,12,2000,descriptive; candidates include adaptive follow-ups
Stage26_EquityConflictVeto,CAGR,0.008296020292490214,0.003966208310976604,-0.004964502156480077,0.015161745037390949,0.7445,12,2000,descriptive; candidates include adaptive follow-ups
Stage26_EquityConflictVeto,Sharpe,-0.01133142707579926,-0.044947300146083335,-0.12675145116141953,0.028883920828941256,0.1655,12,2000,descriptive; candidates include adaptive follow-ups
Stage26_EquityConflictVeto,MDD,-0.02348323872734126,-0.019659430764989994,-0.04629134475151331,0.008760364691097977,0.162,12,2000,descriptive; candidates include adaptive follow-ups
Stage27_KRatioEquityVeto,CAGR,0.006062437947147004,0.0014923601534863051,-0.00604091545040214,0.01211247670978086,0.614,12,2000,descriptive; candidates include adaptive follow-ups
Stage27_KRatioEquityVeto,Sharpe,-0.012785901878753059,-0.043581028410567435,-0.11840281210147527,0.02131308249826057,0.142,12,2000,descriptive; candidates include adaptive follow-ups
Stage27_KRatioEquityVeto,MDD,-0.01933176013668092,-0.016037644873366952,-0.0353814399248723,0.009995966759688835,0.2075,12,2000,descriptive; candidates include adaptive follow-ups
