Strategy,AverageTurnover,TotalCost,VolGuardBindingMonths,CDaRGuardBindingMonths,AverageWeight_KODEX200,AnnualArithmeticContribution_KODEX200,AverageWeight_BOND,AnnualArithmeticContribution_BOND,AverageWeight_GLD,AnnualArithmeticContribution_GLD,AverageWeight_USO,AnnualArithmeticContribution_USO
Stage20_DailyTechnicalConfidence,0.02680961763458733,0.01860330234370106,57,28,0.2538684928901786,0.029771528329754493,0.3649673520725586,0.013151226365626524,0.3783491934571566,0.05339914396197705,0.002814961580106083,-0.0006742369871066361
Stage21_OneSidedConfidence,0.03075298119712111,0.02153875367726587,72,32,0.3076477012589883,0.03360848353374024,0.28179602995246467,0.01056550326616129,0.40907572724225755,0.05542839709668135,0.0014805415462894455,-0.0014665065945962201
Stage22_KRatioPrimary,0.026686446029233372,0.018549362012111,57,24,0.2397456011065463,0.02869032478077789,0.3912365700535413,0.013776412639275364,0.36621925980988157,0.05323088984941106,0.002798569030030838,-0.0006518936179561725
Stage23_RelativeATR,0.0277467252118555,0.019319417963202152,51,40,0.28643398382378343,0.03245160687071243,0.28668903348238567,0.010180884335544094,0.4230474195125421,0.05793712393923057,0.003829563181288628,-0.0007350346004126056
Stage24_EquityKRatioOnly,0.027855865555509108,0.019354685109850143,58,25,0.26416522040056967,0.032690502475700274,0.374793262370558,0.013024293424777598,0.3582325775233452,0.051747960671387,0.0028089397055271006,-0.000656767426278475
Stage25_ConflictOnlyVeto,0.03285260812600181,0.023273255900912736,82,48,0.318267749788193,0.04075239681899089,0.27804697077242346,0.010025095892305779,0.40120330745852445,0.05296200623610062,0.002481971980859083,-0.0003095295344302899
Stage26_EquityConflictVeto,0.0323069953482657,0.022529058595926334,70,28,0.34176945237369855,0.043753772238562014,0.2823146455938489,0.010548199660532314,0.37285406413198896,0.050699703000354174,0.0030618379004635522,-0.000570677190904395
Stage27_KRatioEquityVeto,0.03241733369665791,0.02262347060998459,68,28,0.3233048156024232,0.04234681488850012,0.3159284726807049,0.011229330876745764,0.3576624438479439,0.049155413529098,0.0031042678689280736,-0.0005651063536181633
