Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage41_CAGR_HardMDD14_Sharpe1,full_2007_2026,delta_CAGR,-0.006474297065789775,-0.030023611468080125,-0.0066743696955187115,0.018976065291035845,0.324,2000,12
Stage41_CAGR_HardMDD14_Sharpe1,full_2007_2026,delta_Sharpe,-0.38666117280263324,-0.5864504784902358,-0.39288167517324746,-0.1778697095175162,0.003,2000,12
Stage41_CAGR_HardMDD14_Sharpe1,full_2007_2026,delta_MDD,-0.12351153327137383,-0.2137018307721523,-0.12612111244212976,-0.028665013479100884,0.0175,2000,12
Stage41_CAGR_CDaR16_Sharpe1,full_2007_2026,delta_CAGR,-0.008320221069907038,-0.03231298274759833,-0.00859525700109931,0.018149857169607965,0.29,2000,12
Stage41_CAGR_CDaR16_Sharpe1,full_2007_2026,delta_Sharpe,-0.4411441793534301,-0.634866029291068,-0.4438249750193227,-0.24141088274141395,0.0005,2000,12
Stage41_CAGR_CDaR16_Sharpe1,full_2007_2026,delta_MDD,-0.13635588795968953,-0.23638909559665172,-0.13316797438110473,-0.04527898577777197,0.0095,2000,12
Stage41_CAGR_HardMDD14_Sharpe1,common_2010_2026,delta_CAGR,-0.015449827518687398,-0.03527515648351194,-0.01554655919186343,0.004270220312799626,0.105,2000,12
Stage41_CAGR_HardMDD14_Sharpe1,common_2010_2026,delta_Sharpe,-0.3277631622393993,-0.5381830398131627,-0.32987577429685894,-0.1066343724040644,0.0115,2000,12
Stage41_CAGR_HardMDD14_Sharpe1,common_2010_2026,delta_MDD,-0.08587301297622747,-0.1878773665536575,-0.08173251290196065,0.007172774041374296,0.061,2000,12
Stage41_CAGR_CDaR16_Sharpe1,common_2010_2026,delta_CAGR,-0.01477199729925807,-0.03601159691301885,-0.014882790349685981,0.007511339894548842,0.1445,2000,12
Stage41_CAGR_CDaR16_Sharpe1,common_2010_2026,delta_Sharpe,-0.3928761784922591,-0.60788072114144,-0.39644046425182056,-0.1741289777229092,0.0035,2000,12
Stage41_CAGR_CDaR16_Sharpe1,common_2010_2026,delta_MDD,-0.1032495361563236,-0.20872823327237167,-0.1020949058540232,-0.007148289706754385,0.0405,2000,12
