month,signal_cutoff_month,history_end_month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,historical_cagr,historical_mdd,historical_sharpe,historical_cdar,policy,guardrail_mode,objective,objective_value,solver_success,solver_message,solver_iterations,solver_start_count,feasible_solution_count,infeasible_portfolio,estimated_transaction_cost,sum_error,sharpe_slack,mdd_slack,cdar_slack
2007-04,2007-03,2007-03,-0.007614413323057072,-0.005873502832821592,0.9923855866769429,-0.007614413323057123,1.0,0.0015,0.00024091049023548046,0.06306732855810929,0.45511169097092996,0.4818209804709609,0.0,0.07446266270733153,-0.03490634127883541,0.999999999999828,-0.03311155444291208,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.07446266270733165,True,Optimization terminated successfully,11,6,6,False,0.001740911990251096,0.0,-1.7197354651443675e-13,0.1050936587211646,0.12688844555708792
2007-05,2007-04,2007-04,0.0694931212180054,0.07186213791543901,1.061349558546885,0.0,0.71190128366942,0.00213570385100826,0.00023331284642534909,0.779291674855356,0.21165794661858509,0.009050378526059007,0.0,0.10649880380530087,-0.07047662823497003,0.9999999991663578,-0.0674060495349707,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.1064988038053009,True,Optimization terminated successfully,8,7,7,False,0.0023690181974398636,0.0,-8.336421553067908e-10,0.06952337176502998,0.0925939504650293
2007-06,2007-05,2007-05,0.01254062759650429,0.013164533736984332,1.0746595481103358,0.0,0.20653277594048294,0.0006195983278214489,4.307812658591055e-06,0.9999999999999941,0.0,5.88418203051333e-15,0.0,0.1987611087895759,-0.09118557540867855,1.2745943316809378,-0.08844294791723223,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.1987611087895777,True,Optimization terminated successfully,2,7,7,False,0.0006239076406035289,0.0,0.27459433168093783,0.04881442459132146,0.07155705208276777
2007-07,2007-06,2007-06,0.09846975733429918,0.09846975733429919,1.1804810130297483,0.0,5.659310302261928e-15,1.6977930906785784e-17,2.8282415894677785e-18,1.0,0.0,0.0,0.0,0.19681709732258856,-0.09118557540867878,1.306360898258971,-0.08844294791723245,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.19681709732258856,True,Optimization terminated successfully,5,6,6,False,6.5e-09,0.0,0.30636089825897095,0.04881442459132124,0.07155705208276755
2007-08,2007-07,2007-07,-0.01644479248238021,-0.01644479248238016,1.161068247741084,-0.016444792482380177,1.3648804308985518e-14,4.0946412926956553e-17,6.8209327075408054e-18,0.9999999999999863,0.0,1.3641865415081611e-14,0.0,0.2698198935575193,-0.09118557540867822,1.5975688274809552,-0.08844294791723178,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.2698198935575244,True,Optimization terminated successfully,2,6,6,False,6.500000000000001e-09,0.0,0.5975688274809552,0.04881442459132179,0.07155705208276822
2007-09,2007-08,2007-08,0.036708012068387835,0.03670801206838788,1.2036887549913857,0.0,1.220417429234723e-14,3.661252287704169e-17,6.097947656908869e-18,0.999999999999998,0.0,2.026157019940891e-15,0.0,0.23753191467686643,-0.09118557540867878,1.446894610616794,-0.08844294791723245,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.23753191467686702,True,Optimization terminated successfully,5,6,6,False,6.500000000000001e-09,0.0,0.4468946106167939,0.04881442459132124,0.07155705208276755
2007-10,2007-09,2007-09,0.06329830234438162,0.06329830234438162,1.2798802097333628,0.0,2.0336917461090175e-15,6.1010752383270526e-18,1.0045409793934622e-18,1.0,0.0,0.0,8.546119578417193e-17,0.25271426168242456,-0.09118557540867878,1.5625850947234707,-0.08844294791723245,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.25271426168242456,True,Optimization terminated successfully,5,6,6,False,6.5e-09,0.0,0.5625850947234707,0.04881442459132124,0.07155705208276755
2007-11,2007-10,2007-10,-0.08024785220101872,-0.08024785220101872,1.177172571827671,-0.08024785220101871,2.180535524804274e-15,6.5416065744128215e-18,1.0321723527047732e-18,0.9999999999999979,0.0,2.1579960041151484e-15,0.0,0.28687607947413174,-0.09118557540867878,1.7462451923704168,-0.08844294791723245,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.2868760794741329,True,Optimization terminated successfully,5,6,6,False,6.5e-09,0.0,0.7462451923704168,0.04881442459132124,0.07155705208276755
2007-12,2007-11,2007-11,-0.006116966315353969,-0.006116966315353969,1.1699718468584426,-0.08587394510757962,0.0,0.0,0.0,0.9999999999999977,0.0,2.384352709025395e-15,0.0,0.20854375418339335,-0.09118557540867878,1.2159967943123389,-0.08844294791723245,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.20854375418339335,True,Optimization terminated successfully,1,6,6,False,6.5e-09,0.0,0.21599679431233887,0.04881442459132124,0.07155705208276755
2008-01,2007-12,2007-12,0.10433514557428808,0.10781813506202778,1.2920410298182368,0.0,0.995139853639915,0.002985419560919745,0.0004975699268199575,0.004860146360082516,0.0,0.9951398536399175,0.0,0.21336969471307346,-0.0925900308780565,1.4422695039793851,-0.07642598285847046,Stage41_hard_mdd,hard_mdd,maximize_causal_historical_cagr,-0.21336969471307352,True,Optimization terminated successfully,5,6,6,False,0.003482992487741461,0.0,0.44226950397938514,0.04740996912194351,0.08357401714152954
