month,policy,model_active,return,gross_return,nav,drawdown,predecision_drawdown,drawdown_multiplier,maximum_objective_tilt,applied_objective_tilt,objective_overlay_deployed,objective_lw_risk_veto,deployed_risk_model,desired_lw_annual_volatility,desired_lw_historical_cdar,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,desired_w_KODEX200,desired_w_BOND,desired_w_GLD,desired_w_USO,shadow_w_KODEX200,shadow_w_BOND,shadow_w_GLD,shadow_w_USO,regime_confidence,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,downside_semivariance,estimated_transaction_cost,monthly_utility,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,turnover_budget_l1,baseline_turnover_budget_l1,minimum_risk_trade_l1,risk_required_extra_trade_l1,actual_trade_l1,turnover_slack,projection_distance
2007-04,Stage47_C_GuardedExAnteSharpe_LW,True,-0.0037819285228219875,-0.002270622270224945,0.996218071477178,-0.003781928522821998,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.014334997064533606,-5.1515345001584834e-05,1.0,0.0015,1.1306252597042109e-05,4.649547940223391e-18,0.9773874948059158,0.02261250519408422,0.0,4.649547940223391e-18,0.9773874948059158,0.02261250519408422,0.0,9.299095880446782e-17,0.5477947629691315,0.45220523703086846,0.0,0.15454822265618828,2007-03-31,2006-04-13,2007-03-30,252,0.04739306077384952,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,1.7124345070015592e-05,8.846102568746372e-10,0.001511309252642033,,0.014334997064533606,-5.1515345001584834e-05,0.0,0.1156650029354664,0.15994848465499842,,1.0,0.0,0.0,1.0,,0.0
2007-05,Stage47_C_GuardedExAnteSharpe_LW,True,0.0026344584225667968,0.002641767737560593,0.9988425665662943,-0.001157433433705668,-0.003781928522821998,0.8992231945827445,0.05,0.04496115972913722,True,False,ledoit_wolf,0.0134999944044245,-0.0011661079945325947,0.002088375712513216,6.265127137539648e-06,1.0441878562566091e-06,2.8494158905687186e-18,0.9798448735176458,0.02015512648235411,1.0815557658972078e-17,2.8494158905687186e-18,0.9798448735176458,0.02015512648235411,1.0815557658972078e-17,6.227319575227591e-17,0.5519596523887137,0.448040347611286,2.405533514733389e-16,0.07810498821973193,2007-04-30,2006-05-12,2007-04-30,252,0.04991702019011051,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,1.5187487409957734e-05,3.832319737380859e-07,7.312315831768013e-06,,0.0134999944044245,-0.0011661079945325947,1.1102230246251565e-16,0.11650000559557551,0.1588338920054674,,1.7790368322046078e-05,0.0,0.0,0.004176751425026432,,0.0
2007-06,Stage47_C_GuardedExAnteSharpe_LW,True,-0.011511374796564933,-0.010183903791287287,0.9873445154197869,-0.01265548458021315,-0.001157433433705668,0.969157945945275,0.05,0.048457897297263755,True,False,ledoit_wolf,0.10865828720573321,-0.020559658061665875,0.37927743007973896,0.0011378322902392169,0.00018963871503842973,2.879474462944011e-12,0.6002110083041223,0.39978899169066656,2.3315823758157994e-12,2.879474462944011e-12,0.6002110083041223,0.39978899169066656,2.3315823758157994e-12,5.942219170757548e-11,0.5475295023351483,0.45247049755731383,4.811562127611855e-11,0.06576358464494685,2007-05-31,2006-06-14,2007-05-31,252,0.04575129890675247,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0009838852815403005,5.193272133205156e-05,0.0013274740052744444,,0.10865828720573321,-0.020559658061665875,1.1102230246251565e-16,0.02134171279426679,0.13944034193833413,,0.7941894644130159,0.0,0.0,0.7585548601594779,,0.0
2007-07,Stage47_C_GuardedExAnteSharpe_LW,True,0.015668925248655003,0.015671867947271455,1.002815142826569,0.0,-0.01265548458021315,0.6627701186564052,0.05,0.033138505932820264,True,False,ledoit_wolf,0.10472488299746312,-0.01988417384719743,0.0008407710336926574,2.5223131010779723e-06,4.203855153726585e-07,2.182367371958213e-17,0.607456764825688,0.39254323517431194,5.915441214612188e-19,2.182367371958213e-17,0.607456764825688,0.39254323517431194,5.915441214612188e-19,6.585341168694652e-16,0.5541514905681799,0.44584850943181953,0.0,0.08557448578072228,2007-06-30,2006-07-13,2007-06-29,252,0.04610365131849997,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.000913941759902695,5.281382897634789e-05,2.945700689692152e-06,,0.10472488299746312,-0.01988417384719743,0.0,0.025275117002536887,0.14011582615280258,,1.3085955297143044e-07,0.0,0.0,0.0016815420673853148,,0.0
2007-08,Stage47_C_GuardedExAnteSharpe_LW,True,0.008805838624305567,0.008809096134293546,1.0116457711443096,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.10342430587214878,-0.020412131963755298,0.0009307171394224274,2.7921514182672824e-06,4.653585697112217e-07,2.3282277288698378e-21,0.6017936539762809,0.3982063460237191,6.425007045190794e-19,2.3282277288698378e-21,0.6017936539762809,0.3982063460237191,6.425007045190794e-19,0.0,0.549253432997307,0.450746567002693,0.0,0.09148695043609563,2007-07-31,2006-08-14,2007-07-31,252,0.05051096637403731,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0008913822537613157,5.139159465196683e-05,3.260511868248446e-06,,0.10342430587214878,-0.020412131963755298,0.0,0.026575694127851227,0.1395878680362447,,2.6217894633085093e-07,0.0,0.0,0.001861434278844855,,0.0
2007-09,Stage47_C_GuardedExAnteSharpe_LW,True,0.030532090351844288,0.03053210227175365,1.0425334312329488,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.09840614039274091,-0.021021687248423515,3.405688388911921e-06,1.0217065166735763e-08,1.7028441944434703e-09,2.637067808449814e-17,0.5952537935075917,0.40474620649240833,2.6980897184125313e-17,2.637067808449814e-17,0.5952537935075917,0.40474620649240833,2.6980897184125313e-17,8.385466870381688e-22,0.5425031846112195,0.45749681538878056,2.5333143472581683e-22,0.11453703947995875,2007-08-31,2006-09-14,2007-08-31,252,0.05982169017954228,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0008069807055829862,5.045310624174201e-05,1.5423133227042302e-08,,0.09840614039274091,-0.021021687248423515,0.0,0.03159385960725909,0.1389783127515765,,1.2181063872018789e-06,0.0,0.0,6.811376777823842e-06,,0.0
2007-10,Stage47_C_GuardedExAnteSharpe_LW,True,0.02724635306193725,0.02724638717156699,1.0709386651791948,0.0,0.0,1.0,0.05,0.05,True,False,ledoit_wolf,0.0936361477070539,-0.022527123530932114,9.745608496730683e-06,2.923682549019205e-08,4.872804248351465e-09,2.6518115711083064e-17,0.5790952029625809,0.4209047970374191,2.834322943697602e-17,2.6518115711083064e-17,0.5790952029625809,0.4209047970374191,2.834322943697602e-17,0.0,0.5259061107290097,0.47409388927099033,0.0,0.17346990108196522,2007-09-30,2006-10-12,2007-09-28,252,0.06843414848905073,1.0,1.0,True,False,0,guarded BL convex tilt passed LW risk veto,0,0.0,,0.0007306440131181012,5.26997724072929e-05,3.7288727606905016e-08,,0.0936361477070539,-0.022527123530932114,0.0,0.0363638522929461,0.1374728764690679,,3.6450358154031044e-07,0.0,0.0,1.9491216993461367e-05,,0.0
2007-11,Stage47_C_GuardedExAnteSharpe_LW,True,0.010919904791426124,0.012175248014544341,1.0826332134404086,0.0,0.0,1.0,0.05,0.05,False,True,stage36_frozen_fallback,0.1686822624870524,-0.05841133909517049,0.35866949231949063,0.001076008476958472,0.0001793347461597453,4.7340671402658346e-17,0.2078174340384077,0.7921825659615922,3.4043101183097585e-17,1.3615168598993155e-09,0.2411532974350392,0.7588467012034278,1.6078910138081067e-14,2.7230336298513552e-08,0.8745347019710379,0.12546527079830483,3.209313838391425e-13,0.09533685996764896,2007-10-31,2006-11-14,2007-10-31,252,0.055769476886525095,1.0,1.0,True,True,0,Stage36 fallback because guarded BL failed LW risk veto,0,,,0.0014083333333696,,0.0012553462231230965,,0.130000000001678,-0.0621591518005351,0.0,-1.6780743461453085e-12,0.0978408481994649,,0.7229808161818211,0.0,0.0,0.7173389846389813,,0.0
2007-12,Stage47_C_GuardedExAnteSharpe_LW,True,0.06526698835007223,0.06542435564305762,1.1532934227694251,0.0,0.0,1.0,0.05,0.05,False,True,stage36_frozen_fallback,0.16670105668658314,-0.053698815434311764,0.04496208371011156,0.00013488625113033468,2.2481041855055802e-05,1.8571958160625e-18,0.2496085011767209,0.750391498823279,0.0,1.542785848980847e-09,0.2829958676455488,0.7170041308116653,6.019805747002602e-17,3.0855716944330216e-08,0.9173558305532787,0.08264413859100313,1.2039611494005205e-15,0.01623156952645736,2007-11-30,2006-12-14,2007-11-30,252,0.05518464458246113,1.0,1.0,True,True,0,Stage36 fallback because guarded BL failed LW risk veto,0,,,0.0014083333333528,,0.00015737029302431208,,0.1300000000009007,-0.0574598186056977,0.0,-9.007239398783896e-13,0.1025401813943023,,0.08992416742022312,0.0,0.0,0.08992416742022312,,0.0
2008-01,Stage47_C_GuardedExAnteSharpe_LW,True,0.08629670779574589,0.08640995874336438,1.2528188482769138,0.0,0.0,1.0,0.05,0.05,False,True,stage36_frozen_fallback,0.1608300414282102,-0.04754568809041093,0.03235741360528342,9.707224081585027e-05,1.6178706802641714e-05,4.675525514123435e-19,0.2672310250415718,0.7327689749584281,6.0182749693602115e-18,0.00021253934234618648,0.30082785624369773,0.6989596044139559,5.717361220892201e-18,0.004250786846923721,0.9391676490840908,0.056581564068985575,0.0,0.000809579527851767,2007-12-31,2007-01-12,2007-12-31,252,0.054692486130835834,1.0,1.0,True,True,0,Stage36 fallback because guarded BL failed LW risk veto,0,,,0.0014083333333334,,0.00011325394767257542,,0.1300000000000049,-0.0508051753972846,1.1102230246251565e-16,-4.9404924595819466e-15,0.1091948246027154,,0.06471482721056684,0.0,0.0,0.06471482721056684,,0.0
