month,policy,model_active,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,cash_return,regime_confidence,w_KODEX200,w_BOND,w_GLD,w_USO,stage36_mu_KODEX200,stage36_mu_BOND,stage36_mu_GLD,stage36_mu_USO,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,expected_total_return,expected_excess_return_after_cost,expected_monthly_variance,historical_downside_semivariance,estimated_transaction_cost,ex_ante_sharpe_objective,downside_penalty_objective,direct_sortino_objective,objective_mode,selected_objective_value,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,turnover_budget_l1,baseline_turnover_budget_l1,minimum_risk_trade_l1,risk_required_extra_trade_l1,actual_trade_l1,turnover_slack
2007-04,shadow_ex_ante_sharpe,True,-0.01115295213869615,-0.009426849520180717,0.9888470478613038,-0.01115295213869616,1.0,0.0015,0.00022610261851543423,0.003966666666666666,0.15454822265618828,9.299095880446782e-17,0.5477947629691315,0.45220523703086846,0.0,-0.008031259098975082,0.0037207207271159246,0.003531139902412381,-0.013855789355276923,2007-03-31,2006-04-13,2007-03-30,252,0.04739306077384952,1.0,1.0,0.0036349912853443503,-0.0020577809998413308,0.001408333343825989,0.00011723475513867756,0.0017261056185190148,-0.05483355737381184,-0.0021750157549800084,-0.1900513516134527,ex_ante_sharpe,-0.05483355737381184,True,False,0,Optimization terminated successfully,4,0.05483355737381184,0.13000000048427643,-0.02544066118206295,0.0,-4.842764245172049e-10,0.13455933881793705,1.0000001000000007,1.0,1.0,0.0,1.0,1.0000000072452053e-07
2007-05,shadow_ex_ante_sharpe,True,0.010384790953382498,0.010384793995855037,0.9991160177382129,-0.0008839822617870974,8.692778682708467e-07,2.60783360481254e-09,4.346389341306884e-10,0.004208333333333333,0.07810498821973193,6.227319575227591e-17,0.5519596523887137,0.448040347611286,2.405533514733389e-16,-0.00813414693684723,0.003217691195696214,0.006771960121501379,-0.014769220740228699,2007-04-30,2006-05-12,2007-04-30,252,0.04991702019011051,1.0,1.0,0.004810147080717947,0.0006018061098595037,0.0012539332604702225,0.00011972559517759847,7.637525110194685e-09,0.01699493005564263,0.00048208051468190524,0.055000050756344065,ex_ante_sharpe,0.01699493005564263,True,False,0,Optimization terminated successfully,7,-0.016994930055642544,0.12266702542102613,-0.02505317948771335,0.0,0.007332974578973875,0.13494682051228665,1.7790368322046078e-05,1.7790368322046078e-05,0.0,0.0,1.7385557365416934e-06,1.6051812585504383e-05
2007-06,shadow_ex_ante_sharpe,True,-0.011575768866507264,-0.011575765391812405,0.9875504816460502,-0.012449518353949807,9.927784483254144e-07,2.978335344976243e-09,4.963595130938013e-10,0.004308333333333333,0.06576358464494685,5.942219170757548e-11,0.5475295023351483,0.45247049755731383,4.811562127611855e-11,-0.004382487329820354,0.0032386104359043767,0.007915445594233675,-0.011430320479609825,2007-05-31,2006-06-14,2007-05-31,252,0.04575129890675247,1.0,1.0,0.005354740365828506,0.0010463991007223206,0.001254771152317046,0.00011343638845029357,7.931772851744434e-09,0.02954031315828369,0.000932962712272027,0.09824742173166774,ex_ante_sharpe,0.02954031315828369,True,False,0,Optimization terminated successfully,15,-0.02954031315828369,0.12270800229734224,-0.025465337717292313,0.0,0.00729199770265776,0.1345346622827077,0.7941894644130159,0.7941894644130159,0.0,0.0,1.985556896650829e-06,0.7941874788561192
2007-07,shadow_ex_ante_sharpe,True,0.016746355824779714,0.01674635603202049,1.0040883534066276,0.0,5.9219049355568935e-08,1.776571480667068e-10,2.9583627376273516e-11,0.004383333333333334,0.08557448578072228,6.585341168694652e-16,0.5541514905681799,0.44584850943181953,0.0,-0.0064338699619919445,0.0030682473050415897,0.004269739281414942,-0.0036243439408816776,2007-06-30,2006-07-13,2007-06-29,252,0.04610365131849997,1.0,1.0,0.0036039307118019338,-0.0007794091276515867,0.0011733668723970861,0.00011917743254800956,6.506120186779462e-09,-0.02275351916464155,-0.0008985865601995963,-0.07139511129468303,ex_ante_sharpe,-0.02275351916464155,True,False,0,Optimization terminated successfully,3,0.02275351916464155,0.11866087168382437,-0.02484923670571737,0.0,0.011339128316175631,0.13515076329428263,1.3999999999999998e-07,1.3085955297143044e-07,5.551115123125783e-17,0.0,1.1843809871113787e-07,2.1561901288862114e-08
2007-08,shadow_ex_ante_sharpe,True,0.010256332820520657,0.01025633324433381,1.0143866177403746,0.0,1.2108947244395318e-07,3.632684173318595e-10,6.054473591921017e-11,0.00435,0.09148695043609563,0.0,0.549253432997307,0.450746567002693,0.0,-0.0004483971809838491,0.005260752321524266,0.006542467994757923,0.0021119020949723405,2007-07-31,2006-08-14,2007-07-31,252,0.05051096637403731,1.0,1.0,0.005838481261107883,0.0014884747355416045,0.001136816987595673,0.00011416267779930961,6.52556627904852e-09,0.04414649110423823,0.0013743120577422948,0.13930907035605383,ex_ante_sharpe,0.04414649110423823,True,False,0,Optimization terminated successfully,2,-0.04414649110423824,0.11679813290951219,-0.025304960329592452,0.0,0.013201867090487818,0.13469503967040755,2.6217894633085093e-07,2.6217894633085093e-07,2.405483220021173e-16,0.0,2.4217894488790636e-07,2.0000001442944575e-08
2007-09,shadow_ex_ante_sharpe,True,0.03418022434705208,0.034180224437766735,1.0490585799093881,0.0,2.591847400590429e-08,7.775542201771286e-11,1.2959236989073959e-11,0.0045249999999999995,0.11453703947995875,8.385466870381688e-22,0.5425031846112195,0.45749681538878056,2.5333143472581683e-22,4.576340777479211e-05,0.004595478474953139,0.007256630380193924,0.0014248470361207452,2007-08-31,2006-09-14,2007-08-31,252,0.05982169017954228,1.0,1.0,0.005812946996866585,0.0012879404956911904,0.0010245499184181107,0.00011064677072601802,6.501175395400625e-09,0.04023733761774173,0.0011772937249651724,0.12244087566679208,ex_ante_sharpe,0.04023733761774173,True,False,0,Optimization terminated successfully,1,-0.04023733761774173,0.11088101289678648,-0.02593287677594558,0.0,0.019118987103213525,0.13406712322405442,1.2181063872018789e-06,1.2181063872018789e-06,0.0,0.0,5.183694801180858e-08,1.1662694391900703e-06
2007-10,shadow_ex_ante_sharpe,True,0.03007269195406395,0.030072692556945217,1.080606595424771,0.0,1.7225178997049062e-07,5.167553699114719e-10,8.612589499912295e-11,0.00455,0.17346990108196522,0.0,0.5259061107290097,0.47409388927099033,0.0,0.0015426168075647687,0.006734680818061727,0.008499448474214848,0.005213326308216967,2007-09-30,2006-10-12,2007-09-28,252,0.06843414848905073,1.0,1.0,0.00757134637982701,0.003021339828282864,0.0009209627185245753,0.00011212809381668009,6.551544145801964e-09,0.09955854724982255,0.0029092117344661837,0.2853266623114564,ex_ante_sharpe,0.09955854724982255,True,False,0,Optimization terminated successfully,2,-0.09955854724982259,0.10512636501988883,-0.027476076047298126,0.0,0.02487363498011118,0.13252392395270188,3.6450358154031044e-07,3.6450358154031044e-07,0.0,0.0,3.4450357994098124e-07,2.0000001599329197e-08
2007-11,shadow_ex_ante_sharpe,True,-0.002088334264125303,-0.0008231178558345888,1.0783499276455055,-0.0020883342641254687,0.3614904023688213,0.001084471207106464,0.0001807452011842502,0.004508333333333334,0.09533685996764896,2.7230336298513552e-08,0.8745347019710379,0.12546527079830483,3.209313838391425e-13,0.003133774644886988,0.00979974903151853,0.016952849763063507,0.010395572715804713,2007-10-31,2006-11-14,2007-10-31,252,0.055769476886525095,1.0,1.0,0.010697214570332838,0.0049236618689939195,7.879066397972318e-05,1.1123634563932155e-05,0.0012652193680055847,0.5546906432246979,0.004912538234429988,1.4762668368796583,ex_ante_sharpe,0.5546906432246979,True,False,0,Optimization terminated successfully,10,-0.5546906432246981,0.030748788069722005,-0.0034600726485742306,0.0,0.099251211930278,0.15653992735142577,0.7229808161818211,0.7229808161818211,0.0,0.0,0.7229808047376426,1.1444178493746904e-08
2007-12,shadow_ex_ante_sharpe,True,0.00929968075840953,0.009457048023811596,1.0883782377184628,0.0,0.044962075829161535,0.0001348862274874846,2.2481037914580743e-05,0.004808333333333333,0.01623156952645736,3.0855716944330216e-08,0.9173558305532787,0.08264413859100313,1.2039611494005205e-15,-0.0008033151742242132,0.007296613973808958,0.012334664423937314,0.008203389970218234,2007-11-30,2006-12-14,2007-11-30,252,0.05518464458246113,1.0,1.0,0.007712979063508711,0.002747275473394603,4.883013574807954e-05,9.517391824244993e-06,0.00015737025678077537,0.3931499666332107,0.002737758081570358,0.8905190909808639,ex_ante_sharpe,0.3931499666332107,True,False,0,Optimization terminated successfully,9,-0.3931499666332107,0.024206644314670185,-0.0025377379861046823,0.0,0.10579335568532983,0.15746226201389532,0.08992416742022312,0.08992416742022312,0.0,0.0,0.08992415165832307,1.5761900049038324e-08
2008-01,shadow_ex_ante_sharpe,True,0.028607277490759347,0.028720528420877814,1.1195137759797784,0.0,0.03235740860527655,9.707222581582965e-05,1.6178704302638244e-05,0.004783333333333333,0.000809579527851767,0.004250786846923721,0.9391676490840908,0.056581564068985575,0.0,0.001427069604084116,0.00799155888210345,0.017257490893971158,0.011078102098412252,2007-12-31,2007-01-12,2007-12-31,252,0.054692486130835834,1.0,1.0,0.008487935563212031,0.003591349799526204,3.2183919113593895e-05,8.665747266984312e-06,0.00011325243035249395,0.6330503360726072,0.00358268405225922,1.2199855824195778,ex_ante_sharpe,0.6330503360726072,True,False,0,Optimization terminated successfully,10,-0.6330503360726071,0.019652150756676146,-0.0020396463573626455,0.0,0.11034784924332386,0.15796035364263736,0.06471482721056684,0.06471482721056684,0.0,0.0,0.0647148172105531,1.0000013747624159e-08
