month,policy,model_active,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,cash_return,regime_confidence,w_KODEX200,w_BOND,w_GLD,w_USO,stage36_mu_KODEX200,stage36_mu_BOND,stage36_mu_GLD,stage36_mu_USO,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,expected_total_return,expected_excess_return_after_cost,expected_monthly_variance,historical_downside_semivariance,estimated_transaction_cost,ex_ante_sharpe_objective,downside_penalty_objective,direct_sortino_objective,objective_mode,selected_objective_value,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,turnover_budget_l1,baseline_turnover_budget_l1,minimum_risk_trade_l1,risk_required_extra_trade_l1,actual_trade_l1,turnover_slack
2007-04,shadow_downside_penalty,True,-0.0033939599346618334,-0.0018939593360919771,0.9966060400653382,-0.00339395993466185,1.0,0.0015,5.98569856168749e-10,0.003966666666666666,0.15454822265618828,0.0,0.9999988028602877,1.1971397123374713e-06,2.678000805201692e-20,-0.008031259098975082,0.0037207207271159246,0.003531139902412381,-0.013855789355276923,2007-03-31,2006-04-13,2007-03-30,252,0.04739306077384952,1.0,1.0,0.003720720500161191,-0.001745950490504009,1.2228998237523648e-05,3.385090834798619e-06,0.0015000043239985338,-0.49927116350884654,-0.0017493355813388075,-0.9489574963606513,downside_penalty,-0.0017493355813388075,True,False,0,Optimization terminated successfully,1,0.0017493355813388075,0.012113958017521928,-4.920787730944287e-05,0.0,0.11788604198247808,0.15995079212269056,1.0000001000000007,1.0,1.0,0.0,1.0,1.0000000072452053e-07
2007-05,shadow_downside_penalty,True,0.0022771908385877237,0.002277221936732292,0.9988755022094561,-0.0011244977905439102,8.885184162357575e-06,2.6655552487072724e-08,4.442592081202303e-09,0.004208333333333333,0.07810498821973193,0.0,0.9999899376560953,1.0062343904511847e-05,2.1279274638648832e-16,-0.00813414693684723,0.003217691195696214,0.006771960121501379,-0.014769220740228699,2007-04-30,2006-05-12,2007-04-30,252,0.04991702019011051,1.0,1.0,0.003217726959972471,-0.0009906406678427328,1.1925895480958476e-05,5.766726309839544e-06,3.429448187092229e-08,-0.28686043540917056,-0.0009964073941525723,-0.41252614900587814,downside_penalty,-0.0009964073941525723,True,False,0,Optimization terminated successfully,2,0.0009964073941525747,0.011962890360255824,-0.000996262289066907,0.0,0.11803710963974418,0.1590037377109331,1.7790368322046078e-05,1.7790368322046078e-05,0.0,0.0,1.777036832471515e-05,1.999999733092784e-08
2007-06,shadow_downside_penalty,True,-0.011502822540013703,-0.010112991012290927,0.9873856145679737,-0.01261438543202631,0.39709472220650766,0.001191284166619523,0.00019854736110325373,0.004308333333333333,0.06576358464494685,0.0,0.6028950337765948,0.3971049662234052,2.0816681711721685e-17,-0.004382487329820354,0.0032386104359043767,0.007915445594233675,-0.011430320479609825,2007-05-31,2006-06-14,2007-05-31,252,0.04575129890675247,1.0,1.0,0.005095804903485167,-0.0006023629575753499,0.0009709740447496677,8.687690369842802e-05,0.0013898345277271833,-0.01933100559624965,-0.0006892398612737779,-0.06462582345683372,downside_penalty,-0.0006892398612737779,True,False,0,Optimization terminated successfully,7,0.0006892398612737779,0.1079429874377952,-0.02030946180902865,0.0,0.02205701256220481,0.13969053819097135,0.7941894644130159,0.7941894644130159,0.0,0.0,0.7941894444130153,2.0000000544584395e-08
2007-07,shadow_downside_penalty,True,0.015635016523955353,0.01563501673261798,1.0028234049672597,0.0,5.961789274369794e-08,1.7885367823109381e-10,2.980894635719636e-11,0.004383333333333334,0.08557448578072228,7.588854756107807e-19,0.6092849508537207,0.39071504914627925,3.0914363933900866e-18,-0.0064338699619919445,0.0030682473050415897,0.004269739281414942,-0.0036243439408816776,2007-06-30,2006-07-13,2007-06-29,252,0.04610365131849997,1.0,1.0,0.003537688301639164,-0.0008456515379086656,0.0009056247915139318,9.199070628828294e-05,6.506214495846984e-09,-0.02810070990653784,-0.0009376422441969486,-0.08816972096535422,downside_penalty,-0.0009376422441969486,True,False,0,Optimization terminated successfully,2,0.0009376422441969486,0.10424729012385493,-0.01971371245286807,0.0,0.025752709876145072,0.14028628754713193,1.3999999999999998e-07,1.3085955297143044e-07,0.0,0.0,1.1923578548739587e-07,2.0764214512604112e-08
2007-08,shadow_downside_penalty,True,0.008732892286903457,0.008732892710716613,1.0115809537456246,0.0,1.210894733948533e-07,3.6326842018455994e-10,6.054473672241153e-11,0.00435,0.09148695043609563,0.0,0.6045601285824875,0.39543987141751247,0.0,-0.0004483971809838491,0.005260752321524266,0.006542467994757923,0.0021119020949723405,2007-07-31,2006-08-14,2007-07-31,252,0.05051096637403731,1.0,1.0,0.005767593802541594,0.0014175872769753143,0.0008792947434723237,8.828820559173773e-05,6.525566279615525e-09,0.047806017735544375,0.0013292990713835765,0.15086846152195546,downside_penalty,0.0013292990713835765,True,False,0,Optimization terminated successfully,2,-0.00132929907138358,0.10272067426603022,-0.020154234297123763,0.0,0.02727932573396978,0.13984576570287624,2.6217894633085093e-07,2.6217894633085093e-07,2.220446049250313e-16,0.0,2.421789467897066e-07,1.9999999541144326e-08
2007-09,shadow_downside_penalty,True,0.030340009617758998,0.030340011714445177,1.0422723296114087,0.0,5.990531935761342e-07,1.7971595807284026e-09,2.9952659677303277e-10,0.0045249999999999995,0.11453703947995875,0.0,0.5980313577996172,0.4019686422003825,2.1741867565575984e-16,4.576340777479211e-05,0.004595478474953139,0.007256630380193924,0.0014248470361207452,2007-08-31,2006-09-14,2007-08-31,252,0.05982169017954228,1.0,1.0,0.0056651780929917375,0.0011401710130293698,0.0007962532702428625,8.579670670621882e-05,7.0799623681546374e-09,0.04040586245050078,0.001054374306323151,0.12309337705187429,downside_penalty,0.001054374306323151,True,False,0,Optimization terminated successfully,2,-0.0010543743063231518,0.09774988103785268,-0.02076281948847536,0.0,0.03225011896214733,0.13923718051152464,1.2181063872018789e-06,1.2181063872018789e-06,0.0,0.0,1.1981063871522684e-06,2.0000000049610528e-08
2007-10,shadow_downside_penalty,True,0.02709756770294959,0.027097568305830856,1.070515374627965,0.0,1.72251790695379e-07,5.16755372086137e-10,8.612589532894575e-11,0.00455,0.17346990108196522,0.0,0.581895870016002,0.4181041299839978,1.6653345369377348e-16,0.0015426168075647687,0.006734680818061727,0.008499448474214848,0.005213326308216967,2007-09-30,2006-10-12,2007-09-28,252,0.06843414848905073,1.0,1.0,0.0074725374635615256,0.002922530912017379,0.0007212419284652398,8.752430512255917e-05,6.5515441462113176e-09,0.10882248287873686,0.00283500660689482,0.312388312949009,downside_penalty,0.00283500660689482,True,False,0,Optimization terminated successfully,2,-0.00283500660689482,0.0930317319068224,-0.022266261398819265,0.0,0.0369682680931776,0.13773373860118074,3.6450358154031044e-07,3.6450358154031044e-07,2.2204460492503136e-16,0.0,3.44503581390758e-07,2.0000000149552422e-08
2007-11,shadow_downside_penalty,True,0.007566671464818178,0.008100353292894043,1.0786156127658115,0.0,0.15248052230739004,0.0004574415669221701,7.62402611536949e-05,0.004508333333333334,0.09533685996764896,0.0,0.41682857067722484,0.5831714293227751,0.0,0.003133774644886988,0.00979974903151853,0.016952849763063507,0.010395572715804713,2007-10-31,2006-11-14,2007-10-31,252,0.055769476886525095,1.0,1.0,0.013971233009223403,0.008929214847802729,0.0014083333366409398,0.000160377593813856,0.0005336848280873416,0.23793621184509545,0.008768837253988873,0.7050849196122867,downside_penalty,0.008768837253988873,True,False,0,Optimization terminated successfully,8,-0.008768837253988877,0.13000000015265875,-0.03856383080317094,0.0,-1.5265874675485236e-10,0.12143616919682906,0.7229808161818211,0.7229808161818211,0.0,0.0,0.3049610446147801,0.418019771567041
2007-12,shadow_downside_penalty,True,0.04913248857664152,0.04923952765871918,1.131610682038615,0.0,0.030582594879331744,9.174778463799523e-05,1.529129743966584e-05,0.004808333333333333,0.01623156952645736,1.0098988325172993e-17,0.44271009340270545,0.5572899065972946,0.0,-0.0008033151742242132,0.007296613973808958,0.012334664423937314,0.008203389970218234,2007-11-30,2006-12-14,2007-11-30,252,0.05518464458246113,1.0,1.0,0.010104268638593449,0.005188893223125233,0.00140833333696948,0.00013915928835332752,0.00010704208213488316,0.13826810286000782,0.0050497339347719055,0.43986421781586527,downside_penalty,0.0050497339347719055,True,False,0,Optimization terminated successfully,6,-0.0050497339347719055,0.13000000016782215,-0.03562605040179567,0.0,-1.6782214506960713e-10,0.12437394959820433,0.08992416742022312,0.08992416742022312,0.0610706016104084,0.0,0.06116518975866349,0.02875897766155963
2008-01,shadow_downside_penalty,True,0.07208175872703614,0.07212897136588714,1.2131791701942591,0.0,0.013489325386001009,4.0467976158003026e-05,6.744662693000503e-06,0.004783333333333333,0.000809579527851767,3.5914196963582334e-19,0.43649116296839263,0.5635088370316075,0.0,0.001427069604084116,0.00799155888210345,0.017257490893971158,0.011078102098412252,2007-12-31,2007-01-12,2007-12-31,252,0.054692486130835834,1.0,1.0,0.013212993454124966,0.008382444481810896,0.001408333336613683,0.0001354995320111237,4.7215638980735736e-05,0.22336645718789103,0.008246944949799773,0.7201148851224579,downside_penalty,0.008246944949799773,True,False,0,Optimization terminated successfully,4,-0.008246944949799773,0.13000000015140076,-0.03437048448059288,0.0,-1.514007530456496e-10,0.12562951551940713,0.06471482721056684,0.06471482721056684,0.026901663281708864,0.0,0.026978650772002018,0.03773617643856483
