Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage47_B_GuardedStage36Objective_LW,full_2007_2026,delta_CAGR,0.0004545891906586127,-2.822195271379166e-06,0.0004279798887965036,0.0010086384313516493,0.9485,2000,12
Stage47_B_GuardedStage36Objective_LW,full_2007_2026,delta_Sharpe,-0.0006257116351709795,-0.003969099873314047,-0.0005507475789661154,0.002289687056867112,0.3915,2000,12
Stage47_B_GuardedStage36Objective_LW,full_2007_2026,delta_MDD,-0.00034765659770301757,-0.0015261340108491171,-6.455477881667226e-05,0.00018575645127300578,0.1125,2000,12
Stage47_C_GuardedExAnteSharpe_LW,full_2007_2026,delta_CAGR,-0.001848713958500611,-0.0038315151544799477,-0.0017046846668742344,-0.00027086385690758844,0.0185,2000,12
Stage47_C_GuardedExAnteSharpe_LW,full_2007_2026,delta_Sharpe,0.002350675037629709,-0.006176255987080681,0.002258668023604027,0.011117658309962574,0.671,2000,12
Stage47_C_GuardedExAnteSharpe_LW,full_2007_2026,delta_MDD,0.0017646355888094245,-7.489471613807974e-05,0.0016028858561690784,0.0044056349940220715,0.845,2000,12
Stage47_D_GuardedDownsidePenalty_LW,full_2007_2026,delta_CAGR,0.0005454565834403935,9.469445125231957e-06,0.0005152580064291534,0.00119982143221804,0.9555,2000,12
Stage47_D_GuardedDownsidePenalty_LW,full_2007_2026,delta_Sharpe,-0.0007428811005353175,-0.004113111497474431,-0.0006283444550548856,0.0020541880090099935,0.3685,2000,12
Stage47_D_GuardedDownsidePenalty_LW,full_2007_2026,delta_MDD,-0.0004083839175286115,-0.0016493454605691405,-0.00011473101542974762,6.76542979426985e-06,0.054,2000,12
Stage47_E_GuardedDirectSortino_LW,full_2007_2026,delta_CAGR,-0.0017748849728856223,-0.0035417995754859375,-0.001652322916650073,-0.00030985900119790967,0.015,2000,12
Stage47_E_GuardedDirectSortino_LW,full_2007_2026,delta_Sharpe,0.00013270155643265656,-0.009270189271628926,0.00019455419433478394,0.009355138714667588,0.5145,2000,12
Stage47_E_GuardedDirectSortino_LW,full_2007_2026,delta_MDD,0.0017990870569687804,-0.00024315556119784975,0.0019495762366567582,0.004489416901234405,0.837,2000,12
Stage47_B_GuardedStage36Objective_LW,common_2010_2026,delta_CAGR,0.0005539555326208055,3.7479952305152776e-05,0.0005193355675399136,0.0011763616654150932,0.966,2000,12
Stage47_B_GuardedStage36Objective_LW,common_2010_2026,delta_Sharpe,-0.0007132537794502121,-0.004618225275797805,-0.0006507730704119197,0.003023397761481383,0.38,2000,12
Stage47_B_GuardedStage36Objective_LW,common_2010_2026,delta_MDD,-0.00040757813396276576,-0.0015609698601556365,-0.00011473012558643747,0.00018013695042052859,0.1255,2000,12
Stage47_C_GuardedExAnteSharpe_LW,common_2010_2026,delta_CAGR,-0.0023097692794663196,-0.004586601083295982,-0.0021878831976009927,-0.0004823625133300258,0.011,2000,12
Stage47_C_GuardedExAnteSharpe_LW,common_2010_2026,delta_Sharpe,0.00012881466638756185,-0.00896021346415694,-0.0003199168750802617,0.01079435389021019,0.48,2000,12
Stage47_C_GuardedExAnteSharpe_LW,common_2010_2026,delta_MDD,0.0018001127663044728,-2.8757481664420936e-05,0.0016028858561690784,0.004358245295786506,0.884,2000,12
Stage47_D_GuardedDownsidePenalty_LW,common_2010_2026,delta_CAGR,0.0006599511354530982,5.805621663015348e-05,0.0006149569028072177,0.0014151709969628112,0.9755,2000,12
Stage47_D_GuardedDownsidePenalty_LW,common_2010_2026,delta_Sharpe,-0.0009455576220730405,-0.004980844437310639,-0.0008005722112517377,0.0025318868953416894,0.348,2000,12
Stage47_D_GuardedDownsidePenalty_LW,common_2010_2026,delta_MDD,-0.00047475866826420985,-0.0016781869948962302,-0.0001633700369448321,2.958531342079885e-05,0.068,2000,12
