signal_month,p_current,p_h1,p_h3,p_h6,p_delta1,p_delta3,duration,switches12,train_rows,feature_count,risk_state_return,fit_success
2009-03,0.0,0.17232183908045978,0.20213268526521522,0.20325949427430867,0.0,0.0,4,2,36,14,-0.05214584030768188,True
2009-04,0.0,0.16714054054054053,0.19681760614054056,0.19799429993195017,0.0,0.0,5,2,37,14,-0.05214584030768188,True
2009-05,0.0,0.16228013582342954,0.19179066387552582,0.19301313470175077,0.0,0.0,6,2,38,14,-0.05214584030768188,True
2009-06,0.0,0.15771153846153846,0.18702923377403846,0.18829361751143867,0.0,0.0,7,2,39,14,-0.05214584030768188,True
2009-07,0.0,0.1534090909090909,0.1825129802153769,0.18381565919548323,0.0,0.0,8,2,40,14,-0.05214584030768188,True
2009-08,0.0,0.1257671840354767,0.25964545400816674,0.38413486997758123,0.0,0.0,5,1,41,14,-0.009216165596075028,True
2009-09,0.0,0.1455142857142857,0.17414446491428573,0.17551384692716146,0.0,0.0,10,1,42,14,-0.05214584030768188,True
2009-10,0.0,0.14420930232558138,0.17258623072064308,0.17398448237485437,0.0,0.0,11,1,43,14,-0.05214584030768188,True
2009-11,0.0,0.14071498771498772,0.1688312444026469,0.17025566751258858,0.0,0.0,12,0,44,14,-0.05214584030768188,True
2009-12,0.0,0.13739766081871344,0.16524790633555264,0.16669600475409263,0.0,0.0,13,0,45,14,-0.051176805414808194,True
2010-01,0.0,0.1364180602006689,0.16399868596307218,0.1654681528966257,0.0,0.0,14,0,46,14,-0.051176805414808194,True
2010-02,0.0,0.13337021276595745,0.16067904956595744,0.16216775494914393,0.0,0.0,15,0,47,14,-0.051176805414808194,True
2010-03,0.0,0.13046544715447156,0.15750152209824775,0.1590075002791711,0.0,0.0,16,0,48,14,-0.0501385537438721,True
2010-04,0.0,0.1276938775510204,0.15445721088435374,0.15597864878558831,0.0,0.0,17,0,49,14,-0.05066678705013782,True
