name,model_name,rank_threshold,hedge_strength,vix_strength,vol_cap,dd_start,dd_strength,borrow_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgHedge,AvgGrossExposure,MDD9Pass,CAGRRetention
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.22_dd0.03_ds0.75,logit_s_l5_c01,0.9,1.0,1.0,0.22,-0.03,0.75,0.03,129.0,0.12117040608850305,0.1263522393992275,0.9706211580293228,1.9815309669708532,-0.13682354094538718,0.8855961865280767,3.419558023674911,0.5968992248062015,0.15269299771599631,0.48758228453412766,1.0,False,0.7949797660338143
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.22_dd0.03_ds1.00,logit_s_l5_c01,0.9,1.0,1.0,0.22,-0.03,1.0,0.03,129.0,0.11845189454087901,0.12261188182532264,0.9764733288839412,2.0173052712622828,-0.09888301221516549,1.1978993346514608,3.331471306781275,0.6201550387596899,0.1635656065727266,0.5526020902687135,1.0,False,0.7771440440629572
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.22_dd0.03_ds1.25,logit_s_l5_c01,0.9,1.0,1.0,0.22,-0.03,1.25,0.03,129.0,0.11041806999738824,0.12090395651830418,0.9283551630590092,1.935293896896018,-0.12948480404455442,0.8527492535679668,3.0830466450336456,0.6124031007751938,0.17657806504455759,0.7000820071275956,1.0431891252257264,False,0.7244353987582932
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.22_dd0.05_ds0.75,logit_s_l5_c01,0.9,1.0,1.0,0.22,-0.05,0.75,0.03,129.0,0.1291664890647981,0.1312294845030497,0.9939756113900495,2.015182901356497,-0.1333546422531131,0.9685938703178724,3.6910361116663233,0.5968992248062015,0.1513271118045579,0.44722130282686234,1.0,False,0.8474407949177074
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.22_dd0.05_ds1.00,logit_s_l5_c01,0.9,1.0,1.0,0.22,-0.05,1.0,0.03,129.0,0.12856225595699344,0.12796455883369362,1.011897500866538,2.053589683557997,-0.12620220237281687,1.018700573680994,3.669858808689109,0.6356589147286822,0.1468117325676229,0.5546272089765308,1.0,False,0.8434765175815269
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.22_dd0.05_ds1.25,logit_s_l5_c01,0.9,1.0,1.0,0.22,-0.05,1.25,0.03,129.0,0.11733399411686851,0.1237863312999719,0.9602155715301699,1.970920683782779,-0.13650032670985857,0.8595876430850639,3.295849558867369,0.6201550387596899,0.1694955630768298,0.6324636744351682,1.0308725793465408,False,0.7698096771476574
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.30_dd0.03_ds0.75,logit_s_l5_c01,0.9,1.0,1.0,0.3,-0.03,0.75,0.03,129.0,0.11674857306725284,0.13472602515149557,0.8885458986869759,1.7408048778180123,-0.14787393653149772,0.7895142024733002,3.2773333463419334,0.6046511627906976,0.16315918761112244,0.49310780732332543,1.0,False,0.7659688227337932
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.30_dd0.03_ds1.00,logit_s_l5_c01,0.9,1.0,1.0,0.3,-0.03,1.0,0.03,129.0,0.11202860307915818,0.13038606394440108,0.8809230454336876,1.748710222827715,-0.11724840799815484,0.9554808034657597,3.131457700596372,0.6201550387596899,0.17934188077460744,0.5428719517852357,1.0,False,0.7350018502035416
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.30_dd0.03_ds1.25,logit_s_l5_c01,0.9,1.0,1.0,0.3,-0.03,1.25,0.03,129.0,0.10003572321030396,0.12920403187926416,0.8031328303325977,1.5907528615483615,-0.1372273793729989,0.7289778735655661,2.786910237525395,0.5968992248062015,0.1997258344846658,0.6942914825048009,1.0579354008226707,False,0.6563184724714438
logit_s_l5_c01_rq0.90_hs1.00_vs1.00_vc0.30_dd0.05_ds0.75,logit_s_l5_c01,0.9,1.0,1.0,0.3,-0.05,0.75,0.03,129.0,0.13109840224639324,0.14192008553676463,0.9410747475649682,1.8758888351846603,-0.13934363159933116,0.940828086233275,3.7594921371465775,0.5968992248062015,0.14794547333505406,0.4457220672250704,1.0,False,0.8601157700925893
