Model,Config,threshold,max_shift,bond_share,horizon_weights,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths,CAGRDelta,SharpeDelta,MDDDelta,CalmarDelta,MultiObjectiveScore,Selected
CJM,th0.50_shift0.10_bond0.00_hw1.00-0.00-0.00,0.5,0.1,0.0,"(1.0, 0.0, 0.0)",129.0,0.12731142381178095,0.13865954166668232,0.936248040494898,1.7603871747897597,-0.1298226382385037,0.980656575303074,3.6263691483098643,0.5968992248062015,0.12423725441441195,0.001915322984091316,6,-0.0012814384750290397,-0.008864543555986315,0.0,-0.009870685825031922,0.3880208333333333,False
CJM,th0.50_shift0.10_bond0.00_hw0.50-0.30-0.20,0.5,0.1,0.0,"(0.5, 0.3, 0.2)",129.0,0.12764613102195166,0.13861844660911762,0.9386493094099069,1.7651329528814224,-0.1298226382385037,0.9832347636276388,3.63796039991865,0.5968992248062015,0.12286123137756082,0.0013392586901193088,4,-0.0009467312648583359,-0.006463274640977401,0.0,-0.007292497500467121,0.4644097222222222,False
CJM,th0.50_shift0.10_bond0.00_hw0.33-0.33-0.33,0.5,0.1,0.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.1277995161778207,0.138605741045834,0.9397145230651892,1.7672171750827725,-0.1298226382385037,0.9844162613845036,3.643283503693534,0.5968992248062015,0.12239896595005871,0.001147747365011598,4,-0.0007933461089892901,-0.005398060985695063,0.0,-0.006110999743602408,0.49565972222222227,False
CJM,th0.50_shift0.10_bond0.50_hw1.00-0.00-0.00,0.5,0.1,0.5,"(1.0, 0.0, 0.0)",129.0,0.12788001155586604,0.13858224392685758,0.9403711018469134,1.7686573949550204,-0.1298226382385037,0.9850363025355503,3.646079854084641,0.5968992248062015,0.12423725441441195,0.001915322984091316,6,-0.0007128507309439591,-0.004741482203970859,0.0,-0.005490958592555661,0.5182291666666667,False
CJM,th0.50_shift0.10_bond0.50_hw0.50-0.30-0.20,0.5,0.1,0.5,"(0.5, 0.3, 0.2)",129.0,0.12808661921259334,0.13857491578134173,0.9417492660637767,1.7713678966455668,-0.1298226382385037,0.9866277634666379,3.6532661652364626,0.5968992248062015,0.12286123137756082,0.0013392586901193088,4,-0.0005062430742166502,-0.003363317987107539,0.0,-0.003899497661468021,0.5824652777777778,False
CJM,th0.50_shift0.10_bond0.50_hw0.33-0.33-0.33,0.5,0.1,0.5,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.12816424975312546,0.13857105014022708,0.9422736491375687,1.7723530039724076,-0.1298226382385037,0.9872257372991331,3.6559696606830885,0.5968992248062015,0.12239896595005871,0.001147747365011598,4,-0.0004286125336845359,-0.0028389349133155495,0.0,-0.0033015238289728632,0.5963541666666667,False
CJM,th0.50_shift0.10_bond1.00_hw1.00-0.00-0.00,0.5,0.1,1.0,"(1.0, 0.0, 0.0)",129.0,0.1284474100581774,0.1385141758566633,0.9444358300904439,1.7765514389229542,-0.1298226382385037,0.989406869256502,3.6658461488162604,0.5968992248062015,0.12423725441441195,0.001915322984091316,6,-0.0001454522286326032,-0.0006767539604404238,0.0,-0.001120391871603954,0.7612847222222222,True
CJM,th0.50_shift0.10_bond1.00_hw0.50-0.30-0.20,0.5,0.1,1.0,"(0.5, 0.3, 0.2)",129.0,0.12852658164400088,0.13853573952787773,0.9448214715481037,1.7774298316590633,-0.1298226382385037,0.9900167134785709,3.668611939214365,0.5968992248062015,0.12286123137756082,0.0013392586901193088,4,-6.628064280911339e-05,-0.0002911125027805772,0.0,-0.0005105476495350647,0.8428819444444444,False
CJM,th0.50_shift0.10_bond1.00_hw0.33-0.33-0.33,0.5,0.1,1.0,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",129.0,0.1285286415160649,0.13853922874654195,0.9448144868728938,1.777378383299398,-0.1298226382385037,0.9900325802957298,3.6686839243054514,0.5968992248062015,0.12239896595005871,0.001147747365011598,4,-6.422077074508259e-05,-0.0002980971779904529,0.0,-0.0004946808323761376,0.8463541666666666,False
CJM,th0.50_shift0.20_bond0.00_hw1.00-0.00-0.00,0.5,0.2,0.0,"(1.0, 0.0, 0.0)",129.0,0.1260252691314625,0.13879832946141135,0.9271383884553195,1.741670702717233,-0.1298226382385037,0.9707495614126647,3.5821392861494474,0.5968992248062015,0.1290390087592165,0.003830645968182632,6,-0.0025675931553474918,-0.01797419559556479,0.0,-0.0197776997154413,0.2126736111111111,False
