feature,mean_gain_share,Model
macro_growth_Export_level_d3,0.06129087007117125,RobustMultiscale_BOND
sjm_p_growth_high,0.053024927314831,RobustMultiscale_BOND
market_KODEX200_vol3,0.05222461315922586,RobustMultiscale_BOND
macro_growth_BSI_level,0.05208799061087957,RobustMultiscale_BOND
vk_pctile_126,0.04709660062751562,RobustMultiscale_BOND
macro_growth_GDP_level_d3,0.04607048925286958,RobustMultiscale_BOND
stress_VIX_last_z60,0.043155481868318905,RobustMultiscale_BOND
market_KODEX200_ret6,0.04057068028331163,RobustMultiscale_BOND
vk_month_close_to_max,0.040185592889304386,RobustMultiscale_BOND
vk_month_mean_gap,0.034192448473775915,RobustMultiscale_BOND
vk_acceleration_5,0.031220976333748138,RobustMultiscale_BOND
sjm_p_risk_off_d1,0.0311613848155606,RobustMultiscale_BOND
market_KODEX200_vol6,0.028675804548550506,RobustMultiscale_BOND
stress_NFCI_last_z60,0.026975248398653413,RobustMultiscale_BOND
vk_direct_close,0.025318413309304334,RobustMultiscale_BOND
stress_BAA_SPREAD_last_z60,0.02252426441866143,RobustMultiscale_BOND
vk_shock_5,0.022454818616857955,RobustMultiscale_BOND
macro_growth_GDP_level,0.020960678067948116,RobustMultiscale_BOND
sjm_p_inflation_high,0.020899701763866657,RobustMultiscale_BOND
vk_pctile_252,0.020658984926388433,RobustMultiscale_BOND
market_BOND_ret3,0.020258481003516605,RobustMultiscale_BOND
vk_distance_high21,0.019751561992804107,RobustMultiscale_BOND
market_GLD_ret3,0.01780231953997188,RobustMultiscale_BOND
vk_logret_21,0.017523480738150438,RobustMultiscale_BOND
sjm_p_risk_off_d3,0.01747425880577367,RobustMultiscale_BOND
vk_logret_5,0.016004545590311885,RobustMultiscale_BOND
macro_growth_Export_level,0.01530298394917401,RobustMultiscale_BOND
stress_STLFSI_last_z60,0.013478451826160455,RobustMultiscale_BOND
market_KODEX200_ret1,0.012109883116476955,RobustMultiscale_BOND
sjm_p_risk_off,0.010151919595194184,RobustMultiscale_BOND
macro_growth_BSI_level_d3,0.00982791297571341,RobustMultiscale_BOND
vk_robust_z_252,0.009780233187717409,RobustMultiscale_BOND
vk_fast_slow,0.009204252720037444,RobustMultiscale_BOND
vk_close_location21,0.007857429866828565,RobustMultiscale_BOND
market_KODEX200_drawdown12,0.0078027261358517355,RobustMultiscale_BOND
vk_robust_z_63,0.004499641659988049,RobustMultiscale_BOND
vk_shock_21,0.0036581094403569502,RobustMultiscale_BOND
sjm_p_risk_off_d1,0.14483885824007176,RobustMultiscale_GLD
vk_logret_21,0.09650940688947138,RobustMultiscale_GLD
market_KODEX200_ret1,0.08815939905484971,RobustMultiscale_GLD
vk_month_close_to_max,0.07038550901356795,RobustMultiscale_GLD
vk_distance_high21,0.05158756148559916,RobustMultiscale_GLD
vk_robust_z_252,0.04914369601267067,RobustMultiscale_GLD
market_KODEX200_vol3,0.04089925780363734,RobustMultiscale_GLD
stress_BAA_SPREAD_last_z60,0.03939914261574433,RobustMultiscale_GLD
market_GLD_ret3,0.037470369979541104,RobustMultiscale_GLD
vk_close_location21,0.035870448301116,RobustMultiscale_GLD
vk_pctile_126,0.03109463181067388,RobustMultiscale_GLD
macro_growth_BSI_level_d3,0.028357907893377613,RobustMultiscale_GLD
market_KODEX200_ret6,0.026866000023323885,RobustMultiscale_GLD
vk_shock_5,0.024644376823382438,RobustMultiscale_GLD
vk_pctile_252,0.022578728274622126,RobustMultiscale_GLD
market_KODEX200_vol6,0.020486202438220538,RobustMultiscale_GLD
macro_growth_GDP_level_d3,0.018345217834967,RobustMultiscale_GLD
stress_VIX_last_z60,0.018319004605997908,RobustMultiscale_GLD
market_KODEX200_ret3,0.013870754226125354,RobustMultiscale_GLD
stress_NFCI_last_z60,0.012383259971935946,RobustMultiscale_GLD
market_KODEX200_drawdown12,0.011764392883512708,RobustMultiscale_GLD
vk_shock_21,0.011718283580148162,RobustMultiscale_GLD
