signal_month,Model,p_h1,p_h3,p_h6,p_current
2008-02,SJM,0.22170296028443448,0.20060286000790095,0.20000279101855511,0.3302177617066069
2008-03,SJM,0.18752145776398982,0.187500691275763,0.18750000399716088,0.18761955039937184
2008-04,SJM,0.16952348755716812,0.17621853923109904,0.1764688464000421,0.13999830967513271
2008-05,SJM,0.1508575644895888,0.16603430257958354,0.16666160775397001,0.08762115578127738
2008-06,SJM,0.20021549492663593,0.15973157530063525,0.157911345986153,0.36103437564785246
2008-07,SJM,0.21695919737894082,0.15311497996264967,0.15003125523614808,0.46044718784781646
2008-08,SJM,0.2959057366357524,0.202664048239882,0.20001233355666614,0.7754344198145144
2008-09,SJM,0.35296125593460675,0.26144013954828965,0.2504237088721589,0.5588837678038203
2008-10,SJM,0.5346711243626195,0.33928824446364747,0.29779319529950493,0.8492410562214299
2008-11,SJM,0.6498739961394548,0.41246849903486366,0.3432252290460246,0.9664146589455764
2008-12,SJM,0.7066701669607511,0.46985743669061075,0.38507930342585395,0.9860933483631106
2009-01,SJM,0.7441666666666666,0.5171122685185185,0.4232462431144976,0.99
2009-02,SJM,0.7710246682649798,0.556462916234761,0.4577592835233997,0.988949457160876
2009-03,SJM,0.7910989801316406,0.5895408131416915,0.48883927545699507,0.9859457581025902
2009-04,SJM,0.797945935670046,0.6139582265963993,0.5157879647786402,0.9689402733540241
2009-05,SJM,0.8102643185927941,0.6378952527079086,0.5408578526541953,0.9653964778891913
2009-06,SJM,0.7901692846827246,0.6447379225302061,0.5591329247216944,0.9176076265141986
2009-07,SJM,0.7923282305910377,0.6594943548339357,0.5783042843651449,0.9061305408559858
2009-08,SJM,0.7827375797947593,0.6668747474327654,0.5937380383694386,0.8801013044687037
2009-09,SJM,0.7135250239656162,0.6427234929271929,0.5967665307256438,0.7720353279514582
2009-10,SJM,0.5830961430655736,0.5846135473276087,0.5856228075370186,0.5818603642834042
2009-11,SJM,0.43160562361833665,0.46960249938592746,0.49099333315138605,0.39740843542750504
2009-12,SJM,0.40054554841873335,0.44727874396542555,0.47440474722233533,0.3592492535030598
2010-01,SJM,0.2293709753424602,0.3596035026529655,0.43728348614048634,0.11615264684262472
2010-02,SJM,0.22862021562304496,0.35049297128060136,0.4249834396469413,0.12420858814372027
2010-03,SJM,0.20228545362369205,0.32966850777496154,0.40926000317494393,0.0945834769383408
2010-04,SJM,0.18417279831170946,0.3131107886638771,0.3952972988648054,0.07645202234037018
2010-05,SJM,0.16389008086762932,0.2957712384908765,0.3813747174989639,0.05490364357782962
2010-06,SJM,0.17829117732985927,0.2963224750777582,0.3742191922479059,0.08171660373344758
2010-07,SJM,0.1918869181145326,0.29713303340025876,0.3676590021612381,0.10655677880238468
2010-08,SJM,0.203430604350062,0.2974684325159274,0.36137485360725186,0.1278269906385474
2010-09,SJM,0.21957091329441789,0.30074027329485953,0.35662207100465076,0.15481896256936234
2010-10,SJM,0.25106609846468236,0.3127046208923524,0.3556538143063394,0.20224804041617894
2010-11,SJM,0.3018780207832801,0.33567662451011954,0.35949202584384277,0.2752882101590183
2010-12,SJM,0.30339381935456994,0.3326511329479108,0.3534825781119281,0.28052007591204386
2011-01,SJM,0.21999991051370232,0.28342226008024884,0.3290212498729361,0.17070410435655525
