,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
proposed,232.0,0.08121825624848111,0.070631928655414,1.143956132336788,2.2405227937958494,-0.08933845417896868,0.9091074721953365,4.525415798197903,0.6422413793103449
soft,232.0,0.09576796358452544,0.11341891360857619,0.8657248570372154,1.474753863325304,-0.19272377685962305,0.49691825858249605,5.859936564574865,0.6163793103448276
hard,232.0,0.18457120128441185,0.22589474794864386,0.8669418756309885,1.4917970723540674,-0.2667196817244304,0.6920044298609626,26.435201280134464,0.6163793103448276
equal,232.0,0.0751490967947126,0.1269156142708867,0.636429838415444,0.9873703061436059,-0.3429231977828173,0.21914264558534352,4.058772962706436,0.603448275862069
static_defensive,232.0,0.08046645203610181,0.07729338130425764,1.0428240326324298,1.875212493544719,-0.11645928641190773,0.6909406241035861,4.464966567417297,0.6206896551724138
kodex,232.0,0.10803926852101386,0.23885490155787745,0.5476787791227818,0.9327832108072682,-0.4852124990496465,0.22266381993997106,7.267743703897733,0.5862068965517241
