name,target_vol,fast_window,slow_window,trend_cut,vix_threshold,vix_cut,dd_floor,dd_strength,rebalance_band,fallback,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgExposure,MDD9Pass,MDD10Pass,ReturnRetention
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.09_ds0.75_rb0.05_defensive,0.18,20,60,0.5,35.0,0.75,-0.09,0.75,0.05,defensive,129.0,0.09202856653078872,0.11647910662515976,0.8154560020195524,1.541572072487671,-0.10726570512469213,0.857949578794165,2.5764130623493426,0.5891472868217055,0.3770946290952081,0.5175428412408534,False,False,0.6037847907816446
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.09_ds1.00_rb0.05_bond,0.18,20,60,0.5,35.0,0.75,-0.09,1.0,0.05,bond,129.0,0.07290217022317913,0.09187617714741028,0.8129097435143688,1.6020373904560476,-0.07699034651551473,0.9469001442731295,2.1306952145804003,0.6046511627906976,0.4387919481368265,0.4774242625363576,True,True,0.478299546054581
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.09_ds1.00_rb0.05_defensive,0.18,20,60,0.5,35.0,0.75,-0.09,1.0,0.05,defensive,129.0,0.06886121126020717,0.10025531628757367,0.7152188942965458,1.2851627377010308,-0.09694687288117543,0.7102984264856905,2.0459930622283067,0.5891472868217055,0.4534370943033344,0.41822395632847353,False,True,0.45178745688497557
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.10_ds0.75_rb0.05_bond,0.18,20,60,0.5,35.0,0.75,-0.1,0.75,0.05,bond,129.0,0.08581542527457264,0.10525329323921438,0.8363396129383545,1.5745765456508212,-0.11337532620842294,0.7569144728793485,2.42313201420386,0.6124031007751938,0.3803742048882885,0.5623551848649049,False,False,0.5630213590028157
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.10_ds0.75_rb0.05_defensive,0.18,20,60,0.5,35.0,0.75,-0.1,0.75,0.05,defensive,129.0,0.09376020678247454,0.11825000173839646,0.818444225391084,1.548772271582937,-0.10889434901053652,0.8610199485503365,2.620672655434361,0.5968992248062015,0.3717414958811525,0.5420566722790422,False,False,0.6151458071104539
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.10_ds1.00_rb0.05_bond,0.18,20,60,0.5,35.0,0.75,-0.1,1.0,0.05,bond,129.0,0.0758577160849756,0.09478092560493641,0.8199887799185932,1.6139742772587615,-0.08681686888656881,0.8737670116171551,2.1946462084966414,0.6124031007751938,0.4122479603462893,0.4961024929373006,True,True,0.497690412467928
tv0.18_f20_s60_tc0.50_vx35_vc0.75_fl0.10_ds1.00_rb0.05_defensive,0.18,20,60,0.5,35.0,0.75,-0.1,1.0,0.05,defensive,129.0,0.07270350392852998,0.1057828246023476,0.717209026916447,1.2885343183161397,-0.09965593865026579,0.7295451220792457,2.1264577911446807,0.5813953488372093,0.4297263494750791,0.4444782175834241,False,True,0.4769961280869658
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.08_ds0.75_rb0.05_bond,0.18,20,60,0.5,99.0,0.5,-0.08,0.75,0.05,bond,129.0,0.07359902877727942,0.10092362824029787,0.7550497059634946,1.4026757392802944,-0.10629557755086794,0.6923997260568858,2.1456193734338,0.5891472868217055,0.3676032409208386,0.5126302040516797,False,False,0.4828715242147654
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.08_ds0.75_rb0.05_defensive,0.18,20,60,0.5,99.0,0.5,-0.08,0.75,0.05,defensive,129.0,0.08532750955711155,0.11402041553518599,0.7761839212355931,1.4603217413223204,-0.1256170574189862,0.6792669030011432,2.411452543008162,0.5968992248062015,0.33625145787901556,0.45611483238221306,False,False,0.5598202215680849
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.08_ds1.00_rb0.05_bond,0.18,20,60,0.5,99.0,0.5,-0.08,1.0,0.05,bond,129.0,0.05498024956577563,0.08180627419649279,0.6956129992253991,1.3203093649699569,-0.07865067895523092,0.699043546681538,1.777773954117142,0.6201550387596899,0.41464075486976076,0.38942592956803,True,True,0.3607166745348407
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.08_ds1.00_rb0.05_defensive,0.18,20,60,0.5,99.0,0.5,-0.08,1.0,0.05,defensive,129.0,0.06547428569130531,0.09439645503667164,0.7198817417878111,1.295541929572376,-0.0951822537936895,0.687883329945337,1.9773655255101603,0.5968992248062015,0.44787059387034633,0.3414763461001569,False,True,0.42956637681058096
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.09_ds0.75_rb0.05_bond,0.18,20,60,0.5,99.0,0.5,-0.09,0.75,0.05,bond,129.0,0.07485754995186711,0.1037616178015194,0.7484971870004663,1.379513651734146,-0.10759759205457187,0.6957177063395665,2.172812729880623,0.5968992248062015,0.34764895969167986,0.5264109362922821,False,False,0.49112848151332855
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.09_ds0.75_rb0.05_defensive,0.18,20,60,0.5,99.0,0.5,-0.09,0.75,0.05,defensive,129.0,0.08598320898535405,0.11759275385917013,0.7612467157285876,1.4179541923855759,-0.12927442441681836,0.6651215766246166,2.4271601722929157,0.5891472868217055,0.32260332773295336,0.47061348841575795,False,False,0.5641221612485708
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.09_ds1.00_rb0.05_bond,0.18,20,60,0.5,99.0,0.5,-0.09,1.0,0.05,bond,129.0,0.06450575999011865,0.09214015815364644,0.7250808915249467,1.3873982787991475,-0.0844625652754708,0.7637201141089672,1.958128412427612,0.6124031007751938,0.38659095884189715,0.43222354863396456,True,True,0.4232120336984127
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.09_ds1.00_rb0.05_defensive,0.18,20,60,0.5,99.0,0.5,-0.09,1.0,0.05,defensive,129.0,0.06881670005278417,0.10034719217483051,0.7142049746100496,1.2881408822392626,-0.10422333301577447,0.6602811295851437,2.0450773215344493,0.5891472868217055,0.42220582936945805,0.37440033270494877,False,False,0.45149542593117015
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.10_ds0.75_rb0.05_bond,0.18,20,60,0.5,99.0,0.5,-0.1,0.75,0.05,bond,129.0,0.07875541574471634,0.10654369642622334,0.7658202238549574,1.4125930356986711,-0.1133753262084225,0.69464334417823,2.259030696128254,0.6124031007751938,0.33298760388165116,0.543394144548372,False,False,0.5167017591481924
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.10_ds0.75_rb0.05_defensive,0.18,20,60,0.5,99.0,0.5,-0.1,0.75,0.05,defensive,129.0,0.08765879834763735,0.11995275173704605,0.7615077359130416,1.4094282649574468,-0.1345562851313552,0.6514656544067335,2.467722274178493,0.5736434108527132,0.31986640610904804,0.5034315061638995,False,False,0.5751154366051277
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.10_ds1.00_rb0.05_bond,0.18,20,60,0.5,99.0,0.5,-0.1,1.0,0.05,bond,129.0,0.06628546059021301,0.09482833290986005,0.7248376801471235,1.3823080280456879,-0.09319460578277627,0.7112585544351702,1.9936090179999324,0.6201550387596899,0.3644432346871968,0.4528325975891648,False,True,0.4348883663306551
tv0.18_f20_s60_tc0.50_vx99_vc0.50_fl0.10_ds1.00_rb0.05_defensive,0.18,20,60,0.5,99.0,0.5,-0.1,1.0,0.05,defensive,129.0,0.07142652217373935,0.10510535207359817,0.709754579332467,1.274720409339607,-0.11413525210372133,0.6258059701732636,2.0994025570470134,0.5736434108527132,0.39299874634656,0.3926533173742875,False,False,0.4686180538572614
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.08_ds0.75_rb0.05_bond,0.18,20,60,0.5,99.0,0.75,-0.08,0.75,0.05,bond,129.0,0.07359902877727942,0.10092362824029787,0.7550497059634946,1.4026757392802944,-0.10629557755086794,0.6923997260568858,2.1456193734338,0.5891472868217055,0.3676032409208386,0.5126302040516797,False,False,0.4828715242147654
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.08_ds0.75_rb0.05_defensive,0.18,20,60,0.5,99.0,0.75,-0.08,0.75,0.05,defensive,129.0,0.08532750955711155,0.11402041553518599,0.7761839212355931,1.4603217413223204,-0.1256170574189862,0.6792669030011432,2.411452543008162,0.5968992248062015,0.33625145787901556,0.45611483238221306,False,False,0.5598202215680849
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.08_ds1.00_rb0.05_bond,0.18,20,60,0.5,99.0,0.75,-0.08,1.0,0.05,bond,129.0,0.05498024956577563,0.08180627419649279,0.6956129992253991,1.3203093649699569,-0.07865067895523092,0.699043546681538,1.777773954117142,0.6201550387596899,0.41464075486976076,0.38942592956803,True,True,0.3607166745348407
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.08_ds1.00_rb0.05_defensive,0.18,20,60,0.5,99.0,0.75,-0.08,1.0,0.05,defensive,129.0,0.06547428569130531,0.09439645503667164,0.7198817417878111,1.295541929572376,-0.0951822537936895,0.687883329945337,1.9773655255101603,0.5968992248062015,0.44787059387034633,0.3414763461001569,False,True,0.42956637681058096
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.09_ds0.75_rb0.05_bond,0.18,20,60,0.5,99.0,0.75,-0.09,0.75,0.05,bond,129.0,0.07485754995186711,0.1037616178015194,0.7484971870004663,1.379513651734146,-0.10759759205457187,0.6957177063395665,2.172812729880623,0.5968992248062015,0.34764895969167986,0.5264109362922821,False,False,0.49112848151332855
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.09_ds0.75_rb0.05_defensive,0.18,20,60,0.5,99.0,0.75,-0.09,0.75,0.05,defensive,129.0,0.08598320898535405,0.11759275385917013,0.7612467157285876,1.4179541923855759,-0.12927442441681836,0.6651215766246166,2.4271601722929157,0.5891472868217055,0.32260332773295336,0.47061348841575795,False,False,0.5641221612485708
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.09_ds1.00_rb0.05_bond,0.18,20,60,0.5,99.0,0.75,-0.09,1.0,0.05,bond,129.0,0.06450575999011865,0.09214015815364644,0.7250808915249467,1.3873982787991475,-0.0844625652754708,0.7637201141089672,1.958128412427612,0.6124031007751938,0.38659095884189715,0.43222354863396456,True,True,0.4232120336984127
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.09_ds1.00_rb0.05_defensive,0.18,20,60,0.5,99.0,0.75,-0.09,1.0,0.05,defensive,129.0,0.06881670005278417,0.10034719217483051,0.7142049746100496,1.2881408822392626,-0.10422333301577447,0.6602811295851437,2.0450773215344493,0.5891472868217055,0.42220582936945805,0.37440033270494877,False,False,0.45149542593117015
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.10_ds0.75_rb0.05_bond,0.18,20,60,0.5,99.0,0.75,-0.1,0.75,0.05,bond,129.0,0.07875541574471634,0.10654369642622334,0.7658202238549574,1.4125930356986711,-0.1133753262084225,0.69464334417823,2.259030696128254,0.6124031007751938,0.33298760388165116,0.543394144548372,False,False,0.5167017591481924
tv0.18_f20_s60_tc0.50_vx99_vc0.75_fl0.10_ds0.75_rb0.05_defensive,0.18,20,60,0.5,99.0,0.75,-0.1,0.75,0.05,defensive,129.0,0.08765879834763735,0.11995275173704605,0.7615077359130416,1.4094282649574468,-0.1345562851313552,0.6514656544067335,2.467722274178493,0.5736434108527132,0.31986640610904804,0.5034315061638995,False,False,0.5751154366051277
