month,code,expiry,entry_date,entry_dte,strike,entry_close,entry_iv,entry_volume,entry_forward,entry_abs_delta,entry_signal_score,entry_signal_date,exit_date,exit_dte,exit_close,exit_iv,exit_volume,exit_forward,exit_abs_delta,exit_recovery_score,exit_signal_date,exit_reason,entry_vk_percentile,entry_vk_shock5,entry_stress_multiplier,exit_vk_percentile,exit_vk_shock5,exit_stress_multiplier
2007-03,301B4167,2007-04-12,2007-03-09,34.0,167.5,0.52,0.22580261292684922,461329,183.53,0.08681549268692024,0.24394953202189726,2007-02-27,2007-03-30,13.0,0.1,0.3051279728344317,134964,187.35999999999999,0.024157017808484574,0.0,2007-03-29,month_end_roll,0.391304347826087,-1.254707202166769,1.0,0.6442687747035574,0.12681458229277562,1.0
2007-11,301BC217,2007-12-13,2007-11-09,34.0,217.5,1.7,0.41447479058546965,203673,252.8,0.10525219436043837,0.7464249812397276,2007-10-30,2007-11-14,29.0,1.21,0.39515902702053307,139978,251.10000000000002,0.08924941954015075,0.4714265210806306,2007-11-13,vix6_recovery,0.9881422924901185,1.2297789062607758,2.0,0.9565217391304348,0.0792006965938085,1.5
2009-01,301D2125,2009-02-12,2009-01-12,31.0,125.0,1.29,0.5497190670992869,418634,150.95000000000002,0.10427469055125593,0.486337409680637,2009-01-09,2009-01-13,30.0,1.13,0.5571919096320241,286123,152.45,0.09297695652109506,0.8,2009-01-12,vix6_recovery,0.7470355731225297,-0.32356997551629135,1.0,0.7549407114624506,-0.17632452406380444,1.0
2009-04,301D5147,2009-05-14,2009-04-14,30.0,147.5,0.97,0.4179153903724162,348850,171.25,0.09577833197149543,0.41564284280346986,2009-03-31,2009-04-20,24.0,0.59,0.4160901712312691,316710,171.7,0.06980877955683173,0.438697452248375,2009-04-17,vix6_recovery,0.49407114624505927,-0.44208638452272586,1.0,0.45454545454545453,0.029290142610517038,1.0
2009-10,301DB197,2009-11-12,2009-10-09,34.0,197.5,0.9,0.24915435834970517,255639,216.2,0.10978439502495108,0.21318616258346498,2009-09-29,2009-10-15,28.0,0.55,0.24781501511650883,214720,217.04999999999998,0.07934278131445771,0.4698819299485706,2009-10-14,vix6_recovery,0.11857707509881422,0.6774656988950832,1.0,0.05928853754940711,-0.7624125667417172,1.0
2010-12,301F1245,2011-01-13,2010-12-13,31.0,245.0,0.82,0.19629027771293261,300104,262.34999999999997,0.11034860787011641,0.4923509744661419,2010-12-10,2010-12-15,29.0,0.49,0.187865366608076,215891,263.9,0.07638618574101096,0.3523400078458659,2010-12-14,vix6_recovery,0.22134387351778656,-0.7639762592266695,1.0,0.03557312252964427,-1.630001175682777,1.0
2011-12,301G1215,2012-01-12,2011-12-09,34.0,215.0,1.86,0.368077545687878,1067775,242.5,0.12974485826808418,0.5,2011-11-29,2011-12-12,31.0,0.95,0.35101043341885974,717054,247.0,0.07963637451947603,0.3509553914808503,2011-12-09,vix6_recovery,0.7114624505928854,0.5394583218883119,1.0,0.7430830039525692,0.9875542699313339,1.0
2012-08,301G9242,2012-09-13,2012-08-14,30.0,242.5,0.71,0.20220954985189077,74034,261.0,0.09728654193268399,0.27706991183330104,2012-08-13,2012-08-31,13.0,1.42,0.22431579054615913,99583,250.08999999999997,0.22687627725199888,0.05409249283704698,2012-08-30,month_end_roll,0.26877470355731226,-0.03031241414775727,1.0,0.35177865612648224,0.35800135377475173,1.0
2012-11,301GC230,2012-12-13,2012-11-09,34.0,230.0,0.64,0.20057690826430036,73317,249.35,0.08848523845207801,0.33261927555694365,2012-10-30,2012-11-30,13.0,0.06,0.25488634789380527,14217,255.45000000000002,0.013699861645200847,0.03271205128258992,2012-11-29,month_end_roll,0.15019762845849802,-0.6334371797852798,1.0,0.003952569169960474,-0.3064050281280086,1.0
2013-01,301H2250,2013-02-14,2013-01-11,34.0,250.0,0.64,0.15100589487540433,114268,264.44,0.1072210310448437,0.7361082891884295,2012-12-28,2013-01-15,30.0,0.9,0.165796508187181,88243,262.95000000000005,0.13868142625650326,0.6777885463171841,2013-01-14,vix6_recovery,0.003952569169960474,-1.3932388636969852,1.0,0.023715415019762844,-0.23837343267960243,1.0
