month,feature_cutoff,vkospi_percentile_252,vkospi_shock_5,vkospi_acceleration_z5,vkospi_robust_z_63,vkospi_robust_z_252,kospi200_momentum_21,kospi200_momentum_63,kospi200_momentum_252,kospi200_volatility_21,kospi200_downside_volatility_21,proxy_tail_event
2004-02,2004-01-31,0.07114624505928854,0.6860305212333425,0.9288699654476086,-1.126803661293767,-0.6176662360680438,0.07227181111431036,0.07619689817936615,0.5384191682732027,0.1465614819866208,0.07475823296791373,0.0
2004-03,2004-02-29,0.05533596837944664,0.7683516995688439,1.5291345765848647,-0.3483620028374887,-0.6487029030246491,0.018302530055625432,0.07409860887669173,0.6777531411677753,0.14616159562005715,0.08701245545462066,0.0
2004-04,2004-03-31,0.4268774703557312,0.2576845999078261,-0.8691233394801369,0.6811205058145511,-0.0680624927745864,-0.008616277085821578,0.09735599622285163,0.5465797178599947,0.20928190648358555,0.15644966901470175,1.0
2004-05,2004-04-30,0.4782608695652174,1.9640948476540703,3.2844107007533725,0.8472957109738651,-0.01721923787407559,-0.023326133909287172,0.01508485229415446,0.45495495495495497,0.22612060621060398,0.17356826826448887,1.0
2004-06,2004-05-31,0.8774703557312253,-1.004803592345492,-0.6052369399224239,1.6226566091687376,0.5330084888888518,-0.0690844758956215,-0.10662139219015276,0.2549487240639161,0.3977302979942027,0.32869388947674333,1.0
2004-07,2004-06-30,0.8932806324110671,-0.7583684134286691,-0.8646385907197622,0.1481522287001102,0.6774883302865531,-0.031990068754774614,-0.1321061643835616,0.11628675256029064,0.36021015218349856,0.28697032814796336,1.0
2004-08,2004-07-31,0.7747035573122529,0.05363088169065586,-0.10181311328992486,-0.35075022966020525,0.35624731899834444,-0.059893784421715224,-0.15757468934520136,0.05624309392265192,0.2067248346453089,0.1682284493792603,0.0
2004-09,2004-08-31,0.3359683794466403,-0.2581975379809986,1.3212973155540995,-1.4235709512474441,-0.3217616157404687,0.08102683287555457,-0.02477842371104555,0.04046771733604482,0.16154401828203122,0.08154536125076285,0.0
2004-10,2004-09-30,0.39920948616600793,0.2303225294866982,-1.144576953626878,-0.625463572442509,-0.21339226337694867,0.041135855295147294,0.09602784602784586,0.08525088697415084,0.2078179022191104,0.1442780631191984,0.0
2004-11,2004-10-31,0.6205533596837944,0.3965546321096901,0.2500746362066785,0.6182254502349024,0.30210271875443195,-0.0022417336073230487,0.13324846170167604,0.046434169278996906,0.22779425793207503,0.1455868313406767,0.0
