candidate,transform_family,C,feature_count,fit_count,convergence_warning_count,full_CAGR,full_CAGR_delta,full_Sharpe,full_Sharpe_delta,full_MDD,full_MDD_delta,full_score,full_all_three_improve,added_feature_count,pre2018_CAGR,pre2018_CAGR_delta,pre2018_Sharpe,pre2018_Sharpe_delta,pre2018_MDD,pre2018_MDD_delta,post2018_CAGR,post2018_CAGR_delta,post2018_Sharpe,post2018_Sharpe_delta,post2018_MDD,post2018_MDD_delta,rank_full_score
Existing_Final_RobustVKOSPI,baseline,0.1,16,194,0,0.15636553973863565,0.0,1.1325286822772858,0.0,-0.12958799769553853,0.0,0.0,False,,,,,,,,,,,,,,
ma21_6,processed,0.1,22,194,0,0.1550964764164049,-0.0012690633222307568,1.125763667507867,-0.006765014769418709,-0.12958799769553853,0.0,-0.26220662761144986,False,6.0,0.11515214112308336,-0.0007798962452965075,0.8520090930490192,-0.0054483720251932155,-0.12958799769553853,0.0,0.20714802192736692,-0.0019302114025216977,1.489911231996955,-0.007007414460748818,-0.09904326893845605,-0.0014390556299425095,1.0
z126_6,processed,0.1,22,194,0,0.1545077550495857,-0.0018577846890499572,1.1250640369069662,-0.007464645370319545,-0.12958799769553853,0.0,-0.3350713763113866,False,6.0,0.11485356847566619,-0.0010784688927136798,0.8495773757546495,-0.007880089319562855,-0.12958799769553853,0.0,0.20616710356261558,-0.002911129767273035,1.494979774911677,-0.001938871546026677,-0.09031453175822579,0.007289681550287752,2.0
z63_6,processed,0.3,22,194,0,0.15439388955889188,-0.001971650179743767,1.1204172069308482,-0.012111475346437528,-0.12958799769553853,0.0,-0.43939452490312725,False,6.0,0.11496744830693695,-0.000964589061442922,0.8504711088686604,-0.006986356205551991,-0.12958799769553853,0.0,0.2057449141103742,-0.003333319219514408,1.4788364997941035,-0.018082146663600307,-0.09222252062017533,0.005381692688338213,3.0
z126_6,processed,0.03,22,194,0,0.1535677366654462,-0.002797803073189442,1.121723324758116,-0.010805357519169778,-0.12958799769553853,0.0,-0.4958874577023398,False,6.0,0.11461378534299205,-0.0013182520253878227,0.8506414021041095,-0.006816062970102843,-0.12958799769553853,0.0,0.20428055841063242,-0.004797674919256201,1.484533384808404,-0.012385261649299872,-0.09230802811370054,0.005296185194813008,4.0
ma5_6,processed,0.3,22,194,0,0.15696634524039643,0.0006008055017607816,1.1267773260417244,-0.0057513562355613335,-0.13461971159168018,-0.005031713896141654,-0.5581179641493139,False,6.0,0.11492670427712959,-0.0010053330912502823,0.8488549977597173,-0.0086024673144951,-0.13461971159168018,-0.005031713896141654,0.21186084042195996,0.002782607092071343,1.4897251646366347,-0.007193481821069048,-0.09317990181356606,0.004424311494947486,5.0
z63_6,processed,0.1,22,194,0,0.1537297169468872,-0.0026358227917484545,1.1176220905995637,-0.014906591677722014,-0.12958799769553853,0.0,-0.5617141127292857,False,6.0,0.1149415343429272,-0.0009905030254526714,0.8503268150470088,-0.007130650027203589,-0.12958799769553853,0.0,0.20421798308351868,-0.004860250246369935,1.4735232428573308,-0.023395403600372955,-0.09283271206775223,0.004771501240761311,6.0
ma5_6,processed,0.01,22,194,0,0.1534405162064445,-0.002925023532191151,1.1151755685903544,-0.017353113686931376,-0.12958799769553853,0.0,-0.6395646269577426,False,6.0,0.11267554849159356,-0.003256488876786312,0.8351016017913935,-0.02235586328281891,-0.12958799769553853,0.0,0.20660870467161807,-0.002469528658270548,1.4893197913488851,-0.007598855108818636,-0.09753457232754503,6.964098096851057e-05,7.0
z126_6,processed,0.3,22,194,0,0.15536374783696116,-0.001001791901674487,1.1284923419114474,-0.004036340365838331,-0.13461971159168018,-0.005031713896141654,-0.6840773870983807,False,6.0,0.11415974573910526,-0.0017722916292746138,0.8433874115724382,-0.014070053501774149,-0.13461971159168018,-0.005031713896141654,0.20912474012735038,4.6506797461765004e-05,1.5124851654460671,0.015566518988363365,-0.08573567427054407,0.011868539037969472,8.0
delta21_6,processed,0.1,22,194,0,0.15299749225289716,-0.00336804748573849,1.1129758932416864,-0.019552789035599316,-0.12958799769553853,0.0,-0.7278605292858353,False,6.0,0.11426165599515614,-0.0016703813732237283,0.8459214490549047,-0.011536016019307649,-0.12958799769553853,0.0,0.2034162071390362,-0.005662026190852432,1.4685767901772693,-0.028341856280434508,-0.09325095802908046,0.004353255279433088,9.0
