month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,0.03880877572535432,0.04120306599270814,1.0388087757253543,0.0,1.5,0.0022500000000000003,0.00014429026735381708,0.07296497997946351,1.5,0.0,0.8567453162680406,0.35467414902432504,0.2161086322595021,0.07247190244813208
2007-05,0.08506392592805702,0.08519806890673898,1.1271739284770714,0.0,0.04022878577987365,0.00012068635733962095,1.3456621342332665e-05,0.07649560279410682,1.5,0.0,0.896503256449547,0.3088719430847192,0.20852437318139425,0.08610042728433938
2007-06,0.010444250577879316,0.010598515240721335,1.1389464154309386,0.0,0.0441499639084609,0.0001324498917253827,2.181477111663607e-05,0.0917726039443664,1.5,0.0,0.876316607633316,0.3046642904721146,0.22027261056707442,0.09874649132749516
2007-07,0.10551919373192922,0.1055600577927572,1.259127122891082,0.0,0.012275873659144683,3.682762097743405e-05,4.036439850538226e-06,0.08615777790680866,1.5,0.0,0.8861253580985143,0.30569648499657437,0.2146774289684143,0.09350072793649705
2007-08,-0.014152434087417154,-0.01401664071286765,1.241307409276687,-0.014152434087417065,0.04102738112961487,0.0001230821433888446,1.2711231160658282e-05,0.10475481723672017,1.4319150560974854,0.0,0.8285024852462624,0.28334618507609466,0.2166112347854743,0.10345515098965413
2007-09,0.05366536679703618,0.053702264803808984,1.307922626703399,0.0,0.010453317657732102,3.13599529731963e-05,5.538053799611614e-06,0.10442113875181527,1.43649075075225,0.0,0.8354162520788484,0.28587715316262385,0.21446866818045407,0.10072867733032353
2007-10,0.06332207427568043,0.06422167456404837,1.3907430004183545,0.0,0.2955491076102587,0.0008866473228307762,1.295296553716696e-05,0.07229533392171418,1.5,0.0,0.599157871691975,0.6050862566766917,0.22279061197236305,0.07296525965897019
2007-11,-0.02633839766403117,-0.024262577771694847,1.3541130582248682,-0.02633839766403112,0.6478681995813953,0.001943604598744186,0.00013221529359213634,0.16806093857083054,0.892533394586401,0.0,0.1801571124780848,0.14656540443576824,0.1274700408542087,0.4383408368183392
2007-12,0.06929366126917076,0.06944349321792763,1.4479445098016632,0.0,0.04544831880671565,0.00013634495642014693,1.3486992336717629e-05,0.17594236624936266,0.852551907750322,0.0,0.13502851860212053,0.12058781262662314,0.14126632129373975,0.4556692552278385
2008-01,-0.0204825803592966,-0.020390732821400852,1.4182868700238482,-0.02048258035929662,0.027104891814075056,8.131467544222517e-05,1.0532862453521697e-05,0.17994158420111625,0.8336038646428093,0.0,0.1147517696389234,0.11677389670971527,0.1528372162671231,0.4492409820270476
