signal_month,p_defensive,p_classifier,p_regression,expected_advantage,realized_advantage_next,realized_defensive_next,train_rows,feature_count,calibration_method
2012-04,0.4634263723984912,0.5002741083623942,0.37744832181605104,-0.02628375684741525,0.04676528514612684,1.0,60,59,platt_recent_validation
2012-05,0.4629846562993633,0.4990934012160489,0.37873091816043036,-0.02616126258757166,0.011153837439005247,1.0,61,59,platt_recent_validation
2012-06,0.4736208774771114,0.501114598905703,0.4094688608103979,-0.019167488065815617,0.0002842574998241504,1.0,62,59,platt_recent_validation
2012-07,0.47050857307931776,0.49999575553324516,0.4017051473534872,-0.020658841579917753,-0.01589311718562552,0.0,63,59,platt_recent_validation
2012-08,0.473368877898027,0.49927783100065287,0.4129146539919,-0.01863411515798547,-0.02699700967272782,0.0,64,59,platt_recent_validation
2012-09,0.4783383690298795,0.5001669290553691,0.42740506230373715,-0.0157775467153475,0.03816665245045003,1.0,65,59,platt_recent_validation
2012-10,0.4772438348151343,0.4997259872173672,0.4247854792099242,-0.01620623036245668,-0.0005604328028054,0.0,66,59,platt_recent_validation
2012-11,0.4749927121216638,0.5002471260932335,0.41606574618800113,-0.018383413095354594,-0.02039720049953973,0.0,67,59,platt_recent_validation
2012-12,0.48035824298845176,0.49999928133245275,0.43452915351911625,-0.0141538726207561,0.01264311210154322,1.0,68,59,platt_recent_validation
2013-01,0.47484521862375717,0.4998600583677643,0.4164772592210739,-0.018100629330667507,-0.00014742534957700414,0.0,69,59,platt_recent_validation
2013-02,0.4835477337124995,0.5001540785647659,0.44479959572387806,-0.011805197404359358,0.007395084991384176,1.0,70,59,platt_recent_validation
2013-03,0.4691265206997556,0.5003277442898819,0.39632366565612753,-0.02275108724605769,0.03838758288739659,1.0,71,59,platt_recent_validation
2013-04,0.47688497251577977,0.5002135435484952,0.4224516401061106,-0.016841436591940897,-0.0029054595849690784,0.0,72,59,platt_recent_validation
2013-05,0.47841840873712205,0.49974202727075273,0.4286632988253172,-0.015381734014988475,0.0595423430099464,1.0,73,59,platt_recent_validation
2013-06,0.47560279957349205,0.5002214201080728,0.4181593516594704,-0.017563907533618278,-0.026548634213126903,0.0,74,59,platt_recent_validation
2013-07,0.47832460625396955,0.5001636184005154,0.42736691124536275,-0.015445414133307186,-0.01025172856146938,0.0,75,59,platt_recent_validation
2013-08,0.480275241276657,0.4999609705369087,0.43434187300273663,-0.013985618909544374,0.005042608737513024,1.0,76,59,platt_recent_validation
