Peak,Trough,Recovery,MDD,MonthsToRecovery
2026-02,2026-06,Unrecovered,-0.1490055972547002,5
2008-06,2008-10,2008-12,-0.13994884146395348,6
2009-02,2009-04,2009-12,-0.13788471927242474,10
2011-04,2011-06,2011-11,-0.10333262236706497,7
2019-12,2020-03,2020-07,-0.0989472804849616,7
2018-10,2018-11,2019-12,-0.09563034096120315,14
2012-09,2013-06,2016-04,-0.0907834418503436,43
2016-12,2017-08,2017-12,-0.08120721741026393,12
2022-05,2022-08,2023-03,-0.07843101448454981,10
2021-10,2021-11,2022-01,-0.07380564688749469,3
2024-07,2024-12,2025-03,-0.0683153030466983,8
2011-11,2011-12,2012-09,-0.05900383627656869,10
2018-01,2018-02,2018-04,-0.04806257345444709,3
2010-12,2011-02,2011-03,-0.039512147837325595,3
2023-04,2023-10,2023-11,-0.03756508750338783,7
2007-10,2007-11,2007-12,-0.03556708257811614,2
2018-06,2018-07,2018-10,-0.03470125186754114,4
2007-12,2008-01,2008-02,-0.03087985815945582,2
2009-12,2010-01,2010-03,-0.02926849592773595,3
2021-07,2021-08,2021-09,-0.027589799575524432,2
2020-08,2020-10,2020-11,-0.022839890554834708,3
2023-12,2024-01,2024-02,-0.02098466339931182,2
2010-04,2010-05,2010-06,-0.016463671199026364,2
2024-03,2024-04,2024-06,-0.015251913483029789,3
2007-07,2007-08,2007-09,-0.011322871107073307,2
2016-09,2016-10,2016-11,-0.011146578409608865,2
2018-04,2018-05,2018-06,-0.009934257701608162,2
2016-04,2016-05,2016-06,-0.0070510117190265564,2
2021-02,2021-03,2021-04,-0.006160570331668502,2
2016-07,2016-08,2016-09,-0.0019184229264086472,2
2025-10,2025-11,2025-12,-0.0005946778446669354,2
