month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,financing_return,regime,hard_fraction,leverage,debt_weight,w_KODEX200,w_BOND,w_GLD,w_USO,hard_w_KODEX200,hard_w_BOND,hard_w_GLD,hard_w_USO,defensive_w_KODEX200,defensive_w_BOND,defensive_w_GLD,defensive_w_USO
2007-04,0.020035866179502114,0.021818132257909777,1.0200358661795021,0.0,1.0999999999999999,0.0016499999999999998,0.0001322660784076657,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5103498732457039,0.3251179699389647,0.1980995795712103,0.06643257724412109,1.0,0.0,0.0,0.0,0.28527257363115627,0.39408238780480565,0.2401207025105579,0.0805243360534801
2007-05,0.05403136927426899,0.054147421241384566,1.0751498007380458,0.0,0.035348165556723224,0.00010604449667016968,1.0007470445407174e-05,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5467946517454182,0.283132614494326,0.19114734208294476,0.07892539167731111,1.0,0.0,0.0,0.0,0.32944806272171895,0.34319104787191024,0.23169374797932696,0.09566714142704376
2007-06,0.007131210811617762,0.007268148948278413,1.0828169206211775,0.0,0.04021972253882522,0.00012065916761647566,1.627896904417478e-05,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5282902236638729,0.2792755995994384,0.2019165596864849,0.09051761705020392,1.0,0.0,0.0,0.0,0.3070184529259065,0.3385158783023495,0.2447473450745271,0.10971832369721686
2007-07,0.07082279800417812,0.07085729313171645,1.1595050446658373,0.0,0.010105269894336515,3.0315809683009544e-05,4.179317855322356e-06,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5372815782569714,0.28022177791352654,0.19678764322104647,0.08570900060845563,1.0,0.0,0.0,0.0,0.3179170645539047,0.33966276110730487,0.23853047663157145,0.10388969770721894
2007-08,-0.00802220437380094,-0.007906794791587134,1.1502032582250747,-0.008022204373800967,0.03371959506377974,0.00010115878519133923,1.4250797022466483e-05,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5205715755362895,0.27208388013004176,0.20800147785424927,0.09934306647941968,1.0,0.0,0.0,0.0,0.29766251580156294,0.32979864258186875,0.25212300345969607,0.12041583815687232
2007-09,0.04231689907900911,0.04234918497986387,1.1988762934237327,0.0,0.009150223725414568,2.7450671176243702e-05,4.835229678515796e-06,-0.00032737397821989175,Goldilocks,0.25,1.1,-0.10000000000000009,0.5246552334269302,0.2736398305333761,0.20528807344822544,0.09641686259146834,1.0,0.0,0.0,0.0,0.30261240415385476,0.33168464307075884,0.2488340284220914,0.11686892435329495
2007-10,0.04850298630730329,0.049061850998205654,1.2570253738678143,0.0,0.17959879082857,0.00053879637248571,2.0068318416651493e-05,-0.00032737397821989175,Slowdown,0.25,1.1,-0.10000000000000009,0.3842280490509772,0.44466240195363405,0.2042247276413328,0.06688482135405602,0.6,0.4,0.0,0.0,0.2657309685466389,0.40565139630743524,0.24754512441373672,0.0810725107321891
2007-11,-0.03200762270767431,-0.030877964818920522,1.21679097996708,-0.03200762270767443,0.32381808216543057,0.0009714542464962918,0.0001582036422574953,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.2775425896217116,0.22579259478864536,0.196375068134854,0.4002897474547892,0.0,0.0,0.0,1.0,0.33641526014752915,0.27368799368320645,0.23803038561800482,0.15186636055125954
2007-12,0.07603686518607493,0.07632161058833857,1.309311951670469,0.0,0.08160754235470759,0.00024482262706412275,3.992277519951648e-05,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.2177746731783624,0.19448463003165947,0.2278350326978303,0.45990566409214795,0.0,0.0,0.0,1.0,0.26396930082225745,0.23573894549292057,0.27616367599737,0.22412807768745197
2008-01,-0.01899444423565485,-0.01890023648341261,1.2844422988173878,-0.018994444235654884,0.0302127337949898,9.06382013849694e-05,3.5695508572707312e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.18927897283816983,0.1926143997001005,0.25209956584995186,0.46600706161177796,0.0,0.0,0.0,1.0,0.22942905798566038,0.2334719996364854,0.30557523133327497,0.2315237110445793
2008-02,0.07797287009476402,0.07806743108864256,1.384593951327296,0.0,0.030241943292076245,9.072582987622874e-05,3.835164002322422e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.181278810908548,0.1940192864232223,0.2607134356023204,0.4639884670659093,0.0,0.0,0.0,1.0,0.2197318920103612,0.23517489263420882,0.3160162855785702,0.22907692977685973
2008-03,0.003997152440084215,0.004074357713243889,1.3901283844183696,0.0,0.022828550681983972,6.848565204595192e-05,8.7196211137216e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.18278897896516402,0.19246724556874498,0.2586968592097325,0.4660469162563586,0.0,0.0,0.0,1.0,0.22156239874565337,0.23329363099241812,0.31357195055725146,0.231572019704677
2008-04,0.0626692119924929,0.06316621054006016,1.4772466348382662,0.0,0.1445808784285615,0.00043374263528568445,6.325591228158157e-05,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.19418402747236643,0.310429761372239,0.26164457362422033,0.3337416375311743,0.0,0.0,0.0,1.0,0.23537457875438353,0.3762784986330169,0.3171449377263276,0.07120198488627186
2008-05,0.05810217857210373,0.058185104272934905,1.5630778826106784,0.0,0.026051064741711177,7.815319422513353e-05,4.7725066060398945e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.20720763072381154,0.3033616272096087,0.2528194758258308,0.3366112662407491,0.0,0.0,0.0,1.0,0.25116076451371094,0.36771106328437414,0.3064478494858555,0.0746803227160595
2008-06,0.05562988091139087,0.05570386418788264,1.6500317190755394,0.0,0.022892093973558902,6.867628192067671e-05,5.306994571088352e-06,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.2050451194186904,0.2894356132897568,0.26173091002833343,0.3437883572632195,0.0,0.0,0.0,1.0,0.2485395386893217,0.35083104641182644,0.3172495879131314,0.08337982698572056
2008-07,-0.08408895691788744,-0.08394137031439641,1.5112822729370485,-0.08408895691788743,0.0449132567238064,0.00013473977017141922,1.2846833319607898e-05,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.1838686156820756,0.29496196418421883,0.2852366069394493,0.33593281319425644,0.0,0.0,0.0,1.0,0.22287104931160676,0.35752965355662886,0.345741341744787,0.07385795538697744
2008-08,-0.026567069865350974,-0.026409288501948305,1.4711319312056637,-0.10842202958989633,0.04627374709791643,0.0001388212412937493,1.8960122108918508e-05,-0.00032737397821989175,Overheating,0.25,1.1,-0.10000000000000009,0.17676127996202373,0.3650256676813003,0.27868547798617577,0.2795275743705004,0.0,0.0,0.0,1.0,0.2142560969236651,0.4424553547652124,0.3378005793771827,0.005487968933939849
2008-09,0.08316664047253236,0.08421328887358023,1.5934810316159074,-0.0342724850715691,0.34112226718049143,0.0010233668015414744,2.328159950640324e-05,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.10556142153952201,0.479758465240586,0.514680113219892,3.0558350959853864e-17,0.0,0.0,1.0,0.0,0.12795323822972363,0.5815254124128315,0.29052134935744484,3.7040425405883466e-17
2008-10,-0.0819181955024182,-0.08173479295287626,1.4629459409386005,-0.11338314044154074,0.056084685979592555,0.00016825405793877767,1.5148491603165947e-05,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.1192755230610416,0.4613234930687416,0.4973459206948103,0.022055063175406574,0.0,0.0,1.0,0.0,0.14457639158914132,0.5591799915984746,0.26951020690280036,0.026733409909583724
2008-11,0.1035571566953849,0.10386924670736253,1.6144444629812567,-0.0215676193874752,0.09852711022969494,0.00029558133068908484,1.6508681288532945e-05,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.03217268772962474,0.6030285999911947,0.4647987122791807,3.9032813744528635e-17,0.0,0.0,1.0,0.0,0.03899719724802999,0.7309437575650845,0.23005904518688564,4.731250150851955e-17
2008-12,0.036500474704323875,0.03682532638106599,1.6733724522638396,0.0,0.09418498600615921,0.00028255495801847766,4.2296718723642155e-05,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.031332498034765725,0.6381046240022806,0.4255278249865594,0.005035052976394379,0.0,0.0,1.0,0.0,0.03797878549668573,0.7734601503057946,0.18245796968067796,0.006103094516841671
2009-01,0.04470362719622915,0.04471714621589674,1.748178270530282,0.0,0.004383501966080783,1.315050589824235e-05,3.6851376934673995e-07,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.03138484677243644,0.645388971292827,0.4164636869699246,0.006762494964811988,0.0,0.0,1.0,0.0,0.03804223851204417,0.7822896621731236,0.17147113572112063,0.0081969635937115
2009-02,0.0704585763755198,0.07053036903436033,1.871352422722464,0.0,0.020795541808854984,6.238662542656496e-05,9.40603341395424e-06,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.03063046810283145,0.6439526449582201,0.4199142028299414,0.00550268410900718,0.0,0.0,1.0,0.0,0.03712784012464418,0.7805486605554182,0.17565357918780775,0.006669920132129914
2009-03,-0.05053291708576025,-0.05036453344453248,1.7767875259067931,-0.05053291708576024,0.048558365507937365,0.00014567509652381209,2.2708544703951727e-05,-0.00032737397821989175,Stagflation,0.25,1.1,-0.10000000000000009,0.028631117367039056,0.6510304429163364,0.4159827430634884,0.004355696653136291,0.0,0.0,1.0,0.0,0.03470438468732007,0.7891278095955592,0.17088817341028897,0.0052796323068318675
