month,reference_return,overlay_relative_return,return,gross_return,turnover,trade_cost,fx_cost,avg_stress,max_stress,avg_transfer,nav,drawdown,baseline_return,option_pnl_nav,premium_budget,premium_credit,delta_equivalent,gamma_pnl_for_1pct_move,vega_pnl_for_1vol_point,max_loss_nav,option_structure,option_trade_available
2007-04,0.0224189709126627,0.0,0.0224189709126627,0.0224189709126627,1.4999999999999998,0.00225,0.0001470938006852,0.0,0.0,0.0,1.0224189709126628,0.0,0.0224189709126627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-05,0.0833692018263154,0.0,0.0833692018263154,0.0833692018263154,0.2816266036381635,0.0008448798109144,1.197336121917153e-05,0.0235831718843193,0.1854708279325435,0.0082541101595117,1.1076572244497342,0.0,0.0833692018263154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-06,0.0103200756572368,-5.641252195254243e-05,0.0102630809537898,0.0102630809537898,0.0504960660949342,0.0001514881982848,2.528009088289809e-05,0.0778966262462044,0.3907117608881298,0.0272638191861715,1.119025200213312,0.0,0.0102630809537898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-07,0.104881214230254,0.0059327776645259,0.1114362288199934,0.1114362288199934,0.567989637504466,0.0017039689125133,0.0002569782657614,0.2471184894682307,0.9129909748103596,0.0864914713138807,1.2437251484796217,0.0,0.1114362288199934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-08,-0.0140057610663948,0.0082118110225204,-0.005567617415774051,-0.0059089627069781,0.1244392022348628,0.0003733176067045,4.065728203452523e-05,0.4593834616640267,0.9810738982254203,0.1607842115824093,1.2368005626825103,-0.005567617415774162,-0.0059089627069781,0.00034198739951696495,0.0,0.0023591614640871964,-0.04096868678662858,-5.174531589736928e-05,-0.00013404163337250036,0.1290450840596679,CoveredCall,True
2007-09,0.0530814332402168,0.0024984779786274,0.0557125340108688,0.0557125340108688,0.126223718687492,0.0003786711560624,5.848962201174712e-05,0.1204287096060892,0.3051383399209487,0.0421500483621312,1.3057058560956214,0.0,0.0557125340108688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-10,0.060340339650808,-4.218181599868753e-05,0.0602956125697049,0.0602956125697049,0.3088620716826192,0.0009265862150478,5.892421472823883e-05,0.0751317911086437,0.3527537091060065,0.0262961268880253,1.384434190524758,0.0,0.0602956125697049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-11,-0.0699921759697431,0.0057852053197704,-0.0646118897587352,-0.0646118897587352,0.3193863209248179,0.0009581589627744,4.0871518492724106e-05,0.2066993543968779,0.4129823464107849,0.0723447740389072,1.2949832812283484,-0.06461188975873522,-0.0646118897587352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2007-12,0.0675887549805437,6.293995057582436e-06,0.0675954743788911,0.0675954743788911,0.6176309448579724,0.0018528928345739,0.0001043980436819,0.001582014395694,0.0201942817616096,0.0005537050384929,1.3825182904357116,-0.0013838867186024562,0.0675954743788911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-01,-0.0197622036401717,0.0,-0.0197622036401717,-0.0197622036401717,0.0267686165177922,8.03058495533768e-05,6.6143661221611525e-06,0.0633415427020677,0.9295291116561546,0.0221695399457237,1.355196682443859,-0.021118741707626176,-0.0197622036401717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-02,0.0705718301630821,0.0,0.0705718301630822,0.0705718301630822,0.0213327306242637,6.39981918727913e-05,2.797331412432047e-06,0.0043766448220553,0.030293804935496,0.0015318256877193,1.4508353925548596,0.0,0.0705718301630822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-03,0.0078829350762038,0.0,0.0078829350762039,0.0078829350762039,0.0220054972901928,6.601649187057865e-05,1.7638169350586763e-05,0.025296442687747,0.3209486166007905,0.0088537549407114,1.4622722337606284,0.0,0.0078829350762039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-04,0.0763491136220259,-0.0005961233061581,0.0757074768298333,0.0757074768298333,0.1023610350348397,0.0003070831051045,1.936156472690598e-05,0.0026845493272304,0.039735053316592,0.0009395922645306,1.5729771750169699,0.0,0.0757074768298333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-05,0.0700714632798176,8.117806587604193e-06,0.0700801499129915,0.0700801499129915,0.0242073738481065,7.262212154431955e-05,2.0873547049652e-05,0.0064671993997919,0.0491019316525512,0.0022635197899271,1.6832116512518729,0.0,0.0700801499129915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-06,0.07188988535101,0.0,0.0718898853510099,0.0718898853510099,0.0232098692960986,6.962960788829605e-05,6.485977136747367e-06,0.03099073243833,0.1999040420191492,0.0108467563534155,1.8042175438818542,0.0,0.0718898853510099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-07,-0.0943058380257537,0.0,-0.0943058380257537,-0.0943058380257537,0.044617777212733,0.0001338533316381,8.584357296426259e-06,0.0074185908927991,0.0782922497598108,0.0025965068124796,1.634069296425309,-0.09430583802575365,-0.0943058380257537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-08,-0.0349324294547678,0.0,-0.0349324294547678,-0.0349324294547678,0.604387239096542,0.0018131617172896,0.0001125477506821,0.0165450147817711,0.2387877443120473,0.0057907551736198,1.5769872860037297,-0.12594393544651405,-0.0349324294547678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-09,0.1324265243324191,0.0,0.1324265243324192,0.1324265243324192,0.1089870355902422,0.0003269611067707,1.5600635408932752e-05,0.1140443785319769,0.8939558332247548,0.0399155324861919,1.7858222312056184,-0.010195728746023258,0.1324265243324192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-10,-0.0961077930681667,0.0011590642411274,-0.0950601239332783,-0.0950601239332783,0.1280982606371414,0.0003842947819114,8.013087124260444e-05,0.4242240537722491,0.9623845660292164,0.1484784188202872,1.6160617485844087,-0.10428664544111454,-0.0950601239332783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-11,0.1274955345958535,0.0007236966657264,0.1283114993548619,0.1283114993548619,0.0864261058040239,0.000259278317412,4.697385420779921e-05,0.2421978248237404,0.3719125810101717,0.0847692386883091,1.823421054595314,0.0,0.1283114993548619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2008-12,0.0281019840513521,-9.555041027953235e-06,0.0280921604947135,0.0280921604947135,0.0859624872865378,0.0002578874618596,7.946133311840243e-05,0.0020522767680921,0.0418847864230149,0.0007182968688322,1.8746448915104454,0.0,0.0280921604947135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-01,0.0504360067818868,0.0,0.048834677247264535,0.0504360067818869,0.0260717480644173,7.821524419325199e-05,2.202873451176876e-05,0.0008960014437073,0.0197120317615616,0.0003136005052975,1.9661925697405913,0.0,0.0504360067818869,-0.001514211157345369,0.005,0.0,-0.0447293710787077,3.0261606852648662e-05,0.00010796873333903797,0.005,PutSpread,True
2009-02,0.0839382418801837,0.0,0.0839382418801837,0.0839382418801837,0.0384522368062536,0.0001153567104187,1.593122507627018e-05,0.0016108351053449,0.0322167021068986,0.0005637922868707,2.1312313172424973,0.0,0.0839382418801837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-03,-0.0613213208502916,0.0,-0.0613213208502916,-0.0613213208502916,0.0422211770019983,0.0001266635310059,2.8778354411322123e-05,0.0025691295743492,0.0565208506356845,0.0008991953510222,2.0005413978316806,-0.061321320850291516,-0.0613213208502916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-04,-0.0440244887992326,0.0,-0.0440244887992326,-0.0440244887992326,0.0568679892858236,0.0001706039678574,7.395513195509129e-06,0.0056993268680301,0.0902444714610661,0.0019947644038105,1.9124685854704386,-0.10264616984659636,-0.0440244887992326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-05,0.0103064047362662,0.0002999766072029,0.0106094730237944,0.0106094730237944,0.5626440613708182,0.0016879321841124,0.0001145107668624,0.0541086131501221,0.493754683222564,0.0189380146025427,1.9327588693368416,-0.09312571859278518,0.0106094730237944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-06,-0.0056670414645779,-1.5928612108084828e-05,-0.0056828798085807,-0.0056828798085807,0.0163130307706657,4.89390923119972e-05,5.504161784999878e-06,0.0108075367293019,0.0906437276417764,0.0037826378552556,1.921775232983432,-0.0982793761355154,-0.0056828798085807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-07,0.0563253979855982,0.0,0.0563253979855982,0.0563253979855982,0.0123023256846032,3.6906977053809714e-05,5.002262059553869e-06,0.0149971578086352,0.0891372774147807,0.0052490052330223,2.0300199878200895,-0.047489603124526325,0.0563253979855982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-08,0.0093063346300323,0.0,0.0093063346300323,0.0093063346300323,0.0331882311904547,9.956469357136432e-05,6.6471875403940895e-06,0.0054042893721318,0.0760875725721726,0.0018915012802461,2.0489120331323973,-0.03862522263261836,0.0093063346300323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-09,0.0316060052310475,-0.0005644889738696,0.0310236750157169,0.0310236750157169,0.0083417941854857,2.5025382556457204e-05,5.111500596236094e-06,0.0042128983499493,0.0424572000266631,0.0014745144224822,2.1124768141840886,-0.008799843971265542,0.0310236750157169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-10,-0.0243349344395158,2.290057236509213e-06,-0.024332700110672,-0.024332700110672,0.0087127864410918,2.613835932327549e-05,2.4843285607756284e-06,0.0107891597257083,0.0720943433279489,0.0037762059039979,2.0610745493737994,-0.03291842011756396,-0.024332700110672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
2009-11,0.0295480887228779,0.0029286511007455,0.0325632758661869,0.0325632758661869,0.0396974319786325,0.0001190922959358,1.6316793969391383e-05,0.0340003424035623,0.2381610170663444,0.0119001198412468,2.1281898885058355,-0.0014270758467442857,0.0325632758661869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
