feature,mean_gain_share
realized_vol_63,0.07093271178171384
adx_14,0.06326516837956768
realized_vol_252,0.05685993935689551
gold_spy,0.04349215365906041
macd_signal,0.04188418218730458
sortino_60,0.04056175726477645
realized_vol_126,0.03806802375088685
macd,0.036806808612676524
ichimoku_cloud_width,0.03576314879663638
downside_dev_10,0.034344562561481336
realized_vol_20,0.03356950161944253
atr_14,0.0314128131502616
bb_width,0.028746837680430785
ret_63,0.028018658802032248
dist_sma_200,0.026242326445312086
yield_tlt_shy,0.022176420277007954
drawdown_252,0.019772402842532285
relative_spy_20,0.017468438159088304
dist_high_252,0.016960505929755943
vix_level,0.015818440453632225
relative_spy_63,0.014957338327626643
macd_hist,0.014641242347384151
ichimoku_kijun,0.0138915549077574
beta_spy_63,0.01365065250887121
aroon_osc,0.012989452513268794
keltner_width,0.012047125130126988
us_hmm_p_bear,0.0102951323584413
tsi,0.010234260324308856
corr_spy_20,0.010118369628037346
credit_hyg_lqd,0.010048932939676054
oil_ret_20,0.009389398795929756
us_hmm_score,0.008926278897356654
dist_sma_10,0.00880917311420997
sortino_20,0.008745378853474711
plus_di,0.00868032695420251
cci_20,0.008319474924412977
ret_20,0.008122161336192726
dist_sma_50,0.0074341292897181
us_hmm_p_sideways,0.007397469193664937
dist_low_20,0.007229087180970228
ichimoku_tenkan,0.006093322880602201
minus_di,0.005683188690885509
dist_sma_20,0.005604130250449684
williams_r,0.0054091589984241245
spy_ret_20,0.005160421619642846
dist_high_20,0.004294498652784461
sox_relative_spy_20,0.0039499542993706414
sox_ret_5,0.003844955287038318
dist_ema_12,0.003842601778412371
ret_10,0.0035069322370925673
stoch_k,0.0033661753070543922
vix3m_level,0.003124922234525086
sox_ret_20,0.0030032785290624612
stoch_d,0.0029161115866287385
us_hmm_p_bull,0.002908745025236048
vix_change_5,0.002619157816270869
rsi_3,0.002610187927221984
vix_change_10,0.002598461984284355
dist_sma_5,0.0019943514491261097
bb_pct_b,0.0019131482669093234
dollar_ret_20,0.0019078860248929234
vix_term_structure,0.0018676161010017834
dist_ema_26,0.001844558378396558
roc_10,0.0018022813501494647
rsi_14,0.0017484178245932753
spy_ret_10,0.0015575814038225986
spy_ret_5,0.0011532529878875563
roc_5,0.0011110747606665522
ret_5,0.0011055571566884795
roc_20,0.0010341877456264265
rsi_9,0.0007038960229496735
ret_1,0.0005092543533496075
lag_ret_2,0.00040428288968149834
lag_ret_5,0.00026769092120773884
lag_ret_1,0.00024123444180149605
sox_ret_1,0.00016854549465039755
consecutive_up,1.951899725423135e-05
consecutive_down,1.771708823077614e-05
cmf_20,0.0
obv_slope_10,0.0
vwap_deviation,0.0
volume_ratio_20,0.0
corr_btc_20,0.0
btc_vol_20,0.0
btc_ret_5,0.0
btc_ret_10,0.0
btc_rsi_14,0.0
btc_ret_20,0.0
