,DeltaCAGR,DeltaSharpe,DeltaMDD,DeltaCalmar
0.025,0.00035235152993966034,-0.1108985533489862,-0.010518698651540764,-0.051392347547118356
0.5,0.007926448587228463,0.02403638289335519,0.00616264792988086,0.14392300569693894
0.975,0.01655486036123537,0.14860173084833325,0.03711925849920333,0.5617757740987265
