name,feature_variant,max_shift,probability_scale,hard_fraction,leverage,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,MDD15Pass,CAGRRetention
kr_only_regime_lgbm_shift_0.000,kr_only,0.0,0.15,0.4,1.2,0.04,129.0,0.12135667810594164,0.1374592378834939,0.9044811719358008,1.6687845786136237,-0.13994884146395348,0.8671502874655764,3.4256703455016124,0.5891472868217055,0.07581446338817979,True,1.0
kr_only_regime_lgbm_shift_0.025,kr_only,0.025,0.15,0.4,1.2,0.04,129.0,0.11958784894947683,0.13666651398274296,0.8974007227360733,1.6369069426646623,-0.14437688076831134,0.8283033149980938,3.3680256929472745,0.5968992248062015,0.07793996679668105,True,0.9854245420682934
kr_only_regime_lgbm_shift_0.050,kr_only,0.05,0.15,0.4,1.2,0.04,129.0,0.11770260846396496,0.13602451322961825,0.8886048718546601,1.6024983092549572,-0.14885216592700556,0.7907349398038602,3.307557044883047,0.5891472868217055,0.0824065087895122,True,0.9698898346674688
kr_only_regime_lgbm_shift_0.075,kr_only,0.075,0.15,0.4,1.2,0.04,129.0,0.1157563709324807,0.13552916075083182,0.8784854869091961,1.5665573963585706,-0.15332259165151407,0.7549857440160065,3.2461664490849347,0.5891472868217055,0.08789020741541703,False,0.9538525010665503
kr_only_regime_lgbm_shift_0.100,kr_only,0.1,0.15,0.4,1.2,0.04,129.0,0.11376688371536958,0.13517992525245176,0.8671802737727997,1.5294479012533964,-0.15783579157996486,0.7207926831838487,3.184481509973478,0.5968992248062015,0.09398108707148521,False,0.9374587825818177
kr_only_regime_lgbm_shift_0.125,kr_only,0.125,0.15,0.4,1.2,0.04,129.0,0.11174663965391929,0.134981071654595,0.8547752265002343,1.4915720308676064,-0.16236246846374514,0.6882541310886257,3.1229326872027245,0.5968992248062015,0.10035732430965709,False,0.9208116223844476
kr_only_regime_lgbm_shift_0.150,kr_only,0.15,0.15,0.4,1.2,0.04,129.0,0.1096869728499319,0.13493468303881148,0.8412363481288461,1.45298049153955,-0.16688037930106936,0.6572790241089117,3.0612954251965987,0.5968992248062015,0.10725040701877822,False,0.9038396119756809
kr_only_regime_lgbm_shift_0.200,kr_only,0.2,0.15,0.4,1.2,0.04,129.0,0.10544964341897511,0.13530371324811197,0.8109201125475775,1.3741573854607323,-0.1758772919100825,0.5995637201014352,2.9379463598568605,0.6201550387596899,0.12257994878620505,False,0.8689232851851791
kr_plus_global_regime_lgbm_shift_0.000,kr_plus_global,0.0,0.15,0.4,1.2,0.04,129.0,0.12135667810594164,0.1374592378834939,0.9044811719358008,1.6687845786136237,-0.13994884146395348,0.8671502874655764,3.4256703455016124,0.5891472868217055,0.07581446338817979,True,1.0
kr_plus_global_regime_lgbm_shift_0.025,kr_plus_global,0.025,0.15,0.4,1.2,0.04,129.0,0.11966450846103616,0.13675491951252663,0.8974157924219056,1.6360348458370664,-0.14437688076831134,0.8288342830530302,3.370505607416408,0.5968992248062015,0.07747982029163149,True,0.9860562296915523
kr_plus_global_regime_lgbm_shift_0.050,kr_plus_global,0.05,0.15,0.4,1.2,0.04,129.0,0.11784563639665557,0.13620188747698733,0.8885759403422991,1.600729207095755,-0.14885216592700556,0.7916958121687323,3.3121098739858743,0.5968992248062015,0.08174088234473839,True,0.9710684095503915
kr_plus_global_regime_lgbm_shift_0.075,kr_plus_global,0.075,0.15,0.4,1.2,0.04,129.0,0.11596784675688498,0.1357972206415873,0.8784317696686212,1.5640467603289752,-0.15332259165151407,0.7563650308003373,3.2527866614234426,0.5968992248062015,0.08695687459848635,False,0.9555950984061024
kr_plus_global_regime_lgbm_shift_0.100,kr_plus_global,0.1,0.15,0.4,1.2,0.04,129.0,0.11404327332493014,0.13554074572831104,0.8670849259495987,1.5262650955075603,-0.15783579157996486,0.7225438044396415,3.1929870142163117,0.5968992248062015,0.09285573808415949,False,0.9397362807292149
kr_plus_global_regime_lgbm_shift_0.125,kr_plus_global,0.125,0.15,0.4,1.2,0.04,129.0,0.11208302197092679,0.13543484937532366,0.8546249825444605,1.48779387555092,-0.16236246846374514,0.6903259295786973,3.1331054545383767,0.6046511627906976,0.09915140375021224,False,0.9235834708089228
kr_plus_global_regime_lgbm_shift_0.150,kr_plus_global,0.15,0.15,0.4,1.2,0.04,129.0,0.11009251223326899,0.13548065058958766,0.8411203253733094,1.4488692141461206,-0.16688037930106936,0.6597091443245751,3.073343568502233,0.5968992248062015,0.10572516515209344,False,0.9071813265781774
kr_plus_global_regime_lgbm_shift_0.200,kr_plus_global,0.2,0.15,0.4,1.2,0.04,129.0,0.10601261200942558,0.1360287378181632,0.8111073818535427,1.3700487326594546,-0.1758772919100825,0.6027646369698748,2.9540704791480934,0.6201550387596899,0.11992411355875042,False,0.8735622436606164
us_paper_original_regime_lgbm_shift_0.000,us_paper_original,0.0,0.15,0.4,1.2,0.04,129.0,0.12135667810594164,0.1374592378834939,0.9044811719358008,1.6687845786136237,-0.13994884146395348,0.8671502874655764,3.4256703455016124,0.5891472868217055,0.07581446338817979,True,1.0
us_paper_original_regime_lgbm_shift_0.025,us_paper_original,0.025,0.15,0.4,1.2,0.04,129.0,0.1199558690093454,0.13673915599409123,0.8994240876907871,1.6402636067882292,-0.14437688076831134,0.8308523384837803,3.379946158736168,0.5968992248062015,0.07612751690009494,True,0.9884570909614603
us_paper_original_regime_lgbm_shift_0.050,us_paper_original,0.05,0.15,0.4,1.2,0.04,129.0,0.1184214653255602,0.1361710735367298,0.8925628790417593,1.60900738053564,-0.14885216592700556,0.7955642740437647,3.3304970792808595,0.5968992248062015,0.07919440310246258,True,0.9758133394371666
us_paper_original_regime_lgbm_shift_0.075,us_paper_original,0.075,0.15,0.4,1.2,0.04,129.0,0.11682461191780646,0.13575242265658574,0.88438097952976,1.5762371130446213,-0.15332259165151407,0.7619530211394833,3.2797330266127003,0.5891472868217055,0.08326322633819593,False,0.9626549913950447
us_paper_original_regime_lgbm_shift_0.100,us_paper_original,0.1,0.15,0.4,1.2,0.04,129.0,0.11518096553797696,0.13548195549872524,0.8750027093455258,1.5422843276174332,-0.15783579157996486,0.7297518793740928,3.228215301331413,0.5968992248062015,0.08799467520810367,False,0.9491110611764322
